,pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc
38,0.116437973,0.058510638,0.046979866,1,0.221875,0.228136882,0.161993769,0,0.105191996,0.038612321,0.037923265,0.058394161,0,1,0.100034692
39,0.117278073,1,1,0.059139785,1,1,1,1,0.006760411,0.013083385,0.011232259,0.058394161,1,1,0.006428965
40,0.120022403,0.042553191,0.013422819,0,1,1,0.161993769,0.011363636,0.093564089,0.093123833,0.098442614,0.065693431,0.06993007,1,0.043387021
41,0.120358443,0.29787234,0.375838926,1,1,1,1,1,0.003109789,0.016148102,0.017070403,0.138686131,1,1,0.002957324
42,0.12041445,0.015957447,0.013422819,0,0.221875,0.019011407,0.161993769,0.005681818,0.002704164,4.67E-05,6.58E-05,0,1,0.01055409,0.002571586
43,0.121590591,1,0.22147651,0.005376344,0.221875,0.019011407,1,0.102272727,0.023931855,0.027800249,0.024289967,0.02919708,0.06993007,0.01055409,0.017928321
44,0.121646598,1,1,0.059139785,1,1,1,1,0.023255814,0.018310516,0.019356324,0.058394161,0.101398601,1,0.022115639
45,0.121982638,0.29787234,0.375838926,1,1,1,1,1,0.000270416,0.019632856,0.020754189,0.226277372,1,1,0.000257159
46,0.123158779,0.058510638,0.046979866,0.037634409,1,1,1,0.068181818,0.015143321,0.022946484,0.024257076,0.058394161,0.06993007,1,0.02678331
47,0.123270792,0,0,1,0.221875,1,1,0.102272727,0.094510546,0.038487866,0.037791702,0.058394161,0,1,0.071116481
48,0.128927471,1,1,0.059139785,1,1,1,1,0.012979989,0.017252645,0.014850264,0.058394161,1,1,0.012343612
49,0.131111733,1,1,0.021505376,1,1,1,0.028409091,0.016495403,0.048288737,0.041755061,0.058394161,1,1,0.015992353
50,0.132287875,1,0.22147651,0.043010753,1,0,0.161993769,0.0625,0.042996214,0.014561294,0.015392965,0.02919708,0.06993007,1,0.028389338
51,0.132959955,0.090425532,0.10738255,1,1,0.228136882,1,0.085227273,0.001352082,0.002209085,0.002137912,0.058394161,1,1,0.001659401
52,0.134808177,1,0.22147651,0.123655914,1,0,0.161993769,0.034090909,0.022850189,0.044383945,0.038844212,0.065693431,0.06993007,1,0.00829943
53,0.141472977,0.090425532,0.10738255,1,1,0.228136882,0.161993769,0.0625,0.013385614,0.009894213,0.010459322,0.058394161,0.101398601,1,0.008731262
54,0.143937272,0.058510638,0.046979866,0.005376344,0.221875,0.019011407,1,0.102272727,0.163872363,0.034085252,0.026871906,0.058394161,0.06993007,1,0.108637375
55,0.149201904,0.095744681,0.120805369,1,1,0,1,0.056818182,0.176176312,0.102100187,0.107931653,0.058394161,0,1,0.158026381
56,0.150154018,1,1,0.021505376,1,1,1,1,0.00838291,0.009085252,0.007762264,0.058394161,1,1,0.007971916
57,0.151722207,0.29787234,0.375838926,1,1,1,1,1,0.011087074,0.094523958,0.099922706,0.496350365,1,1,0.010543502
58,0.152618314,1,1,1,1,1,1,1,0.086127637,0.007327318,0.007153782,0.00729927,1,1,0.081905011
59,0.16157939,1,1,0.048387097,1,1,1,0.102272727,0.024607896,0.013114499,0.012679461,0.058394161,1,1,0.016181583
60,0.175525063,1,1,0.021505376,1,1,1,1,0.025554354,0.082373989,0.071291134,0.058394161,1,1,0.024301487
61,0.177317278,1,1,1,0.221875,1,1,1,0.193212547,0.059131923,0.062509251,0.087591241,1,1,0.183739814
62,0.180005601,1,1,1,0.221875,1,1,0,0.161438615,0.51600809,0.545479961,0.058394161,0.101398601,1,0.136085415
63,0.181629796,0.276595745,0.348993289,1,1,0.228136882,1,0.1875,0.030151433,0.041428127,0.0437943,0.058394161,0.041958042,1,0.033078843
64,0.183141977,0.29787234,0.375838926,1,1,1,1,1,0.006760411,0.179340386,0.189583436,0.620437956,1,1,0.006428965
65,0.184822179,0.276595745,0.348993289,1,0.221875,1,1,0.102272727,0.011898323,0.059925327,0.06334797,0.058394161,0.013986014,1,0.008859841
66,0.188406609,1,0,0,1,1,1,0.056818182,0.011357491,0.080973864,0.085598698,0.058394161,1,1,0.01016019
67,0.190422851,1,0.22147651,0,1,0.228136882,1,0.056818182,0.02433748,0.027893591,0.029486737,0.03649635,0.06993007,1,0.021805108
68,0.201288155,0.042553191,0,1,0.221875,0,1,0,0.164413196,0.118186061,0.11615439,0.058394161,0,1,0.156352424
69,0.204368524,1,1,0.172043011,1,1,0.161993769,0.039772727,0.0098702,0.021235221,0.018402487,0.058394161,1,1,0.003408564
70,0.205936712,0.090425532,0.10738255,1,1,0.228136882,1,0.068181818,0.011492699,0.014716864,0.015557419,0.058394161,0.101398601,1,0.020429552
71,0.207728927,1,1,1,1,1,1,1,0.004732288,0.012227754,0.012926143,0.01459854,1,1,0.004500275
72,0.212377485,1,1,1,1,1,0.161993769,0.0625,0.007977285,0.012881145,0.013616853,0.058394161,1,1,0.005140746
73,0.217362083,1,1,1,1,1,1,1,0.002974581,0.00228687,0.001628102,0.00729927,1,1,0.002828745
74,0.218034164,0.042553191,0,0.005376344,1,0.019011407,1,0.102272727,0.006219578,0.017097075,0.018073577,0.058394161,0.006993007,1,0.003973828
75,0.219098292,1,1,0.172043011,1,1,1,1,0.016089778,0.01067206,0.010311313,0.058394161,1,1,0.015300936
76,0.222794735,0.276595745,0.348993289,0,0.221875,0.019011407,1,0.102272727,0.120470525,0.077177971,0.075830085,0.058394161,0.01048951,1,0.090679942
77,0.228227387,1,1,0.172043011,1,1,1,1,0.006625203,0.007296204,0.00621639,0.058394161,1,1,0.006300385
78,0.228955475,1,1,0.172043011,1,1,0.161993769,0.039772727,0.006489995,0.011356565,0.009785058,0.058394161,1,1,0.002134902
79,0.232651918,0.276595745,0.348993289,1,0.221875,0.019011407,1,0.1875,0.053001622,0.127426882,0.125232292,0.058394161,0.013986014,1,0.058088729
80,0.236628395,1,0.22147651,0.123655914,1,1,1,0.1875,0.010411033,0.001431238,0.001512984,0.00729927,1,1,0.01147267
81,0.23825259,0.010638298,0.006711409,0,0.221875,0.228136882,1,0.085227273,0.012979989,0.006269446,0.006627526,0,0.041958042,1,0.015012239
82,0.240044805,0.138297872,0,0,1,1,1,0.051136364,0.020281233,0.030678283,0.032430477,0.04379562,0.013986014,0.002638522,0.019660502
83,0.244805377,0.095744681,0.120805369,1,0.221875,0.228136882,1,0.085227273,0.025419145,0.067657125,0.071521371,0.058394161,1,1,0.029296671
84,0.246821619,0.138297872,0.120805369,0.037634409,1,0.228136882,0,0.034090909,0.036235803,0.051493466,0.054434522,0.058394161,1,1,0.0206018
85,0.247493699,1,1,1,0.221875,1,1,1,0.275689562,0.361449907,0.361422205,0.058394161,1,1,0.262173184
86,0.248445813,0.138297872,0.120805369,0.037634409,1,0.228136882,0,0.034090909,0.007166036,0.027582452,0.029157827,0.058394161,1,1,0.003910751
87,0.249957995,0.276595745,0.348993289,1,1,1,0.161993769,0.017045455,0.010816658,0.012912259,0.01108425,0.058394161,1,1,0.007637125
88,0.250910109,1,1,0.172043011,1,1,1,0.102272727,0.008518118,0.014903547,0.012811025,0.058394161,1,1,0.005499797
89,0.251526183,0.29787234,0.375838926,1,1,1,1,1,0.001892915,0.025435594,0.026888352,0.372262774,1,1,0.00180011
90,0.254326519,0.29787234,0.375838926,1,1,1,1,1,0,0.020115121,0.016889503,0.138686131,1,1,0
91,0.263735648,0.276595745,0.348993289,1,1,1,1,0.102272727,0.051514332,0.113799004,0.12029865,0.058394161,0,1,0.038714498
92,0.263903668,1,1,0.059139785,1,1,1,1,0.007842077,0.011714375,0.010048185,0.058394161,1,1,0.007457599
93,0.266311957,0.276595745,0.348993289,1,1,1,1,0.102272727,0.012574365,0.059505289,0.058463664,0.058394161,0.01048951,1,0.009369306
94,0.266647998,0.095744681,0.120805369,0.043010753,1,0.228136882,1,0.1875,0.007166036,0.017766024,0.018780732,0.058394161,0.041958042,1,0.00792097
95,0.267544105,1,1,0,1,1,1,1,0.014061655,0.009863099,0.008436529,0.058394161,1,1,0.013372247
96,0.273088771,1,0.22147651,0.064516129,1,0.228136882,1,1,0.036100595,0.050808961,0.053710921,0.058394161,0.101398601,1,0.034330672
97,0.273816858,1,1,0.172043011,1,1,1,1,0.02582477,0.03318295,0.032150904,0.058394161,1,1,0.024558646
98,0.277569308,1,1,0.172043011,1,1,0.161993769,0.039772727,0.007436452,0.01204107,0.010377095,0.058394161,1,1,0.002491527
99,0.278073369,0.29787234,0.375838926,1,1,1,1,1,0.00229854,0.001617922,0.001364974,0.04379562,1,1,0.002185848
100,0.278297396,0.276595745,0.348993289,0.010752688,0.221875,0.228136882,1,0.1875,0.031368307,0.119275047,0.094413472,0.058394161,0.041958042,1,0.034410731
101,0.280313638,1,1,0.059139785,0.221875,1,1,1,0.015143321,0.009163037,0.009686385,0.058394161,0.101398601,1,0.014400881
102,0.280369644,1,0.22147651,0.064516129,1,1,1,1,0.001352082,0.006176105,0.006528854,0.058394161,0.101398601,1,0.001285793
103,0.2824979,0.090425532,0.10738255,1,1,0.228136882,0.161993769,0.011363636,0.00757166,0.004153703,0.004390942,0.058394161,0.101398601,1,0.003270281
104,0.286754411,0.276595745,0.348993289,1,0.221875,0,1,1,0.104245538,0.086418793,0.084907988,0.058394161,1,1,0.099134637
105,0.288210585,1,1,0.172043011,1,1,1,1,0.02203894,0.006782825,0.005772362,0.058394161,1,1,0.020958425
106,0.290898908,0.138297872,0.120805369,0.005376344,0,0.019011407,1,0.051136364,0.033666847,0.195457374,0.192116039,0.087591241,1,1,0.032630029
107,0.291683002,0.276595745,0.348993289,1,1,1,1,1,0.019199567,0.026960174,0.023253902,0.058394161,1,1,0.01825826
108,0.293307197,0.095744681,0.120805369,0.005376344,0.221875,0.228136882,1,0.085227273,0.030286641,0.133696329,0.131399345,0.058394161,1,1,0.034886232
109,0.299523943,1,0.22147651,0.005376344,1,1,1,0.068181818,0.062736614,0.162741133,0.142680941,0.197080292,1,1,0.109617489
110,0.300644077,1,0.22147651,0.064516129,1,1,1,1,0.049756625,0.133276291,0.140888385,0.058394161,0.101398601,1,0.047317181
111,0.302380286,1,1,1,0.221875,1,1,0.102272727,0.029745809,0.037445551,0.039584258,0.058394161,1,1,0.080757502
112,0.302772333,0.276595745,0.348993289,1,1,1,1,1,0.017306652,0.005927194,0.005032315,0.058394161,1,1,0.01645815
113,0.304284514,1,1,1,0.221875,1,0.161993769,0.017045455,0.012303948,0.006798382,0.005640798,0.058394161,1,1,0.012622605
114,0.30725287,1,1,0.021505376,1,1,1,0.028409091,0.009194159,0.052426882,0.045340175,0.058394161,1,1,0.008918066
115,0.311285354,0.090425532,0.10738255,1,1,0.228136882,1,0.005681818,0.014602488,0.024268824,0.025654941,0.058394161,0.101398601,1,0.025842012
116,0.313077569,1,1,0,1,1,1,1,0.021498107,0.031533914,0.02736527,0.058394161,1,1,0.020444108
117,0.314701764,0.29787234,0.375838926,1,1,1,1,1,0.014872904,0.2402458,0.253967471,0.656934307,1,1,0.014143723
118,0.317390087,0.276595745,0.348993289,1,1,1,1,0.102272727,0.007030827,0.000824518,0.000756492,0.058394161,1,1,0.004512405
119,0.318454215,1,1,0.172043011,1,1,0.161993769,0.039772727,0.017712277,0.033400747,0.028993372,0.058394161,1,1,0.006363462
120,0.32041445,1,1,0.059139785,1,1,1,1,0.0098702,0.007016179,0.005969707,0.058394161,1,1,0.009386289
121,0.320862504,1,1,0.172043011,1,1,1,1,0.02812331,0.043746111,0.04241288,0.058394161,1,1,0.026744494
122,0.32091851,0.29787234,0.375838926,1,1,1,1,1,0.011222282,0.074408836,0.078658707,0.145985401,1,1,0.010672082
123,0.321590591,1,1,1,1,1,1,1,0.009734992,0,0,0.058394161,1,1,0.009257709
124,0.325959115,0.138297872,0.120805369,0.037634409,1,0.228136882,0,0.034090909,0.033396431,0.063098942,0.060650912,0.058394161,1,1,0.018971511
125,0.327471297,0.29787234,0.375838926,1,1,1,1,1,0,0.007109521,0.00588748,0.058394161,1,1,0
126,0.332903948,0.29787234,0.375838926,1,1,1,1,1,0.000405625,0.022230865,0.015064055,0.04379562,1,1,0.000385738
127,0.345113414,0.138297872,0.120805369,0.037634409,1,0.228136882,0,0.034090909,0.020416441,0.059536403,0.057213808,0.058394161,1,1,0.011518764
128,0.346233548,0.090425532,0.10738255,1,1,0.228136882,0.161993769,0.0625,0.011492699,0.04334163,0.045817093,0.058394161,0.101398601,1,0.007474581
129,0.346513582,0.138297872,0.120805369,0.037634409,1,0.228136882,0,0.034090909,0.006625203,0.013845675,0.010673113,0.058394161,1,1,0.00360022
130,0.346569588,1,1,0.059139785,1,1,1,1,0.01365603,0.030849409,0.026625224,0.058394161,1,1,0.012986509
131,0.346849622,0.138297872,0.013422819,0.123655914,0.221875,0.228136882,1,0.1875,0.007166036,0.009116366,0.009637048,0.02189781,1,1,0.00792097
132,0.348865864,1,1,1,0.221875,1,1,1,0.102082207,0.016537026,0.00120052,0.058394161,1,1,0.097077368
133,0.354354523,0.276595745,0.348993289,1,1,1,1,0.022727273,0.007030827,0.001571251,0.001480093,0.058394161,1,1,0.006686123
134,0.360011201,0.29787234,0.375838926,1,1,1,1,1,0.009194159,0.154324829,0.163139112,0.430656934,1,1,0.008743392
135,0.360459255,0.29787234,0.375838926,1,1,1,1,1,0.000811249,0.033462974,0.035374217,0.277372263,1,1,0.000771476
136,0.361971437,0.042553191,0.013422819,0,1,0.019011407,1,0.102272727,0.032585181,0.017299315,0.018287368,0.02919708,0,1,0.024449474
137,0.362027443,1,1,1,0.221875,1,0.161993769,0.034090909,0.093158464,0.194041693,0.20512441,0.058394161,1,1,0.353685252
138,0.365275833,1,0.006711409,0.005376344,1,0.228136882,1,0.056818182,0.037723094,0.21280336,0.224957653,0.058394161,1,1,0.033813929
139,0.365779894,1,1,0.059139785,1,1,1,1,0.013926447,0.035703174,0.030835266,0.058394161,1,1,0.013243667
140,0.37199664,1,0.22147651,0.123655914,1,0,0.161993769,0.0625,0.029475392,0.030647169,0.026789679,0.03649635,0.06993007,1,0.019413048
141,0.374068888,0.090425532,0,1,1,1,0.161993769,0.034090909,0.022309356,0.011527691,0.012186097,0.01459854,0,1,0.008095644
142,0.374236908,0.090425532,0.10738255,0,1,0.019011407,1,0.056818182,0.177528394,0.207156192,0.218987945,0.058394161,0.06993007,0.002638522,0.159239393
143,0.375133016,0.095744681,0.120805369,1,1,0.228136882,1,0.085227273,0.003515414,0.015556938,0.015261401,0.058394161,0.041958042,1,0.00414365
144,0.378773453,1,0.22147651,0.064516129,1,1,1,1,0.007166036,0.010734287,0.011347378,0.058394161,0.101398601,1,0.006814703
145,0.379053486,0.021276596,0,0,1,1,1,0.056818182,0.017982693,0.121733043,0.128685842,0.058394161,0.06993007,1,0.01610395
146,0.381741809,0.276595745,0.348993289,1,1,1,1,1,0.015819362,0.0141257,0.012136761,0.058394161,1,1,0.015043778
147,0.38308597,1,1,0.005376344,1,1,1,0.005681818,0.044483505,0.033260734,0.028861809,0.058394161,1,1,0.077848699
148,0.384878185,0.138297872,0.006711409,0.005376344,1,0.228136882,1,0.1875,0.004461871,0.011465464,0.012120315,0.058394161,1,1,0.00496122
149,0.385494259,1,1,0.059139785,0.221875,1,1,1,0.011357491,0.006269446,0.006627526,0.058394161,0.101398601,1,0.010800661
150,0.385662279,0.058510638,0.046979866,1,0.221875,0.019011407,1,1,0.023391022,0.029698195,0.031394412,0.04379562,0.06993007,1,0.022244218
151,0.388070568,1,1,0.172043011,1,1,1,1,0.024878313,0.019617299,0.016889503,0.058394161,1,1,0.02365859
152,0.389806777,1,1,0.172043011,1,1,1,0.102272727,0.011222282,0.019337274,0.016659266,0.058394161,1,1,0.008350376
153,0.391711005,0.276595745,0.348993289,1,1,0.228136882,1,0.1875,0.019875608,0.054495955,0.043054254,0.058394161,0.041958042,1,0.021831794
154,0.39624755,1,1,0.048387097,1,1,1,0.022727273,0.012979989,0.016428127,0.014126663,0.058394161,1,1,0.02301812
155,0.398431812,0.276595745,0.348993289,1,1,1,0.161993769,0.017045455,0.011087074,0.003671437,0.003075304,0.058394161,1,1,0.007831207
156,0.401512181,0.276595745,0.348993289,1,1,1,0.161993769,0,0.018117902,0.018714997,0.018106468,0.058394161,1,1,0.006516302
157,0.402184262,0.138297872,0.120805369,0.010752688,1,1,1,0.051136364,0.044213088,0.058634101,0.061982995,0.058394161,1,1,0.042848444
158,0.404312518,0.276595745,0.348993289,1,1,1,1,1,0.006219578,0.001897946,0.001529429,0.058394161,1,1,0.005914648
159,0.405656679,1,1,1,1,0.228136882,1,0.1875,0.003109789,0.014872433,0.015721874,0.058394161,1,1,0.003481345
160,0.407504901,1,1,0,1,1,0.161993769,0,0.008923743,0.01260112,0.010870459,0.058394161,1,1,0.005259621
161,0.407952954,1,0.006711409,0,1,1,1,0.1875,0.020281233,0.065556938,0.069301232,0.058394161,0.06993007,1,0.022275756
162,0.409129095,0.29787234,0.375838926,1,1,1,1,1,0,0.00533603,0.005081652,0.065693431,1,1,0
163,0.415905909,0.29787234,0.375838926,1,1,1,1,1,0.002028123,0.057327318,0.060601575,0.503649635,1,1,0.001928689
164,0.417362083,1,1,1,1,1,1,1,0.048945376,0.113907903,0.120413768,0.058394161,1,1,0.046545705
165,0.419770372,1,0.22147651,1,1,1,1,1,0.00608437,0.014452396,0.012580788,0.00729927,1,1,0.005786068
166,0.42458695,0.29787234,0.375838926,1,1,1,1,1,0.002839373,0.004122589,0.003914023,0.094890511,1,1,0.002700165
167,0.425147018,0.042553191,0,0.005376344,1,1,0.161993769,0.034090909,0.066657653,0.033774113,0.035703126,0.058394161,0.06993007,1,0.0248061
168,0.425651078,0.29787234,0.375838926,1,1,1,1,1,0.001081666,0.01585252,0.005640798,0.094890511,1,1,0.001028634
169,0.42766732,1,0.22147651,0.123655914,1,0,0.161993769,0.0625,0.015008112,0.043014935,0.037643692,0.058394161,0.06993007,1,0.009808417
170,0.429011481,1,0.22147651,0.123655914,1,1,1,0.1875,0.102623039,0.065883634,0.057707172,0.051094891,1,1,0.112400139
171,0.433492019,0.095744681,0.120805369,0.043010753,1,0.228136882,1,0.1875,0.009329367,0.021266335,0.022480964,0.058394161,0.041958042,0.005277045,0.01028877
172,0.43433212,1,1,1,1,1,1,0.056818182,0.018929151,0.006051649,0.00639729,0.02189781,1,1,0.016953059
173,0.440716886,0.005319149,0.006711409,0.005376344,1,0.228136882,1,0.1875,0.062601406,0.029760423,0.031460194,0.058394161,1,1,0.068595841
174,0.442453094,0.058510638,0.006711409,0,1,0.228136882,1,1,0.209978367,0.100933416,0.106698242,0.058394161,0.006993007,1,0.199683646
175,0.447325679,0.29787234,0.375838926,1,1,1,1,1,0.010951866,0.458011823,0.48417123,1,1,1,0.010414923
176,0.447605713,1,1,0.005376344,1,1,1,1,0.012979989,0.022790915,0.022069827,0.058394161,1,1,0.012343612
177,0.448557827,0.276595745,0.348993289,1,1,1,1,0.022727273,0.012033532,0.004122589,0.003946914,0.058394161,1,1,0.011443557
178,0.448725847,1,1,1,1,1,1,0,0.00838291,0.00574051,0.00606838,0.02189781,1,1,0.011615805
179,0.450350042,1,1,1,1,1,1,1,0.056922661,0.024704418,0.020523953,0.058394161,1,1,0.054131884
180,0.452814338,0.276595745,0.348993289,0,1,1,1,1,0.045024337,0.129044804,0.136415215,0.138686131,1,0.005277045,0.042816906
181,0.454550546,0.138297872,0.120805369,0,1,1,1,0.051136364,0.014196863,0.041661481,0.044040982,0.02919708,1,0.002638522,0.013765263
182,0.46524783,0.276595745,0.348993289,1,1,1,1,1,0.007301244,0.000715619,0.00050981,0.058394161,1,1,0.006943282
183,0.467264072,0.29787234,0.375838926,1,1,1,1,1,0.002839373,0.015105787,0.01348529,0.102189781,1,1,0.002700165
184,0.468104173,0.138297872,0.120805369,0.037634409,1,1,1,1,0.000540833,0.016474798,0.013452399,0.058394161,1,1,0.000514317
185,0.469560347,0.090425532,0.10738255,0.123655914,0.221875,0.019011407,1,0.028409091,0.013791239,0.264670193,0.279786867,0.058394161,1,0.002638522,0.013372247
186,0.470848502,1,1,1,1,1,1,0.1875,0.013385614,0.069368388,0.073330373,0.058394161,1,1,0.014728394
187,0.471240549,1,1,0.172043011,1,1,1,1,0.018658734,0.026960174,0.023253902,0.058394161,1,1,0.017743943
188,0.471800616,0.090425532,0.10738255,0.123655914,0.221875,0.228136882,1,1,0.038399135,0.059163037,0.062542142,0.058394161,1,0.01055409,0.03651652
189,0.471856623,1,1,0.059139785,1,1,1,1,0.019875608,0.042003734,0.036295163,0.058394161,1,1,0.018901156
190,0.47241669,0.095744681,0.120805369,1,0.221875,0.228136882,1,0.085227273,0.027447269,0.093839452,0.092209778,0.058394161,1,1,0.031625655
191,0.472640717,0.090425532,0.10738255,1,1,0.228136882,1,0.011363636,0.01595457,0.024253267,0.025638496,0.058394161,0.101398601,1,0.028195256
192,0.473592831,0.090425532,0.10738255,0.123655914,1,0.228136882,1,1,0.007301244,0.015603609,0.016494811,0.058394161,1,1,0.006943282
193,0.475777093,1,1,0.172043011,1,1,1,1,0.008112493,0.018263846,0.017678886,0.058394161,1,1,0.007714758
194,0.483618034,1,1,0,1,1,1,0.1875,0.063953488,0.041832607,0.044221882,0.058394161,1,1,0.070075716
195,0.485018202,1,1,1,1,1,1,1,0.011898323,0.004324829,0.004571842,0.00729927,1,1,0.011314978
196,0.486922431,1,1,0.172043011,1,1,0.161993769,0.039772727,0.013791239,0.007498444,0.006430181,0.058394161,1,1,0.004886013
197,0.489050686,1,1,0.016129032,1,1,1,0.102272727,0.008518118,0.017050404,0.016494811,0.058394161,1,1,0.005499797
198,0.48966676,0.138297872,0,0,1,1,1,0.051136364,0.045024337,0.181129434,0.191474666,0.058394161,1,1,0.043634476
199,0.493139177,1,1,0.172043011,1,1,1,0.102272727,0.011763115,0.023911014,0.020622626,0.058394161,1,1,0.008757948
200,0.497731728,0.276595745,0.348993289,1,1,1,1,1,0.011222282,0.00116677,0.000904501,0.058394161,1,1,0.010672082
201,0.499243909,0.276595745,0.348993289,1,1,1,0.161993769,0.011363636,0.007436452,0.000622278,0.000559146,0.058394161,1,1,0.006213049
202,0.500812097,0.090425532,0.10738255,1,1,0.228136882,1,0.005681818,0.011357491,0.018030492,0.019060306,0.058394161,0.101398601,1,0.020194228
203,0.501708205,1,1,0.037634409,1,1,1,1,0.007030827,0.012632234,0.010837568,0.058394161,1,1,0.006686123
204,0.506132736,0.29787234,0.375838926,1,1,1,1,1,0.001352082,0.028951462,0.027167925,0.226277372,1,1,0.001285793
205,0.508316998,0.29787234,0.375838926,1,1,1,1,1,0.007977285,0.048288737,0.047955005,0.445255474,1,1,0.007586178
