pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc,indsct2,conteo2ind,orgtyp2,conteo2org,apptyp2,conteo2app,dvlplt2,conteo2dvlplt,lngtyp2,conteo2lngtyp,prglng2,conteo2prglng,dbms12,conteo2dbms1,dvlmtd2,conteo2dvlmtd
12019,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,22,1236,1125,26,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12038,Communication,Communications,"relatively complex application",Enhancement,MF,3GL,Java,19,136,136,-1,Batch,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"relatively complex application",13,MF,78,3GL,330,Java,177,Batch,6,"Waterfall (incl Linear Processing & SSADM)",380
12060,"Wholesale & Retail","Wholesale & Retail Trade","Inventory Management","New Development",PC,4GL,DELPHI,1083,2042,2042,2,DB2,"Rapid Application Development (RAD)",-1,"Wholesale & Retail",5,"Wholesale & Retail Trade",1,"Inventory Management",1,PC,23,4GL,61,DELPHI,2,DB2,287,"Rapid Application Development (RAD)",5
12082,Manufacturing,Manufacturing,"Financial transaction process/accounting","New Development",MF,4GL,EASYTRIEVE,782,2519,2343,-1,DATACOM,"Waterfall (incl Linear Processing & SSADM)",-1,Manufacturing,12,Manufacturing,8,"Financial transaction process/accounting",187,MF,78,4GL,61,EASYTRIEVE,1,DATACOM,1,"Waterfall (incl Linear Processing & SSADM)",380
12097,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,3GL,Java,54,878,720,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Online. eSales",12,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12146,"Service Industry","GovernmentCommunity Services","Logistic or supply planning & controlManagement or performance reportingPersonal productivity (e.g. spreadsheet)Workflow support & management",Enhancement,Multi,4GL,PowerBuilder,696,6023,6023,10,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,"Service Industry",9,"GovernmentCommunity Services",3,"Logistic or supply planning & controlManagement or performance reportingPersonal productivity (e.g. spreadsheet)Workflow support & management",1,Multi,281,4GL,61,PowerBuilder,3,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
12152,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,27,1075,1075,20,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12153,"Electronics & Computers","Computers & Software","Call Center Management","New Development",PC,4GL,DELPHI,24,40,41,1,DB2,"Rapid Application Development (RAD)",-1,"Electronics & Computers",4,"Computers & Software",3,"Call Center Management",1,PC,23,4GL,61,DELPHI,2,DB2,287,"Rapid Application Development (RAD)",5
12174,Communication,Communications,"Decision Support System","New Development",PC,3GL,"Visual Basic",181,1824,1514,5,Oracle,"Rapid Application Development (RAD)",-1,Communication,189,Communications,34,"Decision Support System",2,PC,23,3GL,330,"Visual Basic",19,Oracle,21,"Rapid Application Development (RAD)",5
12175,Communication,Telecommunications,"Financial application area",Enhancement,Multi,3GL,Java,176,1214,1214,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial application area",12,Multi,281,3GL,330,Java,177,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
12181,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,6,1299,1299,32,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12202,Manufacturing,Manufacturing,"Stock control & order processing",Enhancement,Multi,3GL,C,116,1512,1512,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Manufacturing,12,Manufacturing,8,"Stock control & order processing",8,Multi,281,3GL,330,C,13,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
12204,Construction,Construction,"Financial transaction process/accounting","New Development",Multi,3GL,"Visual Basic",703,2511,2335,-1,"Oracle 7.3.3","Waterfall (incl Linear Processing & SSADM)",-1,Construction,1,Construction,1,"Financial transaction process/accounting",187,Multi,281,3GL,330,"Visual Basic",19,"Oracle 7.3.3",1,"Waterfall (incl Linear Processing & SSADM)",380
12305,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,3GL,Java,100,1146,940,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Online. eSales",12,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12344,Communication,Telecommunications,Integration,Enhancement,Multi,3GL,TIBCO,126,3141,2576,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,Integration,5,Multi,281,3GL,330,TIBCO,6,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12365,Communication,Communications,"Management Information System",Enhancement,MR,4GL,Oracle,322,973,973,5,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Management Information System",9,MR,18,4GL,61,Oracle,12,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
12377,Financial,"Financial, Property & Business Services","Financial transaction process/accounting",Enhancement,MF,3GL,PL/I,14,179,167,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Financial,18,"Financial, Property & Business Services",17,"Financial transaction process/accounting",187,MF,78,3GL,330,PL/I,16,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12410,Communication,Communications,"Transaction/Production System",Enhancement,MR,4GL,SQL,173,2890,2399,10,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Transaction/Production System",24,MR,18,4GL,61,SQL,7,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
12529,Financial,"Financial, Property & Business Services","Financial transaction process/accounting",Enhancement,MF,4GL,Oracle,103,673,673,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Financial,18,"Financial, Property & Business Services",17,"Financial transaction process/accounting",187,MF,78,4GL,61,Oracle,12,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
12573,Manufacturing,Manufacturing,"Management system","New Development",PC,3GL,PL/SQL,1216,2228,1671,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Manufacturing,12,Manufacturing,8,"Management system",2,PC,23,3GL,330,PL/SQL,19,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
12667,Banking,Banking,"Financial transaction process/accounting",Enhancement,MR,3GL,C++,1307,6600,6600,-1,HIRDB,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Financial transaction process/accounting",187,MR,18,3GL,330,C++,11,HIRDB,1,"Waterfall (incl Linear Processing & SSADM)",380
12684,Communication,Telecommunications,"Workflow support & management",Enhancement,Multi,3GL,Java,66,621,509,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Workflow support & management",5,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12712,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,86,6113,6113,69,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12728,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,641,508,472,2,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
12888,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,PL/SQL,186,880,808,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Data Warehouse",10,Multi,281,3GL,330,PL/SQL,19,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13137,Communication,Telecommunications,"Workflow support & management",Enhancement,Multi,3GL,Java,193,5332,4372,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Workflow support & management",5,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13169,Communication,Telecommunications,"Financial transaction process/accounting","New Development",Multi,3GL,Java,1433,3838,3838,13,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13217,Communication,Telecommunications,"Financial transaction process/accounting","New Development",Multi,3GL,JavaScript,1198,33206,33206,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,JavaScript,1,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
13246,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,MF,3GL,COBOL,227,2700,2700,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,MF,78,3GL,330,COBOL,34,IMS,13,"Waterfall (incl Linear Processing & SSADM)",380
13273,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,54,11565,11565,86,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13303,Insurance,Insurance,"Financial transaction process/accounting","New Development",Multi,3GL,"Visual Basic",92,3889,3889,-1,No,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,"Visual Basic",19,No,5,"Waterfall (incl Linear Processing & SSADM)",380
13367,Communication,"Voice Provisioning","Voice Provisioning",Enhancement,Multi,3GL,C++,88,5242,5242,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,"Voice Provisioning",1,"Voice Provisioning",1,Multi,281,3GL,330,C++,11,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13403,Communication,Communications,"Telecom Data Circuits",Enhancement,MF,3GL,C++,184,1830,1830,6,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Telecom Data Circuits",1,MF,78,3GL,330,C++,11,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
13597,"Service Industry","Food Processing","Financial transaction process/accounting","New Development",MR,3GL,APPS,1220,7634,7100,-1,"Oracle 8","Waterfall (incl Linear Processing & SSADM)",-1,"Service Industry",9,"Food Processing",1,"Financial transaction process/accounting",187,MR,18,3GL,330,APPS,1,"Oracle 8",1,"Waterfall (incl Linear Processing & SSADM)",380
13652,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,"Amdocs framework",77,1402,1156,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,4GL,61,"Amdocs framework",8,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13680,Financial,"Financial, Property & Business Services","Financial transaction process/accounting",Enhancement,MF,3GL,C,89,983,983,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Financial,18,"Financial, Property & Business Services",17,"Financial transaction process/accounting",187,MF,78,3GL,330,C,13,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
13712,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,39,823,823,3,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13795,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,4GL,Oracle,63,865,865,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,4GL,61,Oracle,12,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13884,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,26,184,136,2,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13896,"Service Industry","Community Services","Document management",Enhancement,PC,3GL,PL/SQL,50,1136,1136,-1,"Oracle 8.1.6","Waterfall (incl Linear Processing & SSADM)",-1,"Service Industry",9,"Community Services",1,"Document management",2,PC,23,3GL,330,PL/SQL,19,"Oracle 8.1.6",3,"Waterfall (incl Linear Processing & SSADM)",380
13915,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,123,723,664,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
13981,Insurance,Insurance,"Sales promotion tool","New Development",PC,3GL,"Visual Basic",895,4998,4648,-1,"SQL Server","Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Sales promotion tool",1,PC,23,3GL,330,"Visual Basic",19,"SQL Server",4,"Waterfall (incl Linear Processing & SSADM)",380
14078,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,53,506,415,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14091,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,"Amdocs framework",52,767,632,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,4GL,61,"Amdocs framework",8,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14157,Insurance,Insurance,"Financial transaction process/accounting","New Development",PC,3GL,COBOL,396,8228,7652,-1,No,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,PC,23,3GL,330,COBOL,34,No,5,"Waterfall (incl Linear Processing & SSADM)",380
14228,Communication,Communications,"Transaction/Production System",Enhancement,Multi,3GL,COBOL,81,129,129,2,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Transaction/Production System",24,Multi,281,3GL,330,COBOL,34,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14257,Utilities,"Electricity, Gas, Water",Reconciliation,"New Development",MF,3GL,PL/I,100,440,440,1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,Utilities,3,"Electricity, Gas, Water",2,Reconciliation,1,MF,78,3GL,330,PL/I,16,IMS,13,"Waterfall (incl Linear Processing & SSADM)",380
14289,Government,"GovernmentDanish citizens","Catalogue/register of things or eventsProcessing application for public subsidies",Enhancement,Multi,3GL,C#,154,2009,2009,7,No,"Unified Process",-1,Government,27,"GovernmentDanish citizens",1,"Catalogue/register of things or eventsProcessing application for public subsidies",1,Multi,281,3GL,330,C#,10,No,5,"Unified Process",2
14374,Banking,Banking,"Financial transaction process/accounting","New Development",MF,3GL,PL/I,192,4386,4386,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Financial transaction process/accounting",187,MF,78,3GL,330,PL/I,16,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14410,Government,Government,"Management of Licences and Permits",Enhancement,MF,ApG,COOL:Gen,272,3347,3347,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Management of Licences and Permits",8,MF,78,ApG,9,COOL:Gen,7,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
