pryidind,indsct,progra,conteo2ind
25618,Government,Government,27
25641,Manufacturing,Manufacturing,12
25786,Communication,Communication,189
25885,Banking,Banking,19
25916,Communication,Communication,189
25926,Government,Government,27
25931,Insurance,Insurance,53
25975,Utilities,Utilities,3
25979,Insurance,Insurance,53
26007,Communication,Communication,189
26047,Communication,Communication,189
26096,Communication,Communication,189
26105,"Medical & Health Care","Medical & Health Care",57
26137,"Medical & Health Care","Medical & Health Care",57
26156,Government,Government,27
26187,Communication,Communication,189
26199,Communication,Communication,189
26274,Communication,Communication,189
26284,Communication,Communication,189
26290,"Medical & Health Care","Medical & Health Care",57
26315,Insurance,Insurance,53
26339,"Wholesale & Retail","Wholesale & Retail",5
26391,Communication,Communication,189
26457,Insurance,Insurance,53
26470,Manufacturing,Manufacturing,12
26513,Communication,Communication,189
26537,Insurance,Insurance,53
26575,Insurance,Insurance,53
26604,"Medical & Health Care","Medical & Health Care",57
26738,"Medical & Health Care","Medical & Health Care",57
26765,Communication,Communication,189
26888,Insurance,Insurance,53
26895,Communication,Communication,189
26925,"Medical & Health Care","Medical & Health Care",57
26994,Government,Government,27
26997,Insurance,Insurance,53
27060,Financial,Financial,18
27151,Communication,Communication,189
27171,Communication,Communication,189
27245,"Medical & Health Care","Medical & Health Care",57
27357,Communication,Communication,189
27361,Communication,Communication,189
27423,Insurance,Insurance,53
27574,Communication,Communication,189
27727,Communication,Communication,189
27743,"Medical & Health Care","Medical & Health Care",57
27745,"Medical & Health Care","Medical & Health Care",57
27858,Communication,Communication,189
