pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc,conteodvltyp
13981,53,53,1,"New Development",23,330,19,895,4998,4648,-1,4,380,-1,74
14078,189,150,33,Enhancement,281,330,177,53,506,415,-1,287,380,-1,323
14091,189,150,33,Enhancement,281,61,8,52,767,632,-1,287,380,-1,323
14157,53,53,187,"New Development",23,330,34,396,8228,7652,-1,5,380,-1,74
14228,189,34,24,Enhancement,281,330,34,81,129,129,2,287,380,-1,323
14257,3,2,1,"New Development",78,330,16,100,440,440,1,13,380,-1,74
14289,27,1,1,Enhancement,281,330,10,154,2009,2009,7,5,2,-1,323
14374,19,19,187,"New Development",78,330,16,192,4386,4386,-1,287,380,-1,74
14410,27,19,8,Enhancement,78,9,7,272,3347,3347,-1,287,380,-1,323
14422,189,150,187,"New Development",281,330,177,2043,23271,22014,-1,287,380,-1,74
14439,27,19,8,Enhancement,78,9,7,57,1810,1810,-1,287,380,-1,323
14466,53,53,187,Enhancement,281,61,4,84,867,711,-1,287,380,-1,323
14483,189,150,33,Enhancement,281,330,19,67,995,816,-1,287,380,-1,323
14494,57,57,187,Enhancement,281,330,177,18,1672,1672,52,287,380,-1,323
14544,57,57,187,Enhancement,281,330,177,4,1330,1064,20,287,380,-1,323
14712,53,53,187,Enhancement,281,330,19,385,7352,7352,-1,1,380,-1,323
14715,189,150,12,Enhancement,281,330,177,62,790,648,-1,287,380,-1,323
14758,53,53,187,Enhancement,281,330,19,97,3862,3592,-1,4,380,-1,323
14764,19,19,9,Enhancement,78,330,34,57,1179,1179,-1,13,380,-1,323
14780,189,150,1,Enhancement,281,330,177,108,671,550,-1,287,380,-1,323
14879,189,34,13,Enhancement,78,330,177,271,3303,3303,-1,30,380,-1,323
14892,189,150,33,Enhancement,281,330,177,195,2170,1992,-1,287,380,-1,323
14959,189,150,33,Enhancement,281,61,8,59,811,668,-1,287,380,-1,323
14968,57,57,187,Enhancement,281,330,177,21,141,120,7,287,380,-1,323
14972,53,53,3,"New Development",78,330,34,236,7704,5778,-1,13,380,-1,74
15008,189,150,12,"New Development",281,330,177,116,626,626,-1,30,380,-1,74
15009,189,34,13,Enhancement,281,330,177,14,434,434,-1,30,380,-1,323
15047,18,17,187,Enhancement,78,61,3,60,304,304,-1,30,380,-1,323
15123,53,53,187,"New Development",18,330,177,775,5592,5200,-1,287,380,-1,74
15149,189,150,33,Enhancement,281,330,177,167,473,388,-1,287,380,-1,323
15197,27,19,2,Re-development,23,330,10,253,12601,11719,13,287,380,-1,3
15211,53,53,187,Enhancement,281,330,177,146,1770,1451,-1,287,380,-1,323
15240,19,19,2,"New Development",78,330,16,228,8631,8027,-1,287,380,-1,74
15351,189,34,2,Enhancement,281,330,13,468,10498,8713,28,287,380,-1,323
15371,189,34,13,Enhancement,281,330,177,372,8604,8604,-1,30,380,-1,323
15402,189,150,187,"New Development",281,330,19,224,2444,2444,-1,287,380,33500,74
15409,53,53,187,Enhancement,281,330,177,132,418,343,-1,287,380,-1,323
15436,189,150,187,"New Development",281,61,4,95,474,380,-1,287,380,-1,74
15489,189,150,5,Enhancement,281,330,6,72,3407,2794,-1,287,380,-1,323
15561,18,17,187,Enhancement,78,330,2,112,1597,1597,-1,30,380,-1,323
15593,189,150,1,Enhancement,281,330,177,163,2064,1701,-1,287,380,-1,323
15622,57,57,187,Enhancement,281,330,177,114,15480,15480,91,287,380,-1,323
15670,53,53,187,Enhancement,281,330,19,56,90,83,-1,287,380,-1,323
15689,189,150,33,Enhancement,281,61,8,135,2184,1800,-1,287,380,-1,323
15724,189,150,12,Enhancement,281,330,177,77,488,400,-1,287,380,-1,323
15732,189,150,33,Enhancement,281,330,177,212,2849,2616,-1,287,380,-1,323
15733,57,57,187,Enhancement,281,330,177,87,4820,4820,21,287,380,-1,323
15745,189,150,187,Enhancement,281,330,177,76,37,37,-1,287,380,-1,323
15823,27,19,8,Enhancement,78,9,7,251,4093,3725,-1,287,380,-1,323
15850,57,57,187,Enhancement,281,330,177,4,494,395,9,287,380,-1,323
15947,57,57,187,Enhancement,281,330,177,7,1466,953,7,287,380,-1,323
16165,27,19,8,Enhancement,78,9,7,155,3864,3516,-1,287,380,-1,323
16185,18,17,187,Enhancement,78,61,12,89,2823,2823,-1,30,380,-1,323
16190,27,19,8,Enhancement,78,9,7,53,927,686,-1,287,380,-1,323
16191,189,150,12,Enhancement,281,330,177,105,2020,1656,-1,287,380,-1,323
16196,27,3,24,"New Development",78,330,34,57,623,623,4,287,380,-1,74
16232,189,150,187,"New Development",281,330,177,759,1100,110,-1,287,380,-1,74
16330,53,53,187,Enhancement,281,330,5,56,138,127,-1,287,380,-1,323
16431,57,57,187,Enhancement,281,330,177,72,9957,9957,60,287,380,-1,323
16439,57,57,187,Enhancement,281,330,177,10,2188,2188,39,287,380,-1,323
16466,9,3,1,Enhancement,23,330,19,245,1149,1149,5,1,380,-1,323
16467,189,150,187,"New Development",281,61,7,693,12510,12510,9,287,380,146000,74
16525,189,2,2,Enhancement,78,330,11,283,13716,13716,-1,287,380,-1,323
16534,189,150,12,Enhancement,281,330,177,107,2332,1912,-1,287,380,-1,323
16645,189,34,24,Enhancement,18,61,12,222,2007,1666,6,21,380,-1,323
16682,18,1,187,Enhancement,281,61,7,169,778,778,3,1,380,-1,323
16685,18,17,1,Enhancement,23,330,11,1317,13353,13353,-1,21,2,-1,323
16701,19,19,187,Enhancement,78,330,16,30,1037,965,-1,13,380,-1,323
16766,189,34,13,Enhancement,281,330,177,57,727,727,-1,30,380,-1,323
16771,5,1,1,Enhancement,281,330,11,137,7862,7862,-1,21,380,-1,323
16819,53,53,187,Enhancement,281,330,177,121,945,775,-1,287,380,-1,323
16843,189,150,2,Enhancement,281,330,2,333,2175,1792,-1,287,380,-1,323
16875,27,2,2,Enhancement,78,330,34,37,774,774,-1,287,380,-1,323
16886,189,150,12,"New Development",281,330,177,88,440,440,-1,30,380,-1,74
16889,12,8,187,"New Development",23,330,177,177,1946,1946,7,21,380,-1,74
16932,189,150,33,Enhancement,281,330,177,188,1298,1064,-1,287,380,-1,323
16963,189,150,33,Enhancement,281,330,19,87,1280,1050,-1,287,380,-1,323
16997,53,53,187,Enhancement,78,330,34,151,3540,2655,-1,13,380,-1,323
17078,189,150,10,Enhancement,281,330,5,100,1093,896,-1,287,380,-1,323
17117,53,53,187,Enhancement,281,61,4,86,273,224,-1,287,380,-1,323
17172,53,53,187,Enhancement,281,61,1,138,1240,1138,-1,287,380,-1,323
17184,27,19,3,Enhancement,281,330,10,331,3806,3806,9,287,380,-1,323
17222,53,53,187,Enhancement,281,330,177,50,159,130,-1,287,380,-1,323
17246,189,150,187,Enhancement,78,330,34,27,993,993,-1,287,380,-1,323
17279,189,150,1,Enhancement,281,61,1,70,847,698,-1,287,380,-1,323
17287,189,2,1,Enhancement,281,330,34,154,4251,4251,-1,21,380,-1,323
17308,57,57,187,Enhancement,281,330,177,4,380,346,10,287,380,-1,323
17429,57,57,187,Enhancement,281,330,177,19,3722,3722,70,287,380,-1,323
17455,189,150,187,Enhancement,281,330,177,366,7359,7359,-1,287,380,-1,323
17498,189,34,187,Enhancement,281,330,177,49,966,802,2,287,380,-1,323
17584,57,57,187,Enhancement,281,330,177,25,302,275,14,287,380,-1,323
17594,9,1,2,Enhancement,281,61,7,497,2208,2208,-1,21,380,-1,323
17603,57,57,187,Enhancement,281,330,177,12,1056,380,14,287,380,-1,323
17639,189,34,24,Enhancement,18,61,12,115,2802,2326,9,21,380,-1,323
17663,189,34,24,Enhancement,281,330,34,763,4272,3546,8,287,380,-1,323
17743,19,19,9,Enhancement,78,330,34,73,1404,1404,-1,13,3,-1,323
17758,189,150,187,Enhancement,281,330,11,144,426,426,4,287,380,-1,323
17872,2,2,2,Enhancement,78,330,34,467,1950,1950,-1,287,380,-1,323
17903,12,2,1,Enhancement,78,330,177,1557,6525,6525,-1,3,380,-1,323
17990,57,57,187,Enhancement,281,330,177,85,29478,29478,138,287,380,-1,323
17995,189,150,2,Enhancement,281,330,177,100,1502,1379,-1,287,380,-1,323
18012,53,53,187,Enhancement,281,330,5,93,302,277,-1,287,380,-1,323
18015,189,150,187,Enhancement,281,330,1,66,406,406,4,287,380,5000,323
18044,189,150,187,Enhancement,281,330,177,425,1625,1285,-1,287,380,-1,323
18088,53,53,1,Enhancement,281,330,177,337,8332,8332,20,287,3,-1,323
18119,27,19,1,Enhancement,281,330,10,109,2715,2715,5,287,2,-1,323
18310,53,53,187,Enhancement,281,330,177,58,83,68,-1,287,380,-1,323
18346,57,57,187,Enhancement,281,330,177,25,1008,857,15,287,380,-1,323
18361,27,19,8,Enhancement,281,330,177,8,1096,855,-1,287,380,-1,323
18387,18,17,24,"New Development",23,330,6,106,17050,17050,-1,287,2,-1,74
18410,189,150,187,Enhancement,281,330,34,103,4496,4496,-1,287,380,-1,323
18417,189,150,33,Enhancement,281,330,177,142,1770,1451,-1,287,380,-1,323
18427,18,17,24,"New Development",78,330,177,288,3840,3840,-1,287,5,-1,74
18428,189,150,12,Enhancement,281,330,177,151,2737,2244,-1,287,380,-1,323
18438,19,19,187,"New Development",78,330,16,207,6069,5644,-1,287,380,-1,74
18442,18,17,187,Enhancement,78,330,3,122,1596,1596,-1,30,380,-1,323
18459,18,17,24,Enhancement,78,330,177,58,1040,1040,-1,287,380,-1,323
18498,189,150,33,Enhancement,281,330,177,64,1211,1112,-1,287,380,-1,323
18638,189,150,1,Enhancement,281,330,34,477,2726,2726,-1,287,380,-1,323
18663,189,150,187,Enhancement,281,330,177,92,315,315,2,287,380,-1,323
18697,189,150,33,Enhancement,281,61,8,106,519,428,-1,287,380,-1,323
18735,189,150,4,Enhancement,281,330,19,67,1133,1040,-1,287,380,-1,323
18746,27,1,1,Enhancement,281,330,10,337,11680,11680,9,287,380,-1,323
18808,189,150,33,Enhancement,281,330,19,91,1574,1291,-1,287,380,-1,323
18890,53,53,187,Enhancement,281,330,177,87,112,92,-1,287,380,-1,323
18917,53,53,187,Enhancement,281,61,3,59,77,71,-1,287,380,-1,323
18945,18,17,187,Enhancement,78,330,2,88,1196,1196,-1,30,380,-1,323
18961,189,150,8,Enhancement,281,330,177,56,849,696,-1,287,380,-1,323
19040,57,57,187,Enhancement,281,330,177,14,1898,1689,32,287,380,-1,323
19079,57,57,187,Enhancement,281,330,177,63,3141,2953,62,287,380,-1,323
19114,27,1,1,Enhancement,281,330,10,392,15729,15729,12,287,380,-1,323
19122,189,150,5,Enhancement,281,330,6,52,820,672,-1,287,380,-1,323
19136,57,57,187,Enhancement,281,330,177,12,1456,1456,46,287,380,-1,323
19148,189,150,187,"New Development",281,330,13,300,889,889,6,287,380,2000,74
19154,53,53,187,"New Development",78,330,34,6,1008,937,-1,4,380,-1,74
19189,189,150,2,Enhancement,281,330,177,73,1765,1447,-1,287,380,-1,323
19297,53,53,187,Enhancement,281,330,177,195,1211,993,-1,287,380,-1,323
19303,5,2,8,Enhancement,78,330,13,86,1102,1102,-1,287,380,-1,323
19403,57,57,187,Enhancement,281,330,177,12,1320,1320,36,287,380,-1,323
19410,19,19,187,Enhancement,78,330,16,255,6069,5644,-1,287,380,-1,323
19456,53,53,187,Enhancement,281,330,19,638,21564,10135,-1,5,380,-1,323
19461,57,57,187,Enhancement,281,330,177,35,7330,7330,49,287,380,-1,323
19490,189,34,9,Enhancement,281,330,11,121,1293,1293,4,287,380,-1,323
19491,189,150,187,Enhancement,281,330,13,263,1311,970,3,287,380,6400,323
19594,53,53,187,Enhancement,281,61,12,62,578,474,-1,287,380,-1,323
19659,189,150,12,Enhancement,281,330,177,61,354,354,-1,30,380,-1,323
19660,18,17,187,Enhancement,78,330,3,97,1211,1211,-1,30,380,-1,323
19671,189,150,24,Enhancement,78,330,34,98,3271,2944,6,1,380,-1,323
19680,189,2,1,Enhancement,78,330,13,119,1907,1907,-1,21,380,-1,323
19730,27,19,187,"New Development",23,61,1,795,2187,2187,6,4,380,-1,74
19757,27,19,1,"New Development",281,330,177,127,1536,1536,5,21,380,-1,74
19799,189,150,33,Enhancement,281,330,177,70,1107,908,-1,287,380,-1,323
19815,3,2,1,Re-development,78,330,16,125,330,330,2,287,380,-1,3
19881,5,2,8,Enhancement,281,330,34,64,620,620,-1,287,380,-1,323
19885,57,57,187,Enhancement,281,330,177,36,6452,6452,87,287,380,-1,323
19905,19,19,3,"New Development",23,330,13,29,395,395,-1,2,380,-1,74
20082,189,150,187,Enhancement,281,61,4,245,1113,880,-1,287,380,-1,323
20093,12,8,187,Enhancement,78,330,16,1062,15972,15972,24,1,380,412409,323
20106,27,3,24,Enhancement,78,330,34,32,300,300,2,287,380,-1,323
20115,189,150,33,Enhancement,281,330,177,54,654,536,-1,287,380,-1,323
20123,53,53,187,Enhancement,281,330,177,84,213,175,-1,287,380,-1,323
20177,189,34,24,Enhancement,18,330,1,80,1251,1038,7,1,380,-1,323
20236,53,53,187,Enhancement,281,330,177,83,238,195,-1,287,380,-1,323
20352,57,57,187,Enhancement,281,330,177,34,706,706,29,287,380,-1,323
20398,189,150,187,Enhancement,281,61,12,51,536,536,-1,287,380,-1,323
20419,189,150,1,Enhancement,281,330,177,167,1122,920,-1,287,380,-1,323
20477,12,8,2,"New Development",281,330,19,177,1570,1570,-1,3,380,-1,74
20538,57,57,187,Enhancement,281,330,177,4,624,568,15,287,380,-1,323
20614,189,150,187,"New Development",281,330,177,650,3672,3048,-1,287,380,-1,74
20758,189,150,12,Enhancement,281,330,177,113,1024,840,-1,287,380,-1,323
20776,189,150,12,Enhancement,281,330,177,51,988,810,-1,287,380,-1,323
20837,189,150,187,"New Development",281,330,13,79,1108,1030,2,287,380,3200,74
20887,57,57,187,Enhancement,281,330,177,34,1407,1196,18,287,380,-1,323
20892,27,19,8,Enhancement,78,9,7,221,3191,2202,-1,287,380,-1,323
21078,189,150,10,Enhancement,281,61,12,107,349,320,-1,287,380,-1,323
21107,27,19,187,Enhancement,281,330,16,335,19706,19706,15,287,380,-1,323
21114,189,150,12,Enhancement,281,330,177,33,175,175,-1,30,380,-1,323
21151,189,34,13,Enhancement,281,330,177,213,6391,6391,-1,30,380,-1,323
21180,4,1,2,"New Development",23,330,19,235,781,781,-1,1,380,-1,74
21195,189,150,8,Enhancement,281,330,177,130,2029,1664,-1,287,380,-1,323
21198,189,150,3,Enhancement,281,330,1,82,758,696,-1,287,380,-1,323
21261,53,53,187,Enhancement,78,330,34,150,2218,2218,-1,13,380,-1,323
21317,57,57,187,Enhancement,281,330,177,67,5920,4736,21,287,380,-1,323
21370,53,53,187,Enhancement,281,330,177,70,217,178,-1,287,380,-1,323
21394,189,150,187,Enhancement,281,330,177,51,337,280,1,287,380,-1,323
21399,189,34,24,Enhancement,281,61,4,82,410,410,4,287,380,-1,323
21420,189,150,187,"New Development",281,330,19,314,1260,1260,8,287,380,10000,74
21429,189,150,1,Enhancement,281,330,177,55,3639,2984,-1,287,380,-1,323
21433,189,150,10,Enhancement,281,330,19,59,733,604,-1,287,380,-1,323
21467,189,150,33,Enhancement,281,61,8,106,3644,3003,-1,287,380,-1,323
21496,19,19,187,Enhancement,78,330,16,34,109,61,-1,2,380,-1,323
21522,53,53,187,Enhancement,281,330,177,133,104,85,-1,287,380,-1,323
21552,12,150,187,"New Development",281,61,4,154,1257,1008,-1,287,380,-1,74
21609,189,34,13,Enhancement,281,61,177,12,355,355,-1,30,380,-1,323
21623,189,150,33,Enhancement,281,330,19,228,1502,1232,-1,287,380,-1,323
21668,18,17,187,"New Development",281,61,3,281,4030,4030,-1,1,380,-1,74
21775,189,34,13,Enhancement,78,330,177,141,5156,5156,-1,6,380,-1,323
21824,53,53,187,Enhancement,281,330,177,54,307,252,-1,287,380,-1,323
21859,53,53,187,Enhancement,281,61,4,98,376,308,-1,287,380,-1,323
21915,4,3,9,"New Development",78,330,16,383,1367,1230,2,287,380,-1,74
22063,53,53,24,Enhancement,78,330,16,124,3639,3639,12,1,380,-1,323
22274,27,19,2,Enhancement,281,330,16,234,5103,5103,11,287,380,-1,323
22342,189,150,12,Enhancement,281,330,177,113,1024,840,-1,287,380,-1,323
22361,189,34,24,Enhancement,281,330,34,214,1430,1187,-1,287,380,-1,323
22425,57,57,187,Enhancement,281,330,177,29,4033,3428,15,287,380,-1,323
22465,189,150,187,"New Development",281,61,2,264,432,402,-1,287,380,-1,74
22471,53,53,187,Enhancement,78,330,19,167,6398,6398,-1,4,380,-1,323
22495,189,150,5,Enhancement,281,330,6,308,7746,6352,-1,287,380,-1,323
22507,19,19,24,"New Development",78,330,34,499,10613,10613,7,1,380,-1,74
22638,189,150,187,Enhancement,281,330,3,92,473,473,-1,287,380,-1,323
22727,27,19,8,Enhancement,78,9,7,339,3622,3622,-1,287,380,-1,323
22776,189,150,33,Enhancement,281,330,177,53,1109,909,-1,287,380,-1,323
22886,189,34,13,Enhancement,281,61,177,110,902,902,-1,30,380,-1,323
22893,189,150,12,"New Development",281,61,177,133,1609,1609,-1,30,380,-1,74
22922,57,57,187,Enhancement,281,330,177,27,11374,9668,30,287,380,-1,323
22951,189,150,1,Enhancement,281,330,177,112,458,377,-1,287,380,-1,323
22957,189,150,5,Enhancement,281,330,1,63,1063,872,-1,287,380,-1,323
23066,19,19,187,Enhancement,78,330,1,44,326,326,-1,1,380,-1,323
23110,189,150,10,Enhancement,281,330,5,52,360,295,-1,287,380,-1,323
23122,57,57,187,Enhancement,281,330,177,67,6021,6021,62,287,380,-1,323
23182,189,150,33,Enhancement,281,330,2,144,1798,1482,-1,287,380,-1,323
23317,189,150,187,Enhancement,23,330,19,32,578,578,-1,287,380,-1,323
23467,57,57,187,Enhancement,281,330,177,7,682,682,19,287,380,-1,323
23518,189,34,13,Enhancement,281,61,177,25,626,626,-1,30,380,-1,323
23538,57,57,187,Enhancement,281,330,177,30,3535,3535,70,287,380,-1,323
23559,1,1,9,"New Development",78,330,177,7400,60270,60270,45,287,380,-1,74
23565,18,17,187,Enhancement,281,330,177,87,1652,1652,-1,30,380,-1,323
23573,189,150,187,Enhancement,281,330,177,1238,1960,1960,7,287,380,-1,323
23656,189,150,3,Enhancement,281,330,177,68,924,758,-1,287,380,-1,323
23687,12,1,3,"New Development",18,61,1,647,12815,8330,12,1,380,-1,74
23698,189,2,2,Enhancement,78,330,11,515,27251,27251,-1,287,380,-1,323
23708,189,34,9,Enhancement,23,61,12,75,569,569,10,287,380,-1,323
23712,189,34,2,Enhancement,18,330,13,187,2075,1888,7,2,380,-1,323
23741,57,57,187,Enhancement,281,330,177,16,5242,5242,69,287,380,-1,323
23766,53,53,187,Enhancement,281,330,5,139,495,454,-1,287,380,-1,323
23777,189,34,13,Enhancement,78,330,177,62,700,700,-1,6,380,-1,323
23784,57,57,187,Enhancement,281,330,177,19,3933,3933,42,287,380,-1,323
23972,57,57,187,Enhancement,281,330,177,6,168,168,12,287,380,-1,323
24009,53,53,187,"New Development",78,330,34,102,2786,2061,-1,13,380,-1,74
24042,19,19,24,"New Development",78,330,177,159,3084,2776,5,13,3,-1,74
24043,189,150,12,"New Development",281,330,177,267,1442,1442,-1,30,380,-1,74
24125,2,2,2,Enhancement,78,330,34,149,1089,1013,-1,287,380,-1,323
24135,189,150,8,Enhancement,281,330,177,124,1649,1352,-1,287,380,-1,323
24141,189,150,10,Enhancement,281,330,19,87,290,239,-1,287,380,-1,323
24151,189,150,12,Enhancement,78,330,177,89,1032,1032,-1,6,380,-1,323
24210,53,53,187,Enhancement,281,330,19,159,313,257,-1,287,380,-1,323
24366,189,34,24,Enhancement,281,330,34,138,2988,2988,6,287,380,-1,323
24407,12,8,2,"New Development",281,61,2,639,2420,2420,-1,1,380,-1,74
24457,189,150,3,Enhancement,281,330,177,66,776,712,-1,287,380,-1,323
24505,189,150,4,Enhancement,281,330,19,66,825,680,-1,287,380,-1,323
24543,57,57,187,Enhancement,281,330,177,54,11656,11656,98,287,380,-1,323
24573,189,150,5,Enhancement,281,330,6,52,733,601,-1,287,380,-1,323
24615,57,57,187,Enhancement,281,330,177,8,244,244,21,287,380,-1,323
24629,189,150,187,Enhancement,281,330,34,4,38,38,-1,287,380,-1,323
24633,189,150,12,Enhancement,78,330,177,58,800,800,-1,6,380,-1,323
24661,53,53,187,Enhancement,281,330,5,186,312,286,-1,287,380,-1,323
24851,189,150,187,"New Development",281,330,177,2456,2464,2045,-1,287,380,-1,74
24866,53,53,187,Enhancement,281,330,177,146,1215,996,-1,287,380,-1,323
24889,57,57,187,Enhancement,281,330,177,7,241,188,6,287,380,-1,323
24937,53,53,187,"New Development",23,330,34,434,11922,11088,-1,5,380,-1,74
25053,57,57,187,Enhancement,281,330,177,54,7529,7529,48,287,380,-1,323
25120,9,3,187,Enhancement,281,330,16,148,2100,2100,5,287,380,-1,323
25126,189,150,187,"New Development",281,61,4,3383,64317,60844,-1,287,380,-1,74
25151,189,150,33,Enhancement,281,330,177,76,880,808,-1,287,380,-1,323
25158,189,150,1,Enhancement,281,330,177,84,1210,1111,-1,287,380,-1,323
25213,53,53,187,Enhancement,281,330,177,165,402,330,-1,287,380,-1,323
25268,189,150,187,"New Development",281,330,177,141,912,912,3,287,380,-1,74
25270,189,150,187,"New Development",281,330,1,403,1209,774,1,287,380,22000,74
25310,189,150,12,"New Development",281,330,177,256,1766,1766,-1,30,380,-1,74
25336,18,17,187,Enhancement,78,330,13,389,4719,4719,-1,30,380,-1,323
25343,189,150,187,Enhancement,281,330,13,476,5657,4186,8,287,380,-1,323
25346,57,57,187,Enhancement,281,330,177,13,527,448,11,287,380,-1,323
