pryidapp,apptyp2,conteo2app
16196,"Transaction/Production System",24
16232,"Financial transaction process/accounting",187
16330,"Financial transaction process/accounting",187
16431,"Financial transaction process/accounting",187
16439,"Financial transaction process/accounting",187
16466,"Management or performance reportingComplex process control",1
16467,"Financial transaction process/accounting",187
16525,Maintenance,2
16534,"Online. eSales",12
16645,"Transaction/Production System",24
16682,"Financial transaction process/accounting",187
16685,"Office Automation System",1
16701,"Financial transaction process/accounting",187
16766,"relatively complex application",13
16771,Billing,1
16819,"Financial transaction process/accounting",187
16843,"Data or database management",2
16875,Reporting,2
16886,"Financial application area",12
16889,"Financial transaction process/accounting",187
16932,"Customer relationship management",33
16963,"Customer relationship management",33
16997,"Financial transaction process/accounting",187
17078,"Data Warehouse",10
17117,"Financial transaction process/accounting",187
17172,"Financial transaction process/accounting",187
17184,"Management or performance reporting",3
17222,"Financial transaction process/accounting",187
17246,"Financial transaction process/accounting",187
17279,"Other: Online. eSales",1
17287,Local,1
17308,"Financial transaction process/accounting",187
17429,"Financial transaction process/accounting",187
17455,"Financial transaction process/accounting",187
17498,"Financial transaction process/accounting",187
17584,"Financial transaction process/accounting",187
17594,"Logistic or supply planning & control",2
17603,"Financial transaction process/accounting",187
17639,"Transaction/Production System",24
17663,"Transaction/Production System",24
17743,"Management Information System",9
17758,"Financial transaction process/accounting",187
17872,"Complex process control",2
17903,"Information systems",1
17990,"Financial transaction process/accounting",187
17995,"Other: Integration",2
18012,"Financial transaction process/accounting",187
18015,"Financial transaction process/accounting",187
18044,"Financial transaction process/accounting",187
18088,"Workplace Savings",1
18119,IdM,1
18310,"Financial transaction process/accounting",187
18346,"Financial transaction process/accounting",187
18361,"Management of Licences and Permits",8
18387,"Transaction/Production System",24
18410,"Financial transaction process/accounting",187
18417,"Customer relationship management",33
18427,"Transaction/Production System",24
18428,"Online. eSales",12
18438,"Financial transaction process/accounting",187
18442,"Financial transaction process/accounting",187
18459,"Transaction/Production System",24
18498,"Customer relationship management",33
18638,"MS Business Platform",1
18663,"Financial transaction process/accounting",187
18697,"Customer relationship management",33
18735,"Customer billing",4
18746,"Catalogue/register of things or eventsWorkflow support & managementElectronic Data Interchange",1
18808,"Customer relationship management",33
18890,"Financial transaction process/accounting",187
18917,"Financial transaction process/accounting",187
18945,"Financial transaction process/accounting",187
18961,"Stock control & order processing",8
19040,"Financial transaction process/accounting",187
19079,"Financial transaction process/accounting",187
19114,"Tax system",1
19122,Integration,5
19136,"Financial transaction process/accounting",187
19148,"Financial transaction process/accounting",187
19154,"Financial transaction process/accounting",187
19189,"Logistic or supply planning & control",2
19297,"Financial transaction process/accounting",187
19303,"Stock control & order processing",8
19403,"Financial transaction process/accounting",187
19410,"Financial transaction process/accounting",187
19456,"Financial transaction process/accounting",187
19461,"Financial transaction process/accounting",187
19490,"Management Information System",9
19491,"Financial transaction process/accounting",187
19594,"Financial transaction process/accounting",187
19659,"Financial application area",12
19660,"Financial transaction process/accounting",187
19671,"Transaction/Production System",24
19680,"Ordering & provisioning system",1
19730,"Financial transaction process/accounting",187
19757,"Catalogue/register of things or eventsDocument managementOnline analysis and reporting",1
19799,"Customer relationship management",33
19815,"Corporate Taxation",1
19881,"Stock control & order processing",8
19885,"Financial transaction process/accounting",187
19905,"Sales contact management",3
20082,"Financial transaction process/accounting",187
20093,"Financial transaction process/accounting",187
20106,"Transaction/Production System",24
20115,"Customer relationship management",33
20123,"Financial transaction process/accounting",187
20177,"Transaction/Production System",24
20236,"Financial transaction process/accounting",187
20352,"Financial transaction process/accounting",187
20398,"Financial transaction process/accounting",187
20419,"Billing and ERP",1
20477,"Document management",2
20538,"Financial transaction process/accounting",187
20614,"Financial transaction process/accounting",187
20758,"Online. eSales",12
20776,"Online. eSales",12
20837,"Financial transaction process/accounting",187
20887,"Financial transaction process/accounting",187
20892,"Management of Licences and Permits",8
21078,"Data Warehouse",10
21107,"Financial transaction process/accounting",187
21114,"Financial application area",12
21151,"relatively complex application",13
21180,Trading,2
21195,"Stock control & order processing",8
21198,Other,3
21261,"Financial transaction process/accounting",187
21317,"Financial transaction process/accounting",187
21370,"Financial transaction process/accounting",187
21394,"Financial transaction process/accounting",187
21399,"Transaction/Production System",24
21420,"Financial transaction process/accounting",187
21429,"GEO Information Management",1
21433,"Data Warehouse",10
21467,"Customer relationship management",33
21496,"Financial transaction process/accounting",187
21522,"Financial transaction process/accounting",187
21552,"Financial transaction process/accounting",187
21609,"relatively complex application",13
21623,"Customer relationship management",33
21668,"Financial transaction process/accounting",187
21775,"relatively complex application",13
21824,"Financial transaction process/accounting",187
21859,"Financial transaction process/accounting",187
21915,"Management Information System",9
22063,"Transaction/Production System",24
22274,"Job, case, incident, project management",2
22342,"Online. eSales",12
22361,"Transaction/Production System",24
22425,"Financial transaction process/accounting",187
22465,"Financial transaction process/accounting",187
22471,"Financial transaction process/accounting",187
22495,Integration,5
22507,"Transaction/Production System",24
22638,"Financial transaction process/accounting",187
22727,"Management of Licences and Permits",8
22776,"Customer relationship management",33
22886,"relatively complex application",13
22893,"Financial application area",12
22922,"Financial transaction process/accounting",187
22951,"Operational CRM",1
22957,"Workflow support & management",5
23066,"Financial transaction process/accounting",187
23110,"Data Warehouse",10
23122,"Financial transaction process/accounting",187
23182,"Customer relationship management",33
23317,"Financial transaction process/accounting",187
23467,"Financial transaction process/accounting",187
23518,"relatively complex application",13
23538,"Financial transaction process/accounting",187
23559,"Management Information System",9
23565,"Financial transaction process/accounting",187
23573,"Financial transaction process/accounting",187
23656,"Management or performance reporting",3
23687,"Management or performance reporting",3
23698,Maintenance,2
23708,"Management Information System",9
23712,"Telecom & network management",2
23741,"Financial transaction process/accounting",187
23766,"Financial transaction process/accounting",187
23777,"relatively complex application",13
23784,"Financial transaction process/accounting",187
23972,"Financial transaction process/accounting",187
24009,"Financial transaction process/accounting",187
24042,"Transaction/Production System",24
24043,"Financial application area",12
24125,"Complex process control",2
24135,"Stock control & order processing",8
24141,"Data Warehouse",10
24151,"Financial application area",12
24210,"Financial transaction process/accounting",187
24366,"Transaction/Production System",24
24407,Trading,2
24457,Other,3
24505,"Customer billing",4
24543,"Financial transaction process/accounting",187
24573,Integration,5
24615,"Financial transaction process/accounting",187
24629,"Financial transaction process/accounting",187
24633,"Financial application area",12
24661,"Financial transaction process/accounting",187
24851,"Financial transaction process/accounting",187
24866,"Financial transaction process/accounting",187
24889,"Financial transaction process/accounting",187
24937,"Financial transaction process/accounting",187
25053,"Financial transaction process/accounting",187
25120,"Financial transaction process/accounting",187
25126,"Financial transaction process/accounting",187
25151,"Customer relationship management",33
25158,"Other: Service Order & Activation Management",1
25213,"Financial transaction process/accounting",187
25268,"Financial transaction process/accounting",187
25270,"Financial transaction process/accounting",187
25310,"Financial application area",12
25336,"Financial transaction process/accounting",187
25343,"Financial transaction process/accounting",187
25346,"Financial transaction process/accounting",187
25438,"Customer relationship management",33
25461,"Financial transaction process/accounting",187
25509,"relatively complex application",13
25516,"Customer billing",4
25543,"Number of Hosting Solution",1
25618,"Catalogue/register of things or events",1
25641,"Production management",1
25786,"Stock control & order processing",8
25885,"Financial transaction process/accounting",187
25916,"Artifical Intelligence based engine",1
25926,"Transaction/Production System",24
25931,"Customer relationship management",33
25975,Transportation,1
25979,"Financial transaction process/accounting",187
26007,"Customer relationship management",33
26047,"Financial transaction process/accounting",187
26096,"Financial transaction process/accounting",187
26105,"Financial transaction process/accounting",187
26137,"Financial transaction process/accounting",187
26156,"Catalogue/register of things or eventsWorkflow support & management",1
26187,"Customer relationship management",33
26199,"relatively complex application",13
26274,"Online. eSales",12
26284,"Decision Support System",2
26290,"Financial transaction process/accounting",187
26315,"Financial transaction process/accounting",187
26339,"Inventory Control",1
26391,"Data Warehouse",10
26457,"Financial transaction process/accounting",187
26470,"Workflow support & management",5
26513,"Customer relationship management",33
26537,"Financial transaction process/accounting",187
26575,"Financial transaction process/accounting",187
26604,"Financial transaction process/accounting",187
26738,"Financial transaction process/accounting",187
26765,"Management Information System",9
26888,"Financial transaction process/accounting",187
26895,"Financial transaction process/accounting",187
26925,"Financial transaction process/accounting",187
26994,Reporting,2
26997,"Online Insurance product comparision tool",1
27060,"Transaction/Production System",24
27151,"Customer relationship management",33
27171,"Financial application area",12
27245,"Financial transaction process/accounting",187
27357,"Transaction/Production System",24
27361,"Data or database management",2
27423,"Financial transaction process/accounting",187
27574,"Financial transaction process/accounting",187
27727,"Transaction/Production System",24
27743,"Financial transaction process/accounting",187
27745,"Financial transaction process/accounting",187
27858,"Customer billing",4
