pryiddvlmtd,dvlmtd2,conteo2dvlmtd
16191,"Waterfall (incl Linear Processing & SSADM)",380
16196,"Waterfall (incl Linear Processing & SSADM)",380
16232,"Waterfall (incl Linear Processing & SSADM)",380
16330,"Waterfall (incl Linear Processing & SSADM)",380
16431,"Waterfall (incl Linear Processing & SSADM)",380
16439,"Waterfall (incl Linear Processing & SSADM)",380
16466,"Waterfall (incl Linear Processing & SSADM)",380
16467,"Waterfall (incl Linear Processing & SSADM)",380
16525,"Waterfall (incl Linear Processing & SSADM)",380
16534,"Waterfall (incl Linear Processing & SSADM)",380
16645,"Waterfall (incl Linear Processing & SSADM)",380
16682,"Waterfall (incl Linear Processing & SSADM)",380
16685,"Joint Application Development (JAD)",2
16701,"Waterfall (incl Linear Processing & SSADM)",380
16766,"Waterfall (incl Linear Processing & SSADM)",380
16771,"Waterfall (incl Linear Processing & SSADM)",380
16819,"Waterfall (incl Linear Processing & SSADM)",380
16843,"Waterfall (incl Linear Processing & SSADM)",380
16875,"Waterfall (incl Linear Processing & SSADM)",380
16886,"Waterfall (incl Linear Processing & SSADM)",380
16889,"Waterfall (incl Linear Processing & SSADM)",380
16932,"Waterfall (incl Linear Processing & SSADM)",380
16963,"Waterfall (incl Linear Processing & SSADM)",380
16997,"Waterfall (incl Linear Processing & SSADM)",380
17078,"Waterfall (incl Linear Processing & SSADM)",380
17117,"Waterfall (incl Linear Processing & SSADM)",380
17172,"Waterfall (incl Linear Processing & SSADM)",380
17184,"Waterfall (incl Linear Processing & SSADM)",380
17222,"Waterfall (incl Linear Processing & SSADM)",380
17246,"Waterfall (incl Linear Processing & SSADM)",380
17279,"Waterfall (incl Linear Processing & SSADM)",380
17287,"Waterfall (incl Linear Processing & SSADM)",380
17308,"Waterfall (incl Linear Processing & SSADM)",380
17429,"Waterfall (incl Linear Processing & SSADM)",380
17455,"Waterfall (incl Linear Processing & SSADM)",380
17498,"Waterfall (incl Linear Processing & SSADM)",380
17584,"Waterfall (incl Linear Processing & SSADM)",380
17594,"Waterfall (incl Linear Processing & SSADM)",380
17603,"Waterfall (incl Linear Processing & SSADM)",380
17639,"Waterfall (incl Linear Processing & SSADM)",380
17663,"Waterfall (incl Linear Processing & SSADM)",380
17743,"Multifunctional Teams",3
17758,"Waterfall (incl Linear Processing & SSADM)",380
17872,"Waterfall (incl Linear Processing & SSADM)",380
17903,"Waterfall (incl Linear Processing & SSADM)",380
17990,"Waterfall (incl Linear Processing & SSADM)",380
17995,"Waterfall (incl Linear Processing & SSADM)",380
18012,"Waterfall (incl Linear Processing & SSADM)",380
18015,"Waterfall (incl Linear Processing & SSADM)",380
18044,"Waterfall (incl Linear Processing & SSADM)",380
18088,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)",3
18119,"Agile Development",2
18310,"Waterfall (incl Linear Processing & SSADM)",380
18346,"Waterfall (incl Linear Processing & SSADM)",380
18361,"Waterfall (incl Linear Processing & SSADM)",380
18387,"Joint Application Development (JAD)",2
18410,"Waterfall (incl Linear Processing & SSADM)",380
18417,"Waterfall (incl Linear Processing & SSADM)",380
18427,"Rapid Application Development (RAD)",5
18428,"Waterfall (incl Linear Processing & SSADM)",380
18438,"Waterfall (incl Linear Processing & SSADM)",380
18442,"Waterfall (incl Linear Processing & SSADM)",380
18459,"Waterfall (incl Linear Processing & SSADM)",380
18498,"Waterfall (incl Linear Processing & SSADM)",380
18638,"Waterfall (incl Linear Processing & SSADM)",380
18663,"Waterfall (incl Linear Processing & SSADM)",380
18697,"Waterfall (incl Linear Processing & SSADM)",380
18735,"Waterfall (incl Linear Processing & SSADM)",380
18746,"Waterfall (incl Linear Processing & SSADM)",380
18808,"Waterfall (incl Linear Processing & SSADM)",380
18890,"Waterfall (incl Linear Processing & SSADM)",380
18917,"Waterfall (incl Linear Processing & SSADM)",380
18945,"Waterfall (incl Linear Processing & SSADM)",380
18961,"Waterfall (incl Linear Processing & SSADM)",380
19040,"Waterfall (incl Linear Processing & SSADM)",380
19079,"Waterfall (incl Linear Processing & SSADM)",380
19114,"Waterfall (incl Linear Processing & SSADM)",380
19122,"Waterfall (incl Linear Processing & SSADM)",380
19136,"Waterfall (incl Linear Processing & SSADM)",380
19148,"Waterfall (incl Linear Processing & SSADM)",380
19154,"Waterfall (incl Linear Processing & SSADM)",380
19189,"Waterfall (incl Linear Processing & SSADM)",380
19297,"Waterfall (incl Linear Processing & SSADM)",380
19303,"Waterfall (incl Linear Processing & SSADM)",380
19403,"Waterfall (incl Linear Processing & SSADM)",380
19410,"Waterfall (incl Linear Processing & SSADM)",380
19456,"Waterfall (incl Linear Processing & SSADM)",380
19461,"Waterfall (incl Linear Processing & SSADM)",380
19490,"Waterfall (incl Linear Processing & SSADM)",380
19491,"Waterfall (incl Linear Processing & SSADM)",380
19594,"Waterfall (incl Linear Processing & SSADM)",380
19659,"Waterfall (incl Linear Processing & SSADM)",380
19660,"Waterfall (incl Linear Processing & SSADM)",380
19671,"Waterfall (incl Linear Processing & SSADM)",380
19680,"Waterfall (incl Linear Processing & SSADM)",380
19730,"Waterfall (incl Linear Processing & SSADM)",380
19757,"Waterfall (incl Linear Processing & SSADM)",380
19799,"Waterfall (incl Linear Processing & SSADM)",380
19815,"Waterfall (incl Linear Processing & SSADM)",380
19881,"Waterfall (incl Linear Processing & SSADM)",380
19885,"Waterfall (incl Linear Processing & SSADM)",380
19905,"Waterfall (incl Linear Processing & SSADM)",380
20082,"Waterfall (incl Linear Processing & SSADM)",380
20093,"Waterfall (incl Linear Processing & SSADM)",380
20106,"Waterfall (incl Linear Processing & SSADM)",380
20115,"Waterfall (incl Linear Processing & SSADM)",380
20123,"Waterfall (incl Linear Processing & SSADM)",380
20177,"Waterfall (incl Linear Processing & SSADM)",380
20236,"Waterfall (incl Linear Processing & SSADM)",380
20352,"Waterfall (incl Linear Processing & SSADM)",380
20398,"Waterfall (incl Linear Processing & SSADM)",380
20419,"Waterfall (incl Linear Processing & SSADM)",380
20477,"Waterfall (incl Linear Processing & SSADM)",380
20538,"Waterfall (incl Linear Processing & SSADM)",380
20614,"Waterfall (incl Linear Processing & SSADM)",380
20758,"Waterfall (incl Linear Processing & SSADM)",380
20776,"Waterfall (incl Linear Processing & SSADM)",380
20837,"Waterfall (incl Linear Processing & SSADM)",380
20887,"Waterfall (incl Linear Processing & SSADM)",380
20892,"Waterfall (incl Linear Processing & SSADM)",380
21078,"Waterfall (incl Linear Processing & SSADM)",380
21107,"Waterfall (incl Linear Processing & SSADM)",380
21114,"Waterfall (incl Linear Processing & SSADM)",380
21151,"Waterfall (incl Linear Processing & SSADM)",380
21180,"Waterfall (incl Linear Processing & SSADM)",380
21195,"Waterfall (incl Linear Processing & SSADM)",380
21198,"Waterfall (incl Linear Processing & SSADM)",380
21261,"Waterfall (incl Linear Processing & SSADM)",380
21317,"Waterfall (incl Linear Processing & SSADM)",380
21370,"Waterfall (incl Linear Processing & SSADM)",380
21394,"Waterfall (incl Linear Processing & SSADM)",380
21399,"Waterfall (incl Linear Processing & SSADM)",380
21420,"Waterfall (incl Linear Processing & SSADM)",380
21429,"Waterfall (incl Linear Processing & SSADM)",380
21433,"Waterfall (incl Linear Processing & SSADM)",380
21467,"Waterfall (incl Linear Processing & SSADM)",380
21496,"Waterfall (incl Linear Processing & SSADM)",380
21522,"Waterfall (incl Linear Processing & SSADM)",380
21552,"Waterfall (incl Linear Processing & SSADM)",380
21609,"Waterfall (incl Linear Processing & SSADM)",380
21623,"Waterfall (incl Linear Processing & SSADM)",380
21668,"Waterfall (incl Linear Processing & SSADM)",380
21775,"Waterfall (incl Linear Processing & SSADM)",380
21824,"Waterfall (incl Linear Processing & SSADM)",380
21859,"Waterfall (incl Linear Processing & SSADM)",380
21915,"Waterfall (incl Linear Processing & SSADM)",380
22063,"Waterfall (incl Linear Processing & SSADM)",380
22274,"Waterfall (incl Linear Processing & SSADM)",380
22342,"Waterfall (incl Linear Processing & SSADM)",380
22361,"Waterfall (incl Linear Processing & SSADM)",380
22425,"Waterfall (incl Linear Processing & SSADM)",380
22465,"Waterfall (incl Linear Processing & SSADM)",380
22471,"Waterfall (incl Linear Processing & SSADM)",380
22495,"Waterfall (incl Linear Processing & SSADM)",380
22507,"Waterfall (incl Linear Processing & SSADM)",380
22638,"Waterfall (incl Linear Processing & SSADM)",380
22727,"Waterfall (incl Linear Processing & SSADM)",380
22776,"Waterfall (incl Linear Processing & SSADM)",380
22886,"Waterfall (incl Linear Processing & SSADM)",380
22893,"Waterfall (incl Linear Processing & SSADM)",380
22922,"Waterfall (incl Linear Processing & SSADM)",380
22951,"Waterfall (incl Linear Processing & SSADM)",380
22957,"Waterfall (incl Linear Processing & SSADM)",380
23066,"Waterfall (incl Linear Processing & SSADM)",380
23110,"Waterfall (incl Linear Processing & SSADM)",380
23122,"Waterfall (incl Linear Processing & SSADM)",380
23182,"Waterfall (incl Linear Processing & SSADM)",380
23317,"Waterfall (incl Linear Processing & SSADM)",380
23467,"Waterfall (incl Linear Processing & SSADM)",380
23518,"Waterfall (incl Linear Processing & SSADM)",380
23538,"Waterfall (incl Linear Processing & SSADM)",380
23559,"Waterfall (incl Linear Processing & SSADM)",380
23565,"Waterfall (incl Linear Processing & SSADM)",380
23573,"Waterfall (incl Linear Processing & SSADM)",380
23656,"Waterfall (incl Linear Processing & SSADM)",380
23687,"Waterfall (incl Linear Processing & SSADM)",380
23698,"Waterfall (incl Linear Processing & SSADM)",380
23708,"Waterfall (incl Linear Processing & SSADM)",380
23712,"Waterfall (incl Linear Processing & SSADM)",380
23741,"Waterfall (incl Linear Processing & SSADM)",380
23766,"Waterfall (incl Linear Processing & SSADM)",380
23777,"Waterfall (incl Linear Processing & SSADM)",380
23784,"Waterfall (incl Linear Processing & SSADM)",380
23972,"Waterfall (incl Linear Processing & SSADM)",380
24009,"Waterfall (incl Linear Processing & SSADM)",380
24042,"Multifunctional Teams",3
24043,"Waterfall (incl Linear Processing & SSADM)",380
24125,"Waterfall (incl Linear Processing & SSADM)",380
24135,"Waterfall (incl Linear Processing & SSADM)",380
24141,"Waterfall (incl Linear Processing & SSADM)",380
24151,"Waterfall (incl Linear Processing & SSADM)",380
24210,"Waterfall (incl Linear Processing & SSADM)",380
24366,"Waterfall (incl Linear Processing & SSADM)",380
24407,"Waterfall (incl Linear Processing & SSADM)",380
24457,"Waterfall (incl Linear Processing & SSADM)",380
24505,"Waterfall (incl Linear Processing & SSADM)",380
24543,"Waterfall (incl Linear Processing & SSADM)",380
24573,"Waterfall (incl Linear Processing & SSADM)",380
24615,"Waterfall (incl Linear Processing & SSADM)",380
24629,"Waterfall (incl Linear Processing & SSADM)",380
24633,"Waterfall (incl Linear Processing & SSADM)",380
24661,"Waterfall (incl Linear Processing & SSADM)",380
24851,"Waterfall (incl Linear Processing & SSADM)",380
24866,"Waterfall (incl Linear Processing & SSADM)",380
24889,"Waterfall (incl Linear Processing & SSADM)",380
24937,"Waterfall (incl Linear Processing & SSADM)",380
25053,"Waterfall (incl Linear Processing & SSADM)",380
25120,"Waterfall (incl Linear Processing & SSADM)",380
25126,"Waterfall (incl Linear Processing & SSADM)",380
25151,"Waterfall (incl Linear Processing & SSADM)",380
25158,"Waterfall (incl Linear Processing & SSADM)",380
25213,"Waterfall (incl Linear Processing & SSADM)",380
25268,"Waterfall (incl Linear Processing & SSADM)",380
25270,"Waterfall (incl Linear Processing & SSADM)",380
25310,"Waterfall (incl Linear Processing & SSADM)",380
25336,"Waterfall (incl Linear Processing & SSADM)",380
25343,"Waterfall (incl Linear Processing & SSADM)",380
25346,"Waterfall (incl Linear Processing & SSADM)",380
25438,"Waterfall (incl Linear Processing & SSADM)",380
25461,"Waterfall (incl Linear Processing & SSADM)",380
25509,"Waterfall (incl Linear Processing & SSADM)",380
25516,"Waterfall (incl Linear Processing & SSADM)",380
25543,"Waterfall (incl Linear Processing & SSADM)",380
25618,"Waterfall (incl Linear Processing & SSADM)",380
25641,"Waterfall (incl Linear Processing & SSADM)",380
25786,"Waterfall (incl Linear Processing & SSADM)",380
25885,"Waterfall (incl Linear Processing & SSADM)",380
25916,"Unified Process",2
25926,"Joint Application Development (JAD)Rapid Application Development (RAD)",2
25931,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)",3
25975,"Waterfall (incl Linear Processing & SSADM)",380
25979,"Waterfall (incl Linear Processing & SSADM)",380
26007,"Waterfall (incl Linear Processing & SSADM)",380
26047,"Waterfall (incl Linear Processing & SSADM)",380
26096,"Waterfall (incl Linear Processing & SSADM)",380
26105,"Waterfall (incl Linear Processing & SSADM)",380
26137,"Waterfall (incl Linear Processing & SSADM)",380
26156,"Waterfall (incl Linear Processing & SSADM)",380
26187,"Waterfall (incl Linear Processing & SSADM)",380
26199,"Waterfall (incl Linear Processing & SSADM)",380
26274,"Waterfall (incl Linear Processing & SSADM)",380
26284,"Waterfall (incl Linear Processing & SSADM)",380
26290,"Waterfall (incl Linear Processing & SSADM)",380
26315,"Waterfall (incl Linear Processing & SSADM)",380
26339,"Waterfall (incl Linear Processing & SSADM)",380
26391,"Waterfall (incl Linear Processing & SSADM)",380
26457,"Waterfall (incl Linear Processing & SSADM)",380
26470,"Waterfall (incl Linear Processing & SSADM)",380
26513,"Waterfall (incl Linear Processing & SSADM)",380
26537,"Waterfall (incl Linear Processing & SSADM)",380
26575,"Waterfall (incl Linear Processing & SSADM)",380
26604,"Waterfall (incl Linear Processing & SSADM)",380
26738,"Waterfall (incl Linear Processing & SSADM)",380
26765,"Multifunctional TeamsRapid Application Development (RAD)",1
26888,"Waterfall (incl Linear Processing & SSADM)",380
26895,"Waterfall (incl Linear Processing & SSADM)",380
26925,"Waterfall (incl Linear Processing & SSADM)",380
26994,"Waterfall (incl Linear Processing & SSADM)",380
26997,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)",3
27060,"Rapid Application Development (RAD)",5
27151,"Waterfall (incl Linear Processing & SSADM)",380
27171,"Waterfall (incl Linear Processing & SSADM)",380
27245,"Waterfall (incl Linear Processing & SSADM)",380
27357,"Joint Application Development (JAD)Rapid Application Development (RAD)",2
27361,"Waterfall (incl Linear Processing & SSADM)",380
27423,"Waterfall (incl Linear Processing & SSADM)",380
27574,"Waterfall (incl Linear Processing & SSADM)",380
27727,"Waterfall (incl Linear Processing & SSADM)",380
27743,"Waterfall (incl Linear Processing & SSADM)",380
27745,"Waterfall (incl Linear Processing & SSADM)",380
27858,"Waterfall (incl Linear Processing & SSADM)",380
