pryiddvlplt,dvlplt2,conteo2dvlplt
17603,Multi,281
17639,MR,18
17663,Multi,281
17743,MF,78
17758,Multi,281
17872,MF,78
17903,MF,78
17990,Multi,281
17995,Multi,281
18012,Multi,281
18015,Multi,281
18044,Multi,281
18088,Multi,281
18119,Multi,281
18310,Multi,281
18346,Multi,281
18361,Multi,281
18387,PC,23
18410,Multi,281
18417,Multi,281
18427,MF,78
18428,Multi,281
18438,MF,78
18442,MF,78
18459,MF,78
18498,Multi,281
18638,Multi,281
18663,Multi,281
18697,Multi,281
18735,Multi,281
18746,Multi,281
18808,Multi,281
18890,Multi,281
18917,Multi,281
18945,MF,78
18961,Multi,281
19040,Multi,281
19079,Multi,281
19114,Multi,281
19122,Multi,281
19136,Multi,281
19148,Multi,281
19154,MF,78
19189,Multi,281
19297,Multi,281
19303,MF,78
19403,Multi,281
19410,MF,78
19456,Multi,281
19461,Multi,281
19490,Multi,281
19491,Multi,281
19594,Multi,281
19659,Multi,281
19660,MF,78
19671,MF,78
19680,MF,78
19730,PC,23
19757,Multi,281
19799,Multi,281
19815,MF,78
19881,Multi,281
19885,Multi,281
19905,PC,23
20082,Multi,281
20093,MF,78
20106,MF,78
20115,Multi,281
20123,Multi,281
20177,MR,18
20236,Multi,281
20352,Multi,281
20398,Multi,281
20419,Multi,281
20477,Multi,281
20538,Multi,281
20614,Multi,281
20758,Multi,281
20776,Multi,281
20837,Multi,281
20887,Multi,281
20892,MF,78
21078,Multi,281
21107,Multi,281
21114,Multi,281
21151,Multi,281
21180,PC,23
21195,Multi,281
21198,Multi,281
21261,MF,78
21317,Multi,281
21370,Multi,281
21394,Multi,281
21399,Multi,281
21420,Multi,281
21429,Multi,281
21433,Multi,281
21467,Multi,281
21496,MF,78
21522,Multi,281
21552,Multi,281
21609,Multi,281
21623,Multi,281
21668,Multi,281
21775,MF,78
21824,Multi,281
21859,Multi,281
21915,MF,78
22063,MF,78
22274,Multi,281
22342,Multi,281
22361,Multi,281
22425,Multi,281
22465,Multi,281
22471,MF,78
22495,Multi,281
22507,MF,78
22638,Multi,281
22727,MF,78
22776,Multi,281
22886,Multi,281
22893,Multi,281
22922,Multi,281
22951,Multi,281
22957,Multi,281
23066,MF,78
23110,Multi,281
23122,Multi,281
23182,Multi,281
23317,PC,23
23467,Multi,281
23518,Multi,281
23538,Multi,281
23559,MF,78
23565,Multi,281
23573,Multi,281
23656,Multi,281
23687,MR,18
23698,MF,78
23708,PC,23
23712,MR,18
23741,Multi,281
23766,Multi,281
23777,MF,78
23784,Multi,281
23972,Multi,281
24009,MF,78
24042,MF,78
24043,Multi,281
24125,MF,78
24135,Multi,281
24141,Multi,281
24151,MF,78
24210,Multi,281
24366,Multi,281
24407,Multi,281
24457,Multi,281
24505,Multi,281
24543,Multi,281
24573,Multi,281
24615,Multi,281
24629,Multi,281
24633,MF,78
24661,Multi,281
24851,Multi,281
24866,Multi,281
24889,Multi,281
24937,PC,23
25053,Multi,281
25120,Multi,281
25126,Multi,281
25151,Multi,281
25158,Multi,281
25213,Multi,281
25268,Multi,281
25270,Multi,281
25310,Multi,281
25336,MF,78
25343,Multi,281
25346,Multi,281
25438,Multi,281
25461,Multi,281
25509,Multi,281
25516,Multi,281
25543,PC,23
25618,Multi,281
25641,PC,23
25786,Multi,281
25885,MF,78
25916,PC,23
25926,MF,78
25931,PC,23
25975,MF,78
25979,MF,78
26007,Multi,281
26047,Multi,281
26096,MF,78
26105,Multi,281
26137,Multi,281
26156,Multi,281
26187,Multi,281
26199,MF,78
26274,Multi,281
26284,MF,78
26290,Multi,281
26315,Multi,281
26339,MF,78
26391,Multi,281
26457,Multi,281
26470,Multi,281
26513,Multi,281
26537,MF,78
26575,Multi,281
26604,Multi,281
26738,Multi,281
26765,MR,18
26888,Multi,281
26895,MR,18
26925,Multi,281
26994,MF,78
26997,MR,18
27060,MF,78
27151,Multi,281
27171,Multi,281
27245,Multi,281
27357,MR,18
27361,Multi,281
27423,Multi,281
27574,Multi,281
27727,Multi,281
27743,Multi,281
27745,Multi,281
27858,Multi,281
