pryidapp,apptyp
20419,"Billing and ERP"
20477,"Document management"
20538,"Financial transaction process/accounting"
20614,"Financial transaction process/accounting"
20758,"Online. eSales"
20776,"Online. eSales"
20837,"Financial transaction process/accounting"
20887,"Financial transaction process/accounting"
20892,"Management of Licences and Permits"
21078,"Data Warehouse"
21107,"Financial transaction process/accounting"
21114,"Financial application area"
21151,"relatively complex application"
21180,Trading
21195,"Stock control & order processing"
21198,Other
21261,"Financial transaction process/accounting"
21317,"Financial transaction process/accounting"
21370,"Financial transaction process/accounting"
21394,"Financial transaction process/accounting"
21399,"Transaction/Production System"
21420,"Financial transaction process/accounting"
21429,"GEO Information Management"
21433,"Data Warehouse"
21467,"Customer relationship management"
21496,"Financial transaction process/accounting"
21522,"Financial transaction process/accounting"
21552,"Financial transaction process/accounting"
21609,"relatively complex application"
21623,"Customer relationship management"
21668,"Financial transaction process/accounting"
21775,"relatively complex application"
21824,"Financial transaction process/accounting"
21859,"Financial transaction process/accounting"
21915,"Management Information System"
22063,"Transaction/Production System"
22274,"Job, case, incident, project management"
22342,"Online. eSales"
22361,"Transaction/Production System"
22425,"Financial transaction process/accounting"
22465,"Financial transaction process/accounting"
22471,"Financial transaction process/accounting"
22495,Integration
22507,"Transaction/Production System"
22638,"Financial transaction process/accounting"
22727,"Management of Licences and Permits"
22776,"Customer relationship management"
22886,"relatively complex application"
22893,"Financial application area"
22922,"Financial transaction process/accounting"
22951,"Operational CRM"
22957,"Workflow support & management"
23066,"Financial transaction process/accounting"
23110,"Data Warehouse"
23122,"Financial transaction process/accounting"
23182,"Customer relationship management"
23317,"Financial transaction process/accounting"
23467,"Financial transaction process/accounting"
23518,"relatively complex application"
23538,"Financial transaction process/accounting"
23559,"Management Information System"
23565,"Financial transaction process/accounting"
23573,"Financial transaction process/accounting"
23656,"Management or performance reporting"
23687,"Management or performance reporting"
23698,Maintenance
23708,"Management Information System"
23712,"Telecom & network management"
23741,"Financial transaction process/accounting"
23766,"Financial transaction process/accounting"
23777,"relatively complex application"
23784,"Financial transaction process/accounting"
23972,"Financial transaction process/accounting"
24009,"Financial transaction process/accounting"
24042,"Transaction/Production System"
24043,"Financial application area"
24125,"Complex process control"
24135,"Stock control & order processing"
24141,"Data Warehouse"
24151,"Financial application area"
24210,"Financial transaction process/accounting"
24366,"Transaction/Production System"
24407,Trading
24457,Other
24505,"Customer billing"
24543,"Financial transaction process/accounting"
24573,Integration
24615,"Financial transaction process/accounting"
24629,"Financial transaction process/accounting"
24633,"Financial application area"
24661,"Financial transaction process/accounting"
24851,"Financial transaction process/accounting"
24866,"Financial transaction process/accounting"
24889,"Financial transaction process/accounting"
24937,"Financial transaction process/accounting"
25053,"Financial transaction process/accounting"
25120,"Financial transaction process/accounting"
25126,"Financial transaction process/accounting"
25151,"Customer relationship management"
25158,"Other: Service Order & Activation Management"
25213,"Financial transaction process/accounting"
25268,"Financial transaction process/accounting"
25270,"Financial transaction process/accounting"
25310,"Financial application area"
25336,"Financial transaction process/accounting"
25343,"Financial transaction process/accounting"
25346,"Financial transaction process/accounting"
25438,"Customer relationship management"
25461,"Financial transaction process/accounting"
25509,"relatively complex application"
25516,"Customer billing"
25543,"Number of Hosting Solution"
25618,"Catalogue/register of things or events"
25641,"Production management"
25786,"Stock control & order processing"
25885,"Financial transaction process/accounting"
25916,"Artifical Intelligence based engine"
25926,"Transaction/Production System"
25931,"Customer relationship management"
25975,Transportation
25979,"Financial transaction process/accounting"
26007,"Customer relationship management"
26047,"Financial transaction process/accounting"
26096,"Financial transaction process/accounting"
26105,"Financial transaction process/accounting"
26137,"Financial transaction process/accounting"
26156,"Catalogue/register of things or eventsWorkflow support & management"
26187,"Customer relationship management"
26199,"relatively complex application"
26274,"Online. eSales"
26284,"Decision Support System"
26290,"Financial transaction process/accounting"
26315,"Financial transaction process/accounting"
26339,"Inventory Control"
26391,"Data Warehouse"
26457,"Financial transaction process/accounting"
26470,"Workflow support & management"
26513,"Customer relationship management"
26537,"Financial transaction process/accounting"
26575,"Financial transaction process/accounting"
26604,"Financial transaction process/accounting"
26738,"Financial transaction process/accounting"
26765,"Management Information System"
26888,"Financial transaction process/accounting"
26895,"Financial transaction process/accounting"
26925,"Financial transaction process/accounting"
26994,Reporting
26997,"Online Insurance product comparision tool"
27060,"Transaction/Production System"
27151,"Customer relationship management"
27171,"Financial application area"
27245,"Financial transaction process/accounting"
27357,"Transaction/Production System"
27361,"Data or database management"
27423,"Financial transaction process/accounting"
27574,"Financial transaction process/accounting"
27727,"Transaction/Production System"
27743,"Financial transaction process/accounting"
27745,"Financial transaction process/accounting"
27858,"Customer billing"
