pryiddvltyp,dvltyp2
21522,Enhancement
21552,"New Development"
21609,Enhancement
21623,Enhancement
21668,"New Development"
21775,Enhancement
21824,Enhancement
21859,Enhancement
21915,"New Development"
22063,Enhancement
22274,Enhancement
22342,Enhancement
22361,Enhancement
22425,Enhancement
22465,"New Development"
22471,Enhancement
22495,Enhancement
22507,"New Development"
22638,Enhancement
22727,Enhancement
22776,Enhancement
22886,Enhancement
22893,"New Development"
22922,Enhancement
22951,Enhancement
22957,Enhancement
23066,Enhancement
23110,Enhancement
23122,Enhancement
23182,Enhancement
23317,Enhancement
23467,Enhancement
23518,Enhancement
23538,Enhancement
23559,"New Development"
23565,Enhancement
23573,Enhancement
23656,Enhancement
23687,"New Development"
23698,Enhancement
23708,Enhancement
23712,Enhancement
23741,Enhancement
23766,Enhancement
23777,Enhancement
23784,Enhancement
23972,Enhancement
24009,"New Development"
24042,"New Development"
24043,"New Development"
24125,Enhancement
24135,Enhancement
24141,Enhancement
24151,Enhancement
24210,Enhancement
24366,Enhancement
24407,"New Development"
24457,Enhancement
24505,Enhancement
24543,Enhancement
24573,Enhancement
24615,Enhancement
24629,Enhancement
24633,Enhancement
24661,Enhancement
24851,"New Development"
24866,Enhancement
24889,Enhancement
24937,"New Development"
25053,Enhancement
25120,Enhancement
25126,"New Development"
25151,Enhancement
25158,Enhancement
25213,Enhancement
25268,"New Development"
25270,"New Development"
25310,"New Development"
25336,Enhancement
25343,Enhancement
25346,Enhancement
25438,Enhancement
25461,Enhancement
25509,Enhancement
25516,Enhancement
25543,Enhancement
25618,"New Development"
25641,"New Development"
25786,Enhancement
25885,Enhancement
25916,Re-development
25926,Enhancement
25931,Enhancement
25975,"New Development"
25979,Enhancement
26007,Enhancement
26047,Enhancement
26096,Enhancement
26105,Enhancement
26137,Enhancement
26156,"New Development"
26187,Enhancement
26199,Enhancement
26274,Enhancement
26284,Enhancement
26290,Enhancement
26315,Enhancement
26339,"New Development"
26391,Enhancement
26457,Enhancement
26470,"New Development"
26513,Enhancement
26537,Enhancement
26575,Enhancement
26604,Enhancement
26738,Enhancement
26765,Enhancement
26888,Enhancement
26895,Enhancement
26925,Enhancement
26994,Enhancement
26997,Enhancement
27060,"New Development"
27151,Enhancement
27171,Enhancement
27245,Enhancement
27357,"New Development"
27361,Enhancement
27423,Enhancement
27574,Enhancement
27727,"New Development"
27743,Enhancement
27745,Enhancement
27858,Enhancement
