pryidapp,apptyp
24042,"Transaction/Production System"
24043,"Financial application area"
24125,"Complex process control"
24135,"Stock control & order processing"
24141,"Data Warehouse"
24151,"Financial application area"
24210,Unknown
24366,"Transaction/Production System"
24407,Trading
24457,Other
24505,"Customer billing"
24543,"not recorded"
24573,Integration
24615,"not recorded"
24629,
24633,"Financial application area"
24661,
24851,
24866,Unknown
24889,"not recorded"
24937,"Financial transaction process/accounting"
25053,"not recorded"
25120,"Financial transaction process/accounting"
25126,
25151,"Customer relationship management"
25158,"Other: Service Order & Activation Management"
25213,Unknown
25268,
25270,
25310,"Financial application area"
25336,"Financial transaction process/accounting"
25343,
25346,"not recorded"
25438,"Customer relationship management"
25461,"not recorded"
25509,"relatively complex application"
25516,"Customer billing"
25543,"Number of Hosting Solution"
25618,"Catalogue/register of things or events"
25641,"Production management"
25786,"Stock control & order processing"
25885,"Financial transaction process/accounting"
25916,"Artifical Intelligence based engine"
25926,"Transaction/Production System"
25931,"Customer relationship management"
25975,Transportation
25979,"Financial transaction process/accounting"
26007,"Customer relationship management"
26047,
26096,
26105,"not recorded"
26137,"not recorded"
26156,"Catalogue/register of things or eventsWorkflow support & management"
26187,"Customer relationship management"
26199,"relatively complex application"
26274,"Online. eSales"
26284,"Decision Support System"
26290,"not recorded"
26315,Unknown
26339,"Inventory Control"
26391,"Data Warehouse"
26457,Unknown
26470,"Workflow support & management"
26513,"Customer relationship management"
26537,"Financial transaction process/accounting"
26575,Unknown
26604,"not recorded"
26738,"not recorded"
26765,"Management Information System"
26888,Unknown
26895,
26925,"not recorded"
26994,Reporting
26997,"Online Insurance product comparision tool"
27060,"Transaction/Production System"
27151,"Customer relationship management"
27171,"Financial application area"
27245,"not recorded"
27357,"Transaction/Production System"
27361,"Data or database management"
27423,
27574,
27727,"Transaction/Production System"
27743,"not recorded"
27745,"not recorded"
27858,"Customer billing"
