pryiddbms1,dbms12,conteo2dbms1
21522,DB2,287
21552,DB2,287
21609,Interactive,30
21623,DB2,287
21668,"Oracle 8.0.6",1
21775,Batch,6
21824,DB2,287
21859,DB2,287
21915,DB2,287
22063,"DB2IMSCOMLINKWEB Server",1
22274,DB2,287
22342,DB2,287
22361,DB2,287
22425,DB2,287
22465,DB2,287
22471,DB2/400,4
22495,DB2,287
22507,FOXPROIMSDB2,1
22638,DB2,287
22727,DB2,287
22776,DB2,287
22886,Interactive,30
22893,Interactive,30
22922,DB2,287
22951,DB2,287
22957,DB2,287
23066,MAPER,1
23110,DB2,287
23122,DB2,287
23182,DB2,287
23317,DB2,287
23467,DB2,287
23518,Interactive,30
23538,DB2,287
23559,DB2,287
23565,Interactive,30
23573,DB2,287
23656,DB2,287
23687,"DB2Oracle 9i",1
23698,DB2,287
23708,DB2,287
23712,Yes,2
23741,DB2,287
23766,DB2,287
23777,Batch,6
23784,DB2,287
23972,DB2,287
24009,IMS,13
24042,IMS,13
24043,Interactive,30
24125,DB2,287
24135,DB2,287
24141,DB2,287
24151,Batch,6
24210,DB2,287
24366,DB2,287
24407,"Domino R5.04a",1
24457,DB2,287
24505,DB2,287
24543,DB2,287
24573,DB2,287
24615,DB2,287
24629,DB2,287
24633,Batch,6
24661,DB2,287
24851,DB2,287
24866,DB2,287
24889,DB2,287
24937,No,5
25053,DB2,287
25120,DB2,287
25126,DB2,287
25151,DB2,287
25158,DB2,287
25213,DB2,287
25268,DB2,287
25270,DB2,287
25310,Interactive,30
25336,Interactive,30
25343,DB2,287
25346,DB2,287
25438,DB2,287
25461,DB2,287
25509,Interactive,30
25516,DB2,287
25543,"SQL Server",4
25618,DB2,287
25641,"SQL Server 7.0",1
25786,DB2,287
25885,"IMS/DB,DC",2
25916,MySQL,1
25926,DB2,287
25931,DB2,287
25975,DB2,287
25979,"DB2 UDB for AIX7.2.2",1
26007,DB2,287
26047,DB2,287
26096,DB2,287
26105,DB2,287
26137,DB2,287
26156,DB2,287
26187,DB2,287
26199,Batch,6
26274,DB2,287
26284,DB2,287
26290,DB2,287
26315,DB2,287
26339,IMS/DBDC,1
26391,DB2,287
26457,DB2,287
26470,Exchange,1
26513,DB2,287
26537,DB2/400,4
26575,DB2,287
26604,DB2,287
26738,DB2,287
26765,Oracle,21
26888,DB2,287
26895,DB2,287
26925,DB2,287
26994,DB2,287
26997,DB2,287
27060,DB2,287
27151,DB2,287
27171,Interactive,30
27245,DB2,287
27357,Oracle,21
27361,DB2,287
27423,DB2,287
27574,DB2,287
27727,DB2,287
27743,DB2,287
27745,DB2,287
27858,DB2,287
