pryiddbms1,dbms1
21668,"Oracle 8.0.6"
21775,Batch
21824,DB2
21859,DB2
21915,DB2
22063,"DB2IMSCOMLINKWEB Server"
22274,DB2
22342,DB2
22361,DB2
22425,DB2
22465,DB2
22471,DB2/400
22495,DB2
22507,FOXPROIMSDB2
22638,DB2
22727,DB2
22776,DB2
22886,Interactive
22893,Interactive
22922,DB2
22951,DB2
22957,DB2
23066,MAPER
23110,DB2
23122,DB2
23182,DB2
23317,DB2
23467,DB2
23518,Interactive
23538,DB2
23559,DB2
23565,Interactive
23573,DB2
23656,DB2
23687,"DB2Oracle 9i"
23698,DB2
23708,DB2
23712,Yes
23741,DB2
23766,DB2
23777,Batch
23784,DB2
23972,DB2
24009,IMS
24042,IMS
24043,Interactive
24125,DB2
24135,DB2
24141,DB2
24151,Batch
24210,DB2
24366,DB2
24407,"Domino R5.04a"
24457,DB2
24505,DB2
24543,DB2
24573,DB2
24615,DB2
24629,DB2
24633,Batch
24661,DB2
24851,DB2
24866,DB2
24889,DB2
24937,No
25053,DB2
25120,DB2
25126,DB2
25151,DB2
25158,DB2
25213,DB2
25268,DB2
25270,DB2
25310,Interactive
25336,Interactive
25343,DB2
25346,DB2
25438,DB2
25461,DB2
25509,Interactive
25516,DB2
25543,"SQL Server"
25618,DB2
25641,"SQL Server 7.0"
25786,DB2
25885,"IMS/DB,DC"
25916,MySQL
25926,DB2
25931,DB2
25975,DB2
25979,"DB2 UDB for AIX7.2.2"
26007,DB2
26047,DB2
26096,DB2
26105,DB2
26137,DB2
26156,DB2
26187,DB2
26199,Batch
26274,DB2
26284,DB2
26290,DB2
26315,DB2
26339,IMS/DBDC
26391,DB2
26457,DB2
26470,Exchange
26513,DB2
26537,DB2/400
26575,DB2
26604,DB2
26738,DB2
26765,Oracle
26888,DB2
26895,DB2
26925,DB2
26994,DB2
26997,DB2
27060,DB2
27151,DB2
27171,Interactive
27245,DB2
27357,Oracle
27361,DB2
27423,DB2
27574,DB2
27727,DB2
27743,DB2
27745,DB2
27858,DB2
