pryiddvlmtd,dvlmtd
19410,"Waterfall (incl Linear Processing & SSADM)"
19456,"Waterfall (incl Linear Processing & SSADM)"
19461,
19490,
19491,
19594,"Waterfall (incl Linear Processing & SSADM)"
19659,
19660,
19671,
19680,
19730,
19757,
19799,"Waterfall (incl Linear Processing & SSADM)"
19815,
19881,
19885,
19905,"Waterfall (incl Linear Processing & SSADM)"
20082,"Waterfall (incl Linear Processing & SSADM)"
20093,
20106,
20115,"Waterfall (incl Linear Processing & SSADM)"
20123,"Waterfall (incl Linear Processing & SSADM)"
20177,
20236,"Waterfall (incl Linear Processing & SSADM)"
20352,
20398,
20419,"Waterfall (incl Linear Processing & SSADM)"
20477,"Waterfall (incl Linear Processing & SSADM)"
20538,
20614,
20758,"Waterfall (incl Linear Processing & SSADM)"
20776,"Waterfall (incl Linear Processing & SSADM)"
20837,
20887,
20892,
21078,"Waterfall (incl Linear Processing & SSADM)"
21107,
21114,
21151,"Waterfall (incl Linear Processing & SSADM)"
21180,"Waterfall (incl Linear Processing & SSADM)"
21195,"Waterfall (incl Linear Processing & SSADM)"
21198,"Waterfall (incl Linear Processing & SSADM)"
21261,"Waterfall (incl Linear Processing & SSADM)"
21317,
21370,"Waterfall (incl Linear Processing & SSADM)"
21394,
21399,
21420,
21429,"Waterfall (incl Linear Processing & SSADM)"
21433,"Waterfall (incl Linear Processing & SSADM)"
21467,"Waterfall (incl Linear Processing & SSADM)"
21496,"Waterfall (incl Linear Processing & SSADM)"
21522,"Waterfall (incl Linear Processing & SSADM)"
21552,"Waterfall (incl Linear Processing & SSADM)"
21609,"Waterfall (incl Linear Processing & SSADM)"
21623,"Waterfall (incl Linear Processing & SSADM)"
21668,"Waterfall (incl Linear Processing & SSADM)"
21775,"Waterfall (incl Linear Processing & SSADM)"
21824,"Waterfall (incl Linear Processing & SSADM)"
21859,"Waterfall (incl Linear Processing & SSADM)"
21915,
22063,
22274,
22342,"Waterfall (incl Linear Processing & SSADM)"
22361,
22425,
22465,
22471,"Waterfall (incl Linear Processing & SSADM)"
22495,"Waterfall (incl Linear Processing & SSADM)"
22507,
22638,
22727,
22776,"Waterfall (incl Linear Processing & SSADM)"
22886,"Waterfall (incl Linear Processing & SSADM)"
22893,
22922,
22951,"Waterfall (incl Linear Processing & SSADM)"
22957,"Waterfall (incl Linear Processing & SSADM)"
23066,"Waterfall (incl Linear Processing & SSADM)"
23110,"Waterfall (incl Linear Processing & SSADM)"
23122,
23182,"Waterfall (incl Linear Processing & SSADM)"
23317,
23467,
23518,"Waterfall (incl Linear Processing & SSADM)"
23538,
23559,
23565,
23573,
23656,"Waterfall (incl Linear Processing & SSADM)"
23687,
23698,
23708,
23712,
23741,
23766,"Waterfall (incl Linear Processing & SSADM)"
23777,"Waterfall (incl Linear Processing & SSADM)"
23784,
23972,
24009,"Waterfall (incl Linear Processing & SSADM)"
24042,"Multifunctional Teams"
24043,
24125,"Waterfall (incl Linear Processing & SSADM)"
24135,"Waterfall (incl Linear Processing & SSADM)"
24141,"Waterfall (incl Linear Processing & SSADM)"
24151,
24210,"Waterfall (incl Linear Processing & SSADM)"
24366,
24407,"Waterfall (incl Linear Processing & SSADM)"
24457,"Waterfall (incl Linear Processing & SSADM)"
24505,"Waterfall (incl Linear Processing & SSADM)"
24543,
24573,"Waterfall (incl Linear Processing & SSADM)"
24615,
24629,
24633,
24661,"Waterfall (incl Linear Processing & SSADM)"
24851,
24866,"Waterfall (incl Linear Processing & SSADM)"
24889,
24937,"Waterfall (incl Linear Processing & SSADM)"
25053,
25120,
25126,"Waterfall (incl Linear Processing & SSADM)"
25151,"Waterfall (incl Linear Processing & SSADM)"
25158,"Waterfall (incl Linear Processing & SSADM)"
25213,"Waterfall (incl Linear Processing & SSADM)"
25268,
25270,
25310,
25336,
25343,
25346,
25438,"Waterfall (incl Linear Processing & SSADM)"
25461,
25509,"Waterfall (incl Linear Processing & SSADM)"
25516,"Waterfall (incl Linear Processing & SSADM)"
25543,"Waterfall (incl Linear Processing & SSADM)"
25618,
25641,"Waterfall (incl Linear Processing & SSADM)"
25786,"Waterfall (incl Linear Processing & SSADM)"
25885,"Waterfall (incl Linear Processing & SSADM)"
25916,"Unified Process"
25926,"Joint Application Development (JAD)Rapid Application Development (RAD)"
25931,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)"
25975,
25979,"Waterfall (incl Linear Processing & SSADM)"
26007,"Waterfall (incl Linear Processing & SSADM)"
26047,
26096,
26105,
26137,
26156,
26187,"Waterfall (incl Linear Processing & SSADM)"
26199,"Waterfall (incl Linear Processing & SSADM)"
26274,"Waterfall (incl Linear Processing & SSADM)"
26284,
26290,
26315,"Waterfall (incl Linear Processing & SSADM)"
26339,
26391,"Waterfall (incl Linear Processing & SSADM)"
26457,"Waterfall (incl Linear Processing & SSADM)"
26470,"Waterfall (incl Linear Processing & SSADM)"
26513,"Waterfall (incl Linear Processing & SSADM)"
26537,"Waterfall (incl Linear Processing & SSADM)"
26575,"Waterfall (incl Linear Processing & SSADM)"
26604,
26738,
26765,"Multifunctional TeamsRapid Application Development (RAD)"
26888,"Waterfall (incl Linear Processing & SSADM)"
26895,
26925,
26994,
26997,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)"
27060,"Rapid Application Development (RAD)"
27151,"Waterfall (incl Linear Processing & SSADM)"
27171,
27245,
27357,"Joint Application Development (JAD)Rapid Application Development (RAD)"
27361,"Waterfall (incl Linear Processing & SSADM)"
27423,"Waterfall (incl Linear Processing & SSADM)"
27574,
27727,
27743,
27745,
27858,"Waterfall (incl Linear Processing & SSADM)"
