pryidprglng,prglng2,conteo2prglng
23317,"Visual Basic",19
23467,Java,177
23518,Java,177
23538,Java,177
23559,Java,177
23565,Java,177
23573,Java,177
23656,Java,177
23687,Datastage,1
23698,C++,11
23708,Oracle,12
23712,C,13
23741,Java,177
23766,Mixed,5
23777,Java,177
23784,Java,177
23972,Java,177
24009,COBOL,34
24042,Java,177
24043,Java,177
24125,COBOL,34
24135,Java,177
24141,PL/SQL,19
24151,Java,177
24210,PL/SQL,19
24366,COBOL,34
24407,"Lotus Notes",2
24457,Java,177
24505,PL/SQL,19
24543,Java,177
24573,TIBCO,6
24615,Java,177
24629,COBOL,34
24633,Java,177
24661,Mixed,5
24851,Java,177
24866,Java,177
24889,Java,177
24937,COBOL,34
25053,Java,177
25120,PL/I,16
25126,.Net,4
25151,Java,177
25158,Java,177
25213,Java,177
25268,Java,177
25270,PASCAL,1
25310,Java,177
25336,C,13
25343,C,13
25346,Java,177
25438,ClearBasic,2
25461,Java,177
25509,Java,177
25516,PL/SQL,19
25543,ASP.Net,3
25618,C#,10
25641,SQL,7
25786,Java,177
25885,PL/I,16
25916,C++,11
25926,COBOL,34
25931,Java,177
25975,SQL,7
25979,Java,177
26007,Java,177
26047,Java,177
26096,COBOL,34
26105,Java,177
26137,Java,177
26156,C#,10
26187,"Visual Basic",19
26199,Java,177
26274,Java,177
26284,COBOL,34
26290,Java,177
26315,Java,177
26339,TELON,2
26391,PL/SQL,19
26457,Java,177
26470,"Visual Basic",19
26513,"Visual Basic",19
26537,COBOL,34
26575,PL/SQL,19
26604,Java,177
26738,Java,177
26765,Java,177
26888,PL/SQL,19
26895,C++,11
26925,Java,177
26994,COBOL,34
26997,XML,1
27060,Java,177
27151,PL/SQL,19
27171,Java,177
27245,Java,177
27357,Java,177
27361,Unknown,2
27423,PL/SQL,19
27574,Java,177
27727,PERIPHONICS,1
27743,Java,177
27745,Java,177
27858,PL/SQL,19
