pryiddvlmtd,dvlmtd
16185,"Waterfall (incl Linear Processing & SSADM)"
16190,"Waterfall (incl Linear Processing & SSADM)"
16191,"Waterfall (incl Linear Processing & SSADM)"
16196,"Waterfall (incl Linear Processing & SSADM)"
16232,"Waterfall (incl Linear Processing & SSADM)"
16330,"Waterfall (incl Linear Processing & SSADM)"
16431,"Waterfall (incl Linear Processing & SSADM)"
16439,"Waterfall (incl Linear Processing & SSADM)"
16466,"Waterfall (incl Linear Processing & SSADM)"
16467,"Waterfall (incl Linear Processing & SSADM)"
16525,"Waterfall (incl Linear Processing & SSADM)"
16534,"Waterfall (incl Linear Processing & SSADM)"
16645,"Waterfall (incl Linear Processing & SSADM)"
16682,"Waterfall (incl Linear Processing & SSADM)"
16685,"Joint Application Development (JAD)"
16701,"Waterfall (incl Linear Processing & SSADM)"
16766,"Waterfall (incl Linear Processing & SSADM)"
16771,"Waterfall (incl Linear Processing & SSADM)"
16819,"Waterfall (incl Linear Processing & SSADM)"
16843,"Waterfall (incl Linear Processing & SSADM)"
16875,"Waterfall (incl Linear Processing & SSADM)"
16886,"Waterfall (incl Linear Processing & SSADM)"
16889,"Waterfall (incl Linear Processing & SSADM)"
16932,"Waterfall (incl Linear Processing & SSADM)"
16963,"Waterfall (incl Linear Processing & SSADM)"
16997,"Waterfall (incl Linear Processing & SSADM)"
17078,"Waterfall (incl Linear Processing & SSADM)"
17117,"Waterfall (incl Linear Processing & SSADM)"
17172,"Waterfall (incl Linear Processing & SSADM)"
17184,"Waterfall (incl Linear Processing & SSADM)"
17222,"Waterfall (incl Linear Processing & SSADM)"
17246,"Waterfall (incl Linear Processing & SSADM)"
17279,"Waterfall (incl Linear Processing & SSADM)"
17287,"Waterfall (incl Linear Processing & SSADM)"
17308,"Waterfall (incl Linear Processing & SSADM)"
17429,"Waterfall (incl Linear Processing & SSADM)"
17455,"Waterfall (incl Linear Processing & SSADM)"
17498,"Waterfall (incl Linear Processing & SSADM)"
17584,"Waterfall (incl Linear Processing & SSADM)"
17594,"Waterfall (incl Linear Processing & SSADM)"
17603,"Waterfall (incl Linear Processing & SSADM)"
17639,"Waterfall (incl Linear Processing & SSADM)"
17663,"Waterfall (incl Linear Processing & SSADM)"
17743,"Multifunctional Teams"
17758,"Waterfall (incl Linear Processing & SSADM)"
17872,"Waterfall (incl Linear Processing & SSADM)"
17903,"Waterfall (incl Linear Processing & SSADM)"
17990,"Waterfall (incl Linear Processing & SSADM)"
17995,"Waterfall (incl Linear Processing & SSADM)"
18012,"Waterfall (incl Linear Processing & SSADM)"
18015,"Waterfall (incl Linear Processing & SSADM)"
18044,"Waterfall (incl Linear Processing & SSADM)"
18088,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)"
18119,"Agile Development"
18310,"Waterfall (incl Linear Processing & SSADM)"
18346,"Waterfall (incl Linear Processing & SSADM)"
18361,"Waterfall (incl Linear Processing & SSADM)"
18387,"Joint Application Development (JAD)"
18410,"Waterfall (incl Linear Processing & SSADM)"
18417,"Waterfall (incl Linear Processing & SSADM)"
18427,"Rapid Application Development (RAD)"
18428,"Waterfall (incl Linear Processing & SSADM)"
18438,"Waterfall (incl Linear Processing & SSADM)"
18442,"Waterfall (incl Linear Processing & SSADM)"
18459,"Waterfall (incl Linear Processing & SSADM)"
18498,"Waterfall (incl Linear Processing & SSADM)"
18638,"Waterfall (incl Linear Processing & SSADM)"
18663,"Waterfall (incl Linear Processing & SSADM)"
18697,"Waterfall (incl Linear Processing & SSADM)"
18735,"Waterfall (incl Linear Processing & SSADM)"
18746,"Waterfall (incl Linear Processing & SSADM)"
18808,"Waterfall (incl Linear Processing & SSADM)"
18890,"Waterfall (incl Linear Processing & SSADM)"
18917,"Waterfall (incl Linear Processing & SSADM)"
18945,"Waterfall (incl Linear Processing & SSADM)"
18961,"Waterfall (incl Linear Processing & SSADM)"
19040,"Waterfall (incl Linear Processing & SSADM)"
19079,"Waterfall (incl Linear Processing & SSADM)"
19114,"Waterfall (incl Linear Processing & SSADM)"
19122,"Waterfall (incl Linear Processing & SSADM)"
19136,"Waterfall (incl Linear Processing & SSADM)"
19148,"Waterfall (incl Linear Processing & SSADM)"
19154,"Waterfall (incl Linear Processing & SSADM)"
19189,"Waterfall (incl Linear Processing & SSADM)"
19297,"Waterfall (incl Linear Processing & SSADM)"
19303,"Waterfall (incl Linear Processing & SSADM)"
19403,"Waterfall (incl Linear Processing & SSADM)"
19410,"Waterfall (incl Linear Processing & SSADM)"
19456,"Waterfall (incl Linear Processing & SSADM)"
19461,"Waterfall (incl Linear Processing & SSADM)"
19490,"Waterfall (incl Linear Processing & SSADM)"
19491,"Waterfall (incl Linear Processing & SSADM)"
19594,"Waterfall (incl Linear Processing & SSADM)"
19659,"Waterfall (incl Linear Processing & SSADM)"
19660,"Waterfall (incl Linear Processing & SSADM)"
19671,"Waterfall (incl Linear Processing & SSADM)"
19680,"Waterfall (incl Linear Processing & SSADM)"
19730,"Waterfall (incl Linear Processing & SSADM)"
19757,"Waterfall (incl Linear Processing & SSADM)"
19799,"Waterfall (incl Linear Processing & SSADM)"
19815,"Waterfall (incl Linear Processing & SSADM)"
19881,"Waterfall (incl Linear Processing & SSADM)"
19885,"Waterfall (incl Linear Processing & SSADM)"
19905,"Waterfall (incl Linear Processing & SSADM)"
20082,"Waterfall (incl Linear Processing & SSADM)"
20093,"Waterfall (incl Linear Processing & SSADM)"
20106,"Waterfall (incl Linear Processing & SSADM)"
20115,"Waterfall (incl Linear Processing & SSADM)"
20123,"Waterfall (incl Linear Processing & SSADM)"
20177,"Waterfall (incl Linear Processing & SSADM)"
20236,"Waterfall (incl Linear Processing & SSADM)"
20352,"Waterfall (incl Linear Processing & SSADM)"
20398,"Waterfall (incl Linear Processing & SSADM)"
20419,"Waterfall (incl Linear Processing & SSADM)"
20477,"Waterfall (incl Linear Processing & SSADM)"
20538,"Waterfall (incl Linear Processing & SSADM)"
20614,"Waterfall (incl Linear Processing & SSADM)"
20758,"Waterfall (incl Linear Processing & SSADM)"
20776,"Waterfall (incl Linear Processing & SSADM)"
20837,"Waterfall (incl Linear Processing & SSADM)"
20887,"Waterfall (incl Linear Processing & SSADM)"
20892,"Waterfall (incl Linear Processing & SSADM)"
21078,"Waterfall (incl Linear Processing & SSADM)"
21107,"Waterfall (incl Linear Processing & SSADM)"
21114,"Waterfall (incl Linear Processing & SSADM)"
21151,"Waterfall (incl Linear Processing & SSADM)"
21180,"Waterfall (incl Linear Processing & SSADM)"
21195,"Waterfall (incl Linear Processing & SSADM)"
21198,"Waterfall (incl Linear Processing & SSADM)"
21261,"Waterfall (incl Linear Processing & SSADM)"
21317,"Waterfall (incl Linear Processing & SSADM)"
21370,"Waterfall (incl Linear Processing & SSADM)"
21394,"Waterfall (incl Linear Processing & SSADM)"
21399,"Waterfall (incl Linear Processing & SSADM)"
21420,"Waterfall (incl Linear Processing & SSADM)"
21429,"Waterfall (incl Linear Processing & SSADM)"
21433,"Waterfall (incl Linear Processing & SSADM)"
21467,"Waterfall (incl Linear Processing & SSADM)"
21496,"Waterfall (incl Linear Processing & SSADM)"
21522,"Waterfall (incl Linear Processing & SSADM)"
21552,"Waterfall (incl Linear Processing & SSADM)"
21609,"Waterfall (incl Linear Processing & SSADM)"
21623,"Waterfall (incl Linear Processing & SSADM)"
21668,"Waterfall (incl Linear Processing & SSADM)"
21775,"Waterfall (incl Linear Processing & SSADM)"
21824,"Waterfall (incl Linear Processing & SSADM)"
21859,"Waterfall (incl Linear Processing & SSADM)"
21915,"Waterfall (incl Linear Processing & SSADM)"
22063,"Waterfall (incl Linear Processing & SSADM)"
22274,"Waterfall (incl Linear Processing & SSADM)"
22342,"Waterfall (incl Linear Processing & SSADM)"
22361,"Waterfall (incl Linear Processing & SSADM)"
22425,"Waterfall (incl Linear Processing & SSADM)"
22465,"Waterfall (incl Linear Processing & SSADM)"
22471,"Waterfall (incl Linear Processing & SSADM)"
22495,"Waterfall (incl Linear Processing & SSADM)"
22507,"Waterfall (incl Linear Processing & SSADM)"
22638,"Waterfall (incl Linear Processing & SSADM)"
22727,"Waterfall (incl Linear Processing & SSADM)"
22776,"Waterfall (incl Linear Processing & SSADM)"
22886,"Waterfall (incl Linear Processing & SSADM)"
22893,"Waterfall (incl Linear Processing & SSADM)"
22922,"Waterfall (incl Linear Processing & SSADM)"
22951,"Waterfall (incl Linear Processing & SSADM)"
22957,"Waterfall (incl Linear Processing & SSADM)"
23066,"Waterfall (incl Linear Processing & SSADM)"
23110,"Waterfall (incl Linear Processing & SSADM)"
23122,"Waterfall (incl Linear Processing & SSADM)"
23182,"Waterfall (incl Linear Processing & SSADM)"
23317,"Waterfall (incl Linear Processing & SSADM)"
23467,"Waterfall (incl Linear Processing & SSADM)"
23518,"Waterfall (incl Linear Processing & SSADM)"
23538,"Waterfall (incl Linear Processing & SSADM)"
23559,"Waterfall (incl Linear Processing & SSADM)"
23565,"Waterfall (incl Linear Processing & SSADM)"
23573,"Waterfall (incl Linear Processing & SSADM)"
23656,"Waterfall (incl Linear Processing & SSADM)"
23687,"Waterfall (incl Linear Processing & SSADM)"
23698,"Waterfall (incl Linear Processing & SSADM)"
23708,"Waterfall (incl Linear Processing & SSADM)"
23712,"Waterfall (incl Linear Processing & SSADM)"
23741,"Waterfall (incl Linear Processing & SSADM)"
23766,"Waterfall (incl Linear Processing & SSADM)"
23777,"Waterfall (incl Linear Processing & SSADM)"
23784,"Waterfall (incl Linear Processing & SSADM)"
23972,"Waterfall (incl Linear Processing & SSADM)"
24009,"Waterfall (incl Linear Processing & SSADM)"
24042,"Multifunctional Teams"
24043,"Waterfall (incl Linear Processing & SSADM)"
24125,"Waterfall (incl Linear Processing & SSADM)"
24135,"Waterfall (incl Linear Processing & SSADM)"
24141,"Waterfall (incl Linear Processing & SSADM)"
24151,"Waterfall (incl Linear Processing & SSADM)"
24210,"Waterfall (incl Linear Processing & SSADM)"
24366,"Waterfall (incl Linear Processing & SSADM)"
24407,"Waterfall (incl Linear Processing & SSADM)"
24457,"Waterfall (incl Linear Processing & SSADM)"
24505,"Waterfall (incl Linear Processing & SSADM)"
24543,"Waterfall (incl Linear Processing & SSADM)"
24573,"Waterfall (incl Linear Processing & SSADM)"
24615,"Waterfall (incl Linear Processing & SSADM)"
24629,"Waterfall (incl Linear Processing & SSADM)"
24633,"Waterfall (incl Linear Processing & SSADM)"
24661,"Waterfall (incl Linear Processing & SSADM)"
24851,"Waterfall (incl Linear Processing & SSADM)"
24866,"Waterfall (incl Linear Processing & SSADM)"
24889,"Waterfall (incl Linear Processing & SSADM)"
24937,"Waterfall (incl Linear Processing & SSADM)"
25053,"Waterfall (incl Linear Processing & SSADM)"
25120,"Waterfall (incl Linear Processing & SSADM)"
25126,"Waterfall (incl Linear Processing & SSADM)"
25151,"Waterfall (incl Linear Processing & SSADM)"
25158,"Waterfall (incl Linear Processing & SSADM)"
25213,"Waterfall (incl Linear Processing & SSADM)"
25268,"Waterfall (incl Linear Processing & SSADM)"
25270,"Waterfall (incl Linear Processing & SSADM)"
25310,"Waterfall (incl Linear Processing & SSADM)"
25336,"Waterfall (incl Linear Processing & SSADM)"
25343,"Waterfall (incl Linear Processing & SSADM)"
25346,"Waterfall (incl Linear Processing & SSADM)"
25438,"Waterfall (incl Linear Processing & SSADM)"
25461,"Waterfall (incl Linear Processing & SSADM)"
25509,"Waterfall (incl Linear Processing & SSADM)"
25516,"Waterfall (incl Linear Processing & SSADM)"
25543,"Waterfall (incl Linear Processing & SSADM)"
25618,"Waterfall (incl Linear Processing & SSADM)"
25641,"Waterfall (incl Linear Processing & SSADM)"
25786,"Waterfall (incl Linear Processing & SSADM)"
25885,"Waterfall (incl Linear Processing & SSADM)"
25916,"Unified Process"
25926,"Joint Application Development (JAD)Rapid Application Development (RAD)"
25931,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)"
25975,"Waterfall (incl Linear Processing & SSADM)"
25979,"Waterfall (incl Linear Processing & SSADM)"
26007,"Waterfall (incl Linear Processing & SSADM)"
26047,"Waterfall (incl Linear Processing & SSADM)"
26096,"Waterfall (incl Linear Processing & SSADM)"
26105,"Waterfall (incl Linear Processing & SSADM)"
26137,"Waterfall (incl Linear Processing & SSADM)"
26156,"Waterfall (incl Linear Processing & SSADM)"
26187,"Waterfall (incl Linear Processing & SSADM)"
26199,"Waterfall (incl Linear Processing & SSADM)"
26274,"Waterfall (incl Linear Processing & SSADM)"
26284,"Waterfall (incl Linear Processing & SSADM)"
26290,"Waterfall (incl Linear Processing & SSADM)"
26315,"Waterfall (incl Linear Processing & SSADM)"
26339,"Waterfall (incl Linear Processing & SSADM)"
26391,"Waterfall (incl Linear Processing & SSADM)"
26457,"Waterfall (incl Linear Processing & SSADM)"
26470,"Waterfall (incl Linear Processing & SSADM)"
26513,"Waterfall (incl Linear Processing & SSADM)"
26537,"Waterfall (incl Linear Processing & SSADM)"
26575,"Waterfall (incl Linear Processing & SSADM)"
26604,"Waterfall (incl Linear Processing & SSADM)"
26738,"Waterfall (incl Linear Processing & SSADM)"
26765,"Multifunctional TeamsRapid Application Development (RAD)"
26888,"Waterfall (incl Linear Processing & SSADM)"
26895,"Waterfall (incl Linear Processing & SSADM)"
26925,"Waterfall (incl Linear Processing & SSADM)"
26994,"Waterfall (incl Linear Processing & SSADM)"
26997,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)"
27060,"Rapid Application Development (RAD)"
27151,"Waterfall (incl Linear Processing & SSADM)"
27171,"Waterfall (incl Linear Processing & SSADM)"
27245,"Waterfall (incl Linear Processing & SSADM)"
27357,"Joint Application Development (JAD)Rapid Application Development (RAD)"
27361,"Waterfall (incl Linear Processing & SSADM)"
27423,"Waterfall (incl Linear Processing & SSADM)"
27574,"Waterfall (incl Linear Processing & SSADM)"
27727,"Waterfall (incl Linear Processing & SSADM)"
27743,"Waterfall (incl Linear Processing & SSADM)"
27745,"Waterfall (incl Linear Processing & SSADM)"
27858,"Waterfall (incl Linear Processing & SSADM)"
