pryidorg,orgtyp
18442,"Financial, Property & Business Services"
18459,"Financial, Property & Business Services"
18498,Telecommunications
18638,Telecommunications
18663,Telecommunications
18697,Telecommunications
18735,Telecommunications
18746,"GovernmentMunicipal Services"
18808,Telecommunications
18890,Insurance
18917,Insurance
18945,"Financial, Property & Business Services"
18961,Telecommunications
19040,"Medical and Health Care"
19079,"Medical and Health Care"
19114,"GovernmentProfessional Services"
19122,Telecommunications
19136,"Medical and Health Care"
19148,Telecommunications
19154,Insurance
19189,Telecommunications
19297,Insurance
19303,Ordering
19403,"Medical and Health Care"
19410,Banking
19456,Insurance
19461,"Medical and Health Care"
19490,Communications
19491,Telecommunications
19594,Insurance
19659,Telecommunications
19660,"Financial, Property & Business Services"
19671,Telecommunications
19680,Local
19730,Government
19757,Government
19799,Telecommunications
19815,"Electricity, Gas, Water"
19881,Ordering
19885,"Medical and Health Care"
19905,Banking
20082,Telecommunications
20093,Manufacturing
20106,"Public AdministrationCommunity ServicesInsurance"
20115,Telecommunications
20123,Insurance
20177,Communications
20236,Insurance
20352,"Medical and Health Care"
20398,Telecommunications
20419,Telecommunications
20477,Manufacturing
20538,"Medical and Health Care"
20614,Telecommunications
20758,Telecommunications
20776,Telecommunications
20837,Telecommunications
20887,"Medical and Health Care"
20892,Government
21078,Telecommunications
21107,Government
21114,Telecommunications
21151,Communications
21180,Electronics
21195,Telecommunications
21198,Telecommunications
21261,Insurance
21317,"Medical and Health Care"
21370,Insurance
21394,Telecommunications
21399,Communications
21420,Telecommunications
21429,Telecommunications
21433,Telecommunications
21467,Telecommunications
21496,Banking
21522,Insurance
21552,Telecommunications
21609,Communications
21623,Telecommunications
21668,"Financial, Property & Business Services"
21775,Communications
21824,Insurance
21859,Insurance
21915,"Computers & Software"
22063,Insurance
22274,Government
22342,Telecommunications
22361,Communications
22425,"Medical and Health Care"
22465,Telecommunications
22471,Insurance
22495,Telecommunications
22507,Banking
22638,Telecommunications
22727,Government
22776,Telecommunications
22886,Communications
22893,Telecommunications
22922,"Medical and Health Care"
22951,Telecommunications
22957,Telecommunications
23066,Banking
23110,Telecommunications
23122,"Medical and Health Care"
23182,Telecommunications
23317,Telecommunications
23467,"Medical and Health Care"
23518,Communications
23538,"Medical and Health Care"
23559,"Business Services"
23565,"Financial, Property & Business Services"
23573,Telecommunications
23656,Telecommunications
23687,"Aerospace / Automotive"
23698,Maintenance
23708,Communications
23712,Communications
23741,"Medical and Health Care"
23766,Insurance
23777,Communications
23784,"Medical and Health Care"
23972,"Medical and Health Care"
24009,Insurance
24042,Banking
24043,Telecommunications
24125,"Oil & Petroleum"
24135,Telecommunications
24141,Telecommunications
24151,Telecommunications
24210,Insurance
24366,Communications
24407,Manufacturing
24457,Telecommunications
24505,Telecommunications
24543,"Medical and Health Care"
24573,Telecommunications
24615,"Medical and Health Care"
24629,Telecommunications
24633,Telecommunications
24661,Insurance
24851,Telecommunications
24866,Insurance
24889,"Medical and Health Care"
24937,Insurance
25053,"Medical and Health Care"
25120,"GovernmentCommunity Services"
25126,Telecommunications
25151,Telecommunications
25158,Telecommunications
25213,Insurance
25268,Telecommunications
25270,Telecommunications
25310,Telecommunications
25336,"Financial, Property & Business Services"
25343,Telecommunications
25346,"Medical and Health Care"
25438,Telecommunications
25461,"Medical and Health Care"
25509,Communications
25516,Telecommunications
25543,Telecommunications
25618,Government
25641,Chemicals
25786,Telecommunications
25885,Banking
25916,"Virtual Assistants (Lingubots)"
25926,"Public AdministrationCommunity ServicesInsurance"
25931,Insurance
25975,Energy
25979,Insurance
26007,Telecommunications
26047,Telecommunications
26096,Telecommunications
26105,"Medical and Health Care"
26137,"Medical and Health Care"
26156,Government
26187,Telecommunications
26199,Communications
26274,Telecommunications
26284,Communications
26290,"Medical and Health Care"
26315,Insurance
26339,Distribution
26391,Telecommunications
26457,Insurance
26470,Manufacturing
26513,Telecommunications
26537,Insurance
26575,Insurance
26604,"Medical and Health Care"
26738,"Medical and Health Care"
26765,Communications
26888,Insurance
26895,Telecommunications
26925,"Medical and Health Care"
26994,GovernmentDefence
26997,Insurance
27060,"Financial, Property & Business Services"
27151,Telecommunications
27171,Telecommunications
27245,"Medical and Health Care"
27357,Communications
27361,Telecommunications
27423,Insurance
27574,Telecommunications
27727,Communications
27743,"Medical and Health Care"
27745,"Medical and Health Care"
27858,Telecommunications
