PryId,DatQltRtn,UfpRtn,CouApp,RscLvl,IndSct,OrgTyp,AppTyp,DvlTyp,DvlPlt,LngTyp,PrgLng1,FncSze,NWELL1,SmmWrkEff,PrjElpTme,MaxTeaSze,DBMS1,DvlMtd,LOC,TtlPrjCst
10265,A,A,"IFPUG 4+",1,Communication,Communications,"Management Information System",Enhancement,,4GL,Oracle,87,1606,1333,4,4,,,-1,-1
10267,B,A,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,4GL,"Amdocs framework",107,1380,1137,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10268,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Workflow support & management",Enhancement,Multi,,,139,2010,1648,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10273,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Warranty Management",Enhancement,MF,3GL,Java,271,-1,2536,5,-1,DB2,,-1,-1
10278,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,,,427,5190,4256,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10281,B,B,"IFPUG 4+",1,Insurance,Insurance,Unknown,Enhancement,,,,60,323,265,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10283,B,B,"IFPUG 4+",1,Financial,"Financial, Property & Business Services","Financial transaction process/accounting",Enhancement,MF,3GL,PL/I,224,12548,7780,12,8,IMSDB2,"Waterfall (incl Linear Processing & SSADM)",-1,200000
10305,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,110,1037,850,5,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10306,B,A,"IFPUG 4+",1,,,"Telecom & network management",Enhancement,,3GL,C,745,15112,15112,-1,-1,,,-1,-1
10307,B,A,"IFPUG 4+",4,"Wholesale & Retail","Wholesale & Retail Trade","Management Information System",Enhancement,MF,3GL,COBOL,221,-1,20000,4,-1,Interactive,,-1,-1
10318,A,A,"IFPUG 4+",1,Communication,Communications,"Transaction/Production System",Enhancement,,3GL,COBOL,77,1936,1607,6,6,,,-1,-1
10323,A,A,"IFPUG 4+",1,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,,3GL,COBOL,647,8459,6006,9,21,,,-1,2284000
10331,B,A,"IFPUG 4+",1,Communication,Telecommunications,Other,Enhancement,,3GL,Java,119,252,208,9,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10332,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Manufacturing process management",Enhancement,Multi,3GL,Java,34,-1,344,4,-1,DL/1,,-1,-1
10333,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Workflow support & management",Enhancement,,,,78,776,636,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10337,A,B,"IFPUG 4+",2,Insurance,Insurance,,"New Development",MF,3GL,COBOL,120,-1,1158,7,-1,DB2,,-1,-1
10343,B,B,"IFPUG 4+",1,Insurance,Insurance,Unknown,Enhancement,,,,343,1550,1271,11,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10349,B,B,"IFPUG 4+",1,Government,Government,Military,"New Development",PC,4GL,DELPHI,1286,19344,19344,20,6,,"Rapid Application Development (RAD)",-1,-1
10352,B,A,"IFPUG 4+",1,,,,Enhancement,,,,275,1888,1888,6,-1,,,-1,-1
10353,B,A,"IFPUG 4+",1,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,MF,3GL,COBOL,68,2710,2520,3,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10355,B,A,"IFPUG 4+",1,,,,Enhancement,,3GL,"Unix Shell",50,253,253,5,-1,,,-1,-1
10358,B,B,"IFPUG 4+",4,Banking,Banking,"Web-based Application","New Development",PC,3GL,"Visual Basic",191,571,737,2,5,"SQL Server",,-1,-1
10359,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,19,4061,3614,15,58,,,-1,207539
10361,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,21,813,683,6,20,,,-1,40236
10365,B,A,"IFPUG 4+",1,,,,Enhancement,,4GL,Oracle,12,343,343,3,-1,,,-1,-1
10368,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Workflow support & management",Enhancement,Multi,,,164,3307,2712,5,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10370,B,A,"IFPUG 4+",1,Manufacturing,Manufacturing,"Financial transaction process/accounting","New Development",Multi,4GL,SQL,702,4805,4805,12,-1,"Oracle,SQL Server","Waterfall (incl Linear Processing & SSADM)",-1,-1
10378,B,A,"IFPUG 4+",1,Insurance,Insurance,"Sales promotion tool","New Development",MF,4GL,ASP,287,2108,1960,8,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10388,A,A,"IFPUG 4+",1,"Service Industry","Citizens and the Municipalities","Stock control & order processing",Enhancement,Multi,4GL,ASP.Net,139,5062,5062,11,10,,,-1,-1
10390,B,A,"IFPUG 4+",1,Banking,Banking,,"New Development",MF,3GL,COBOL,154,2408,2408,6,9,IMS,,-1,-1
10392,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,3GL,Java,132,1037,952,10,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10393,B,A,"IFPUG 4+",1,"Service Industry","Transport & Storage",,Enhancement,MF,3GL,RPG,212,756,756,4,-1,DB/400,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10396,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,"Visual Basic",165,2774,2275,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10397,B,B,"IFPUG 4+",1,Communication,Communications,"relatively complex application",Enhancement,MF,3GL,,3,65,65,-1,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10398,A,A,"IFPUG 4+",1,Communication,Communications,"Company hierarchy and staff directory",Enhancement,,3GL,C,115,1243,1243,6,4,,,-1,-1
10401,B,A,"IFPUG 4+",1,Communication,Telecommunications,EAI/ESB,Enhancement,,4GL,.NET,99,2631,2168,8,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10404,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Logistic indicators",Enhancement,MR,3GL,Java,72,-1,876,4,-1,Oracle,,-1,-1
10409,A,A,"IFPUG 4+",1,Communication,Communications,"Management Information System",Enhancement,,4GL,Oracle,46,4063,3372,7,11,,,-1,-1
10412,B,B,"IFPUG 4+",1,Insurance,Insurance,Unknown,Enhancement,,3GL,PL/SQL,53,329,270,7,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10421,B,B,"IFPUG 4+",1,Communication,Telecommunications,Other,Enhancement,,4GL,.Net,74,1229,1128,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10424,B,A,"IFPUG 4+",1,,,,Enhancement,,3GL,Java,203,1822,1822,-1,-1,,,-1,-1
10426,A,A,"IFPUG 4+",1,"Service Industry","Car Rental","Customer relationship management","New Development",PC,3GL,C#,90,2006,2006,5,8,"MS SQL Server 2005",Iterative,-1,139924
10427,B,A,"IFPUG 4+",1,"Service Industry","Recreation & Personnel Services","Financial transaction process/accounting","New Development",MR,4GL,SQL,859,11372,11372,12,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10431,A,B,"IFPUG 4+",1,Communication,Communications,"Real-time System","New Development",MR,3GL,Java,1306,88555,73501,19,-1,Oracle,"Joint Application Development (JAD)Multifunctional TeamsRapid Application Development (RAD)",-1,-1
10434,B,A,"IFPUG 4+",1,Banking,Banking,"Financial transaction process/accounting",Enhancement,MF,3GL,PL/I,14,180,167,3,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10449,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,18,2651,2412,6,33,,,-1,123081
10460,B,A,"IFPUG 4+",1,"Wholesale & Retail","Consumer Goods","Fixed asset",Enhancement,MF,3GL,COBOL,230,930,930,4,-1,VSAM,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10465,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,12,2920,2599,10,47,,,-1,160179
10466,B,A,"IFPUG 4+",1,,,,Enhancement,,,,687,1788,1788,6,4,,,-1,-1
10467,B,A,"IFPUG 4+",1,Communication,Telecommunications,Other,Enhancement,,3GL,Java,52,369,304,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10469,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Stock control & order processing",Enhancement,Multi,3GL,Java,85,357,293,9,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10470,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,116,13316,13316,11,69,,,-1,569861
10481,B,B,"IFPUG 4+",1,"Service Industry","GovernmentCommunity Services","Catalogue/register of things or eventsCustomer billing/relationship managementElectronic Data Interchange",Enhancement,MF,3GL,PL/I,304,5377,5377,10,8,DB2,,-1,-1
10483,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Parts selling",Enhancement,MF,3GL,PL/I,20,-1,256,4,-1,DL/1,,-1,-1
10486,A,A,"IFPUG 4+",1,Government,Government,"Customer billing/relationship management",Enhancement,Multi,3GL,JavaScript,132,1485,1485,12,3,"MS SQL",,-1,-1
10492,B,B,"IFPUG 4+",1,,,,Enhancement,MF,3GL,COBOL,5,554,554,3,-1,,,-1,-1
10494,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,42,5305,4828,16,33,,,-1,248917
10496,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,47,2450,2450,24,36,,,-1,104783
10500,B,A,"IFPUG 4+",4,Banking,Banking,"Transaction/Production System","New Development",MF,3GL,COBOL,42,-1,932,-1,4,DL/1,,-1,-1
10501,B,B,"IFPUG 4+",-1,Manufacturing,Manufacturing,"Factory parts follow up",Enhancement,MR,3GL,Java,578,-1,12019,12,-1,Oracle,,-1,-1
10502,B,A,"IFPUG 4+",1,,,,"New Development",,3GL,"Visual Basic",28,686,686,4,4,,,3400,-1
10503,B,B,"IFPUG 4+",1,,,,"New Development",Multi,3GL,Java,149,1492,1238,2,-1,,,-1,-1
10505,B,A,"IFPUG 4+",1,Banking,Banking,"Financial transaction process/accounting",Enhancement,MF,3GL,PL/I,24,2347,1760,3,-1,"IMS/DB,DC","Waterfall (incl Linear Processing & SSADM)",-1,-1
10510,B,A,"IFPUG 4+",4,Insurance,"Public AdministrationInsurance","Transaction/Production System","New Development",MF,3GL,COBOL,1738,-1,15142,18,-1,"ADABAS V5","Joint Application Development (JAD)",-1,784000
10512,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Parts selling",Enhancement,MR,3GL,PL/I,22,-1,432,3,-1,DL/1,,-1,-1
10514,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,99,2029,1664,6,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10518,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Cars documentation",Enhancement,MR,3GL,Java,328,-1,3355,17,-1,Oracle,,-1,-1
10521,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Stock control & order processing",Enhancement,Multi,3GL,Java,135,2424,1988,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10525,B,A,"IFPUG 4+",1,Banking,Banking,"Workflow support & management","New Development",Multi,4GL,"Lotus Notes",77,218,203,2,-1,Notes,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10527,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,6,538,490,6,12,,,-1,30456
10531,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,24,170,136,8,8,,,-1,5380
10543,A,A,"IFPUG 4+",1,Communication,Communications,"Real-time System",Enhancement,MR,3GL,C,60,2053,1704,7,-1,Oracle,,-1,-1
10546,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,3GL,Java,86,523,480,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10549,B,B,"IFPUG 4+",1,,,"Financial application area",Enhancement,Multi,4GL,,233,1817,1817,6,-1,Interactive,,-1,-1
10557,B,A,"IFPUG 4+",1,Manufacturing,Manufacturing,"Decision Support System",Enhancement,PC,4GL,Access,62,2049,1680,-1,2,,,-1,89040
10559,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"After sales Parts documentation",Enhancement,Multi,3GL,C++,115,-1,1414,8,-1,Oracle,,-1,-1
10560,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Stock factory management",Enhancement,MR,4GL,ABAP,549,-1,7930,16,-1,Oracle,,-1,-1
10564,B,A,"IFPUG 4+",1,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,MF,3GL,"Visual Basic",217,6459,6459,3,-1,DB2/400,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10565,B,B,"IFPUG 4+",1,Insurance,Insurance,,Enhancement,,3GL,PL/SQL,87,251,230,1,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10566,B,A,"IFPUG 4+",1,"Service Industry","Recreation & Personnel Services","Financial transaction process/accounting","New Development",MR,4GL,SQL,359,8580,8580,9,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10568,B,B,"IFPUG 4+",1,Insurance,Insurance,Unknown,Enhancement,,3GL,COBOL,51,259,212,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10570,A,A,"IFPUG 4+",2,Banking,Banking,"Management Information System","New Development",MR,3GL,C++,214,-1,2640,7,-1,SYBASE,"Multifunctional Teams",-1,204724
10575,B,A,"IFPUG 4+",1,Construction,Construction,"Production management","New Development",PC,3GL,COBOL,320,1427,1327,3,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10578,B,B,"IFPUG 4+",1,Communication,Communications,"relatively complex application",Enhancement,Multi,4GL,,267,8486,8486,-1,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10581,B,A,"IFPUG 4+",1,Banking,Banking,"Management Information System","New Development",MF,ApG,TELON,74,804,804,8,6,DB2IMS,,-1,-1
10587,B,A,"IFPUG 4+",1,Banking,Banking,"Transaction/Production System","New Development",MF,3GL,COBOL,324,5867,5867,12,8,IMS,,-1,-1
10590,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,"Visual Basic",251,5349,4386,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10592,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Track test management","New Development",MR,3GL,PHP,225,-1,1856,12,-1,MySQL,,-1,-1
10599,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Car selling",Enhancement,,3GL,Java,85,-1,971,6,-1,Oracle,,-1,-1
10602,B,A,"IFPUG 4+",1,Utilities,"Electricity, Gas, Water",Trading,"New Development",Multi,4GL,"Lotus Notes",193,1718,1718,7,-1,No,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10612,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,92,956,784,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10618,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Parts selling",Enhancement,MR,3GL,COBOL,62,-1,576,5,-1,Files,,-1,-1
10621,B,A,"IFPUG 4+",1,Banking,Banking,"Financial transaction process/accounting",Enhancement,MF,3GL,RPG,255,185,172,3,-1,RDB400,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10632,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,,,185,1821,1672,5,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10649,B,A,"IFPUG 4+",1,,,,Enhancement,,4GL,Oracle,113,1847,1847,3,-1,,,-1,-1
10656,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,62,751,616,6,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10658,B,B,"IFPUG 4+",1,Insurance,Insurance,Unknown,Enhancement,,3GL,PL/SQL,71,117,96,1,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10663,B,A,"IFPUG 4+",1,Banking,Banking,"Financial transaction process/accounting",Enhancement,MF,3GL,PL/I,218,4997,4997,33,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10665,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Stock control & order processing",Enhancement,Multi,3GL,Java,96,1599,1311,6,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10667,B,A,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,4GL,"Amdocs framework",56,119,98,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10670,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Manufacturing process management",Enhancement,Multi,3GL,Java,36,-1,368,3,-1,DL/1,,-1,-1
