PryId,IndSct,OrgTyp,AppTyp,DvlTyp,DvlPlt,LngTyp,PrgLng1,FncSze,NWELL1,SmmWrkEff,PrjElpTme,MaxTeaSze,DBMS1,DvlMtd,LOC
Y50355,,,,Enhancement,,3GL,Unix Shell,50,253,253,5,-1,,,-1
Y50359,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,19,4061,3614,15,58,,,-1
Y50361,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,21,813,683,6,20,,,-1
Y50365,,,,Enhancement,,4GL,Oracle,12,343,343,3,-1,,,-1
Y50368,Communication,Telecommunications,Workflow support & management,Enhancement,Multi,,,164,3307,2712,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50370,Manufacturing,Manufacturing,Financial transaction process/accounting,New Development,Multi,4GL,SQL,702,4805,4805,12,-1,"Oracle,SQL Server",Waterfall (incl Linear Processing & SSADM),-1
Y50378,Insurance,Insurance,Sales promotion tool,New Development,MF,4GL,ASP,287,2108,1960,8,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y50388,Service Industry,Citizens and the Municipalities,Stock control & order processing,Enhancement,Multi,4GL,ASP.Net,139,5062,5062,11,10,,,-1
Y50390,Banking,Banking,,New Development,MF,3GL,COBOL,154,2408,2408,6,9,IMS,,-1
Y50392,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,132,1037,952,10,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50393,Service Industry,Transport & Storage,,Enhancement,MF,3GL,RPG,212,756,756,4,-1,DB/400,Waterfall (incl Linear Processing & SSADM),-1
Y50396,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Visual Basic,165,2774,2275,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50397,Communication,Communications,relatively complex application,Enhancement,MF,3GL,,3,65,65,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y50398,Communication,Communications,Company hierarchy and staff directory,Enhancement,,3GL,C,115,1243,1243,6,4,,,-1
Y50401,Communication,Telecommunications,EAI/ESB,Enhancement,,4GL,.NET,99,2631,2168,8,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50409,Communication,Communications,Management Information System,Enhancement,,4GL,Oracle,46,4063,3372,7,11,,,-1
Y50412,Insurance,Insurance,Unknown,Enhancement,,3GL,PL/SQL,53,329,270,7,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50421,Communication,Telecommunications,Other,Enhancement,,4GL,.Net,74,1229,1128,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50424,,,,Enhancement,,3GL,Java,203,1822,1822,-1,-1,,,-1
Y50426,Service Industry,Car Rental,Customer relationship management,New Development,PC,3GL,C#,90,2006,2006,5,8,MS SQL Server 2005,Iterative,-1
Y50427,Service Industry,Recreation & Personnel Services,Financial transaction process/accounting,New Development,MR,4GL,SQL,859,11372,11372,12,-1,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y50431,Communication,Communications,Real-time System,New Development,MR,3GL,Java,1306,88555,73501,19,-1,Oracle,Joint Application Development (JAD)Multifunctional TeamsRapid Application Development (RAD),-1
Y50434,Banking,Banking,Financial transaction process/accounting,Enhancement,MF,3GL,PL/I,14,180,167,3,-1,DB2,Waterfall (incl Linear Processing & SSADM),-1
Y50449,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,18,2651,2412,6,33,,,-1
Y50460,Wholesale & Retail,Consumer Goods,Fixed asset,Enhancement,MF,3GL,COBOL,230,930,930,4,-1,VSAM,Waterfall (incl Linear Processing & SSADM),-1
Y50465,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,12,2920,2599,10,47,,,-1
Y50466,,,,Enhancement,,,,687,1788,1788,6,4,,,-1
Y50467,Communication,Telecommunications,Other,Enhancement,,3GL,Java,52,369,304,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50469,Communication,Telecommunications,Stock control & order processing,Enhancement,Multi,3GL,Java,85,357,293,9,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50470,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,116,13316,13316,11,69,,,-1
Y50481,Service Industry,GovernmentCommunity Services,Catalogue/register of things or eventsCustomer billing/relationship managementElectronic Data Interchange,Enhancement,MF,3GL,PL/I,304,5377,5377,10,8,DB2,,-1
Y50486,Government,Government,Customer billing/relationship management,Enhancement,Multi,3GL,JavaScript,132,1485,1485,12,3,MS SQL,,-1
Y50492,,,,Enhancement,MF,3GL,COBOL,5,554,554,3,-1,,,-1
Y50494,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,42,5305,4828,16,33,,,-1
Y50496,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,47,2450,2450,24,36,,,-1
Y50502,,,,New Development,,3GL,Visual Basic,28,686,686,4,4,,,3400
Y50503,,,,New Development,Multi,3GL,Java,149,1492,1238,2,-1,,,-1
Y50505,Banking,Banking,Financial transaction process/accounting,Enhancement,MF,3GL,PL/I,24,2347,1760,3,-1,"IMS/DB,DC",Waterfall (incl Linear Processing & SSADM),-1
Y50514,Communication,Telecommunications,Data Warehouse,Enhancement,Multi,3GL,Shell,99,2029,1664,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50521,Communication,Telecommunications,Stock control & order processing,Enhancement,Multi,3GL,Java,135,2424,1988,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50525,Banking,Banking,Workflow support & management,New Development,Multi,4GL,Lotus Notes,77,218,203,2,-1,Notes,Waterfall (incl Linear Processing & SSADM),-1
Y50527,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,6,538,490,6,12,,,-1
Y50531,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,24,170,136,8,8,,,-1
Y50543,Communication,Communications,Real-time System,Enhancement,MR,3GL,C,60,2053,1704,7,-1,Oracle,,-1
Y50546,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,86,523,480,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50549,,,Financial application area,Enhancement,Multi,4GL,,233,1817,1817,6,-1,Interactive,,-1
Y50557,Manufacturing,Manufacturing,Decision Support System,Enhancement,PC,4GL,Access,62,2049,1680,-1,2,,,-1
Y50564,Insurance,Insurance,Financial transaction process/accounting,Enhancement,MF,3GL,Visual Basic,217,6459,6459,3,-1,DB2/400,Waterfall (incl Linear Processing & SSADM),-1
Y50565,Insurance,Insurance,,Enhancement,,3GL,PL/SQL,87,251,230,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50566,Service Industry,Recreation & Personnel Services,Financial transaction process/accounting,New Development,MR,4GL,SQL,359,8580,8580,9,-1,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y50568,Insurance,Insurance,Unknown,Enhancement,,3GL,COBOL,51,259,212,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50575,Construction,Construction,Production management,New Development,PC,3GL,COBOL,320,1427,1327,3,-1,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y50578,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,267,8486,8486,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y50581,Banking,Banking,Management Information System,New Development,MF,ApG,TELON,74,804,804,8,6,DB2IMS,,-1
Y50587,Banking,Banking,Transaction/Production System,New Development,MF,3GL,COBOL,324,5867,5867,12,8,IMS,,-1
Y50590,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Visual Basic,251,5349,4386,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50602,Utilities,"Electricity, Gas, Water",Trading,New Development,Multi,4GL,Lotus Notes,193,1718,1718,7,-1,No,Waterfall (incl Linear Processing & SSADM),-1
Y50612,Communication,Telecommunications,Data Warehouse,Enhancement,Multi,3GL,Shell,92,956,784,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50621,Banking,Banking,Financial transaction process/accounting,Enhancement,MF,3GL,RPG,255,185,172,3,-1,RDB400,Waterfall (incl Linear Processing & SSADM),-1
Y50632,Communication,Telecommunications,Customer relationship management,Enhancement,,,,185,1821,1672,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50649,,,,Enhancement,,4GL,Oracle,113,1847,1847,3,-1,,,-1
Y50656,Communication,Telecommunications,Data Warehouse,Enhancement,Multi,3GL,Shell,62,751,616,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50658,Insurance,Insurance,Unknown,Enhancement,,3GL,PL/SQL,71,117,96,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50663,Banking,Banking,Financial transaction process/accounting,Enhancement,MF,3GL,PL/I,218,4997,4997,33,-1,DB2,Waterfall (incl Linear Processing & SSADM),-1
Y50665,Communication,Telecommunications,Stock control & order processing,Enhancement,Multi,3GL,Java,96,1599,1311,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50667,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,56,119,98,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50676,Government,Government,Financial transaction process/accounting,Enhancement,Multi,4GL,ABAP,249,2204,2204,15,9,DB2,,-1
Y50684,Insurance,Insurance,Unknown,Enhancement,,3GL,PL/SQL,102,1233,1011,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50685,,,,Enhancement,,4GL,Oracle,49,161,161,2,-1,,,-1
Y50689,Insurance,Insurance,,Enhancement,,,Mixed,55,131,120,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50691,,,,New Development,Multi,3GL,Java,205,2286,2126,4,-1,,,-1
Y50692,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,60,350,289,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50696,Communication,Telecommunications,Billing and ERP,Enhancement,,,,120,558,512,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50700,Wholesale & Retail,Billing,Billing,Enhancement,,3GL,C++,70,1607,1607,-1,-1,,,-1
Y50701,Wholesale & Retail,Ordering,Stock control & order processing,Enhancement,MF,3GL,C,161,9719,9719,-1,-1,,,-1
Y50702,Insurance,Insurance,,Enhancement,MF,,,147,1170,1170,1,-1,,,-1
Y50707,Communication,Telecommunications,Stock control & order processing,Enhancement,Multi,3GL,Java,56,1298,1064,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50712,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,9,1871,1871,9,30,,,-1
Y50715,Communication,Telecommunications,Other: Online. eSales,Enhancement,,4GL,html / jsp,55,412,340,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50720,Government,GovernmentDefence,Reporting,Enhancement,MF,3GL,COBOL,64,1058,1058,22,-1,,,-1
Y50721,Financial,"Financial, Property & Business Services",Transaction/Production System,New Development,MF,,,168,3348,3348,26,-1,DB2,Rapid Application Development (RAD),-1
Y50732,,,,Enhancement,,,,387,1235,1235,5,4,,,-1
Y50737,Communication,Communications,Transaction/Production System,Enhancement,MR,4GL,Oracle,340,676,676,7,3,Oracle,,-1
Y50738,Communication,Telecommunications,Integration,Enhancement,,3GL,TIBCO,172,7421,6085,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50739,Communication,Telecommunications,Online analysis and reporting,Enhancement,,,Unknown,153,4796,3952,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50740,Communication,Telecommunications,Data Warehouse,Enhancement,Multi,3GL,Shell,58,1283,1052,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50747,,,,Re-development,,,,249,2873,2873,4,-1,,,-1
Y50750,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,16,812,812,11,20,,,-1
Y50757,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,76,1795,1472,9,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50759,Government,Government,Catalogue/register of things or eventsOnline analysis and reportingElectronic Data Interchange,Enhancement,Multi,3GL,C#,263,911,911,3,10,DB2,,-1
Y50762,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Java,231,224,184,9,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50778,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,40,261,261,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y50791,,,,Enhancement,,,,51,417,417,3,5,,,-1
Y50792,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,26,5230,5230,8,52,,,-1
Y50793,,,,New Development,PC,4GL,Oracle,534,2960,2960,5,-1,Oracle,,-1
Y50796,,,,Enhancement,,,,100,878,878,7,-1,,,-1
Y50802,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,31,578,578,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y50837,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,125,16747,16747,15,163,,,-1
Y50841,Insurance,Insurance,Sales contact management,New Development,MF,3GL,COBOL,164,7040,5280,9,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y50842,,,,Enhancement,MF,3GL,COBOL,12,1777,1777,4,-1,,,-1
Y50847,Insurance,Insurance,Transaction/Production System,Enhancement,MF,3GL,Visual Basic,209,3532,3532,13,-1,ACCESSDB2IMS,Joint Application Development (JAD),-1
Y50851,Communication,Telecommunications,Customer relationship management,Enhancement,,,VoiceXML,104,1794,1479,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50853,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,27,4380,3898,15,71,,,-1
Y50860,Wholesale & Retail,Billing,Billing,Enhancement,,3GL,COBOL,95,3680,3680,-1,-1,DB2IMS,,-1
Y50866,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,92,7879,7879,19,85,,,-1
Y50868,Communication,Communications,Telecom & network management,Enhancement,PC,3GL,Java,70,436,436,1,-1,Oracle,,-1
Y50871,,,Transaction/Production System,Enhancement,MF,3GL,COBOL,228,5876,5288,9,5,DB2,,-1
Y50875,Insurance,Insurance,Unknown,Enhancement,,,,135,666,546,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50877,Banking,Banking,Personnel system,Enhancement,MF,3GL,PL/I,205,3280,3280,8,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y50883,,,,Enhancement,,4GL,Oracle,18,268,268,2,-1,,,-1
Y50892,,,Transaction/Production System,Enhancement,MF,3GL,COBOL,154,1934,1934,19,2,DB2IMS,,-1
Y50896,Insurance,Insurance,,Enhancement,,,Mixed,95,194,178,10,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50901,Manufacturing,Manufacturing,,New Development,MR,4GL,Oracle,4272,17600,17600,7,-1,Oracle 6,,-1
Y50917,Government,GovernmentDefence,Financial transaction process/accounting,Enhancement,MF,3GL,COBOL,36,609,609,22,-1,,,-1
Y50919,Communication,Communications,Transaction/Production System,Enhancement,,4GL,ADS/Online,351,1095,909,4,6,,,-1
Y50929,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,40,3567,2818,16,33,,,-1
Y50935,Communication,Communications,Transaction/Production System,Enhancement,MF,3GL,COBOL,2697,10957,9094,6,27,DB2,,-1
Y50945,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,55,361,296,-1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50953,Communication,Telecommunications,Other: Online. eSales,Enhancement,,3GL,HTML,61,991,816,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50954,Communication,Communications,relatively complex application,Enhancement,MF,4GL,,34,847,847,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y50957,Manufacturing,Manufacturing,Sales contact management,New Development,Multi,4GL,SQL,749,4623,4623,26,-1,SQL Server,Waterfall (incl Linear Processing & SSADM),-1
Y50960,Communication,Telecommunications,Other,Enhancement,,3GL,Java,107,782,645,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50964,Electronics & Computers,Computers & Software,Utility,New Development,PC,4GL,DELPHI,16,619,619,8,1,,Rapid Application Development (RAD),-1
Y50973,,,,Enhancement,,4GL,Visual C++,538,1818,1345,6,5,,,17000
Y50975,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,7,537,478,5,22,,,-1
Y50976,Wholesale & Retail,Ordering,Stock control & order processing,Enhancement,,3GL,C++,155,8385,8385,-1,-1,,,-1
Y50980,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,307,1596,1596,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y50981,Financial,"Financial, Property & Business Services",Software for machine control,Enhancement,Multi,3GL,Visual Basic,159,2076,2076,4,-1,SQL Server 6.5,Waterfall (incl Linear Processing & SSADM),-1
Y50993,,,Transaction/Production System,Enhancement,MF,3GL,COBOL,310,5971,5374,15,4,DB2,,-1
Y50997,Banking,Banking,Transaction/Production System,New Development,MF,3GL,COBOL,200,1935,1935,7,6,IMS,,-1
Y50998,,,,New Development,,3GL,C,474,1644,1644,7,5,,,4000
Y60000,Communication,Communications,relatively complex application,Enhancement,MF,3GL,,13,497,497,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y60002,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,4GL,Siebel,53,952,781,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60006,Insurance,Insurance,,Enhancement,,,Mixed,101,228,210,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60015,Communication,Telecommunications,Data or database management,Enhancement,Multi,,,56,751,616,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60016,Communication,Telecommunications,Other,Enhancement,,4GL,ABAP 4,63,1398,1152,12,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60029,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,23,5229,5229,12,63,,,-1
Y60057,Communication,Telecommunications,Billing and ERP,Enhancement,,,,89,671,616,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60063,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,450,49846,49846,23,90,,,-1
Y60080,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,PL/SQL,70,546,448,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60082,,,,Enhancement,,4GL,.Net,245,1113,880,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60088,Communication,Communications,Telecom & network management,Enhancement,PC,3GL,Pro*C,58,534,534,11,10,Oracle,,-1
