pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc
12038,189,34,13,323,78,330,177,19,136,136,9,6,380,-1
12060,5,1,1,74,23,61,2,1083,2042,2042,2,287,5,-1
12082,12,8,187,74,78,61,1,782,2519,2343,9,1,380,-1
12097,189,150,12,323,281,330,177,54,878,720,9,287,380,-1
12146,9,3,1,323,281,61,3,696,6023,6023,10,21,380,-1
12152,57,57,187,323,281,330,177,27,1075,1075,20,287,380,-1
12153,4,3,1,74,23,61,2,24,40,41,1,287,5,-1
12174,189,34,2,74,23,330,19,181,1824,1514,5,21,5,-1
12175,189,150,12,323,281,330,177,176,1214,1214,9,30,380,-1
12181,57,57,187,323,281,330,177,6,1299,1299,32,287,380,-1
12202,12,8,8,323,281,330,13,116,1512,1512,9,21,380,-1
12204,1,1,187,74,281,330,19,703,2511,2335,9,1,380,-1
12305,189,150,12,323,281,330,177,100,1146,940,9,287,380,-1
12344,189,150,5,323,281,330,6,126,3141,2576,9,287,380,-1
12365,189,34,9,323,18,61,12,322,973,973,5,21,380,-1
12377,18,17,187,323,78,330,16,14,179,167,9,287,380,-1
12410,189,34,24,323,18,61,7,173,2890,2399,10,21,380,-1
12529,18,17,187,323,78,61,12,103,673,673,9,30,380,-1
12573,12,8,2,74,23,330,19,1216,2228,1671,9,21,380,-1
12667,19,19,187,323,18,330,11,1307,6600,6600,9,1,380,-1
12684,189,150,5,323,281,330,177,66,621,509,9,287,380,-1
12712,57,57,187,323,281,330,177,86,6113,6113,69,287,380,-1
12728,189,150,187,323,281,330,177,641,508,472,2,287,380,-1
12888,189,150,10,323,281,330,19,186,880,808,9,287,380,-1
13137,189,150,5,323,281,330,177,193,5332,4372,9,287,380,-1
13169,189,150,187,74,281,330,177,1433,3838,3838,13,287,380,-1
13217,189,150,187,74,281,330,1,1198,33206,33206,9,30,380,-1
13246,53,53,187,323,78,330,34,227,2700,2700,9,13,380,-1
13273,57,57,187,323,281,330,177,54,11565,11565,86,287,380,-1
13303,53,53,187,74,281,330,19,92,3889,3889,9,5,380,-1
13367,189,1,1,323,281,330,11,88,5242,5242,9,287,380,-1
13403,189,34,1,323,78,330,11,184,1830,1830,6,21,380,-1
13597,9,1,187,74,18,330,1,1220,7634,7100,9,1,380,-1
13652,189,150,33,323,281,61,8,77,1402,1156,9,287,380,-1
13680,18,17,187,323,78,330,13,89,983,983,9,30,380,-1
13712,189,150,187,323,281,330,177,39,823,823,3,287,380,-1
13795,189,150,187,323,281,61,12,63,865,865,9,287,380,-1
13884,189,150,187,323,281,330,177,26,184,136,2,287,380,-1
13896,9,1,2,323,23,330,19,50,1136,1136,9,3,380,-1
13915,189,150,33,323,281,330,177,123,723,664,9,287,380,-1
13981,53,53,1,74,23,330,19,895,4998,4648,9,4,380,-1
14078,189,150,33,323,281,330,177,53,506,415,9,287,380,-1
14091,189,150,33,323,281,61,8,52,767,632,9,287,380,-1
14157,53,53,187,74,23,330,34,396,8228,7652,9,5,380,-1
14228,189,34,24,323,281,330,34,81,129,129,2,287,380,-1
14257,3,2,1,74,78,330,16,100,440,440,1,13,380,-1
14289,27,1,1,323,281,330,10,154,2009,2009,7,5,2,-1
14374,19,19,187,74,78,330,16,192,4386,4386,9,287,380,-1
14410,27,19,8,323,78,9,7,272,3347,3347,9,287,380,-1
14422,189,150,187,74,281,330,177,2043,23271,22014,9,287,380,-1
14439,27,19,8,323,78,9,7,57,1810,1810,9,287,380,-1
14466,53,53,187,323,281,61,4,84,867,711,9,287,380,-1
14483,189,150,33,323,281,330,19,67,995,816,9,287,380,-1
14494,57,57,187,323,281,330,177,18,1672,1672,52,287,380,-1
14544,57,57,187,323,281,330,177,4,1330,1064,20,287,380,-1
14712,53,53,187,323,281,330,19,385,7352,7352,9,1,380,-1
14715,189,150,12,323,281,330,177,62,790,648,9,287,380,-1
14758,53,53,187,323,281,330,19,97,3862,3592,9,4,380,-1
14764,19,19,9,323,78,330,34,57,1179,1179,9,13,380,-1
14780,189,150,1,323,281,330,177,108,671,550,9,287,380,-1
14879,189,34,13,323,78,330,177,271,3303,3303,9,30,380,-1
14892,189,150,33,323,281,330,177,195,2170,1992,9,287,380,-1
14959,189,150,33,323,281,61,8,59,811,668,9,287,380,-1
14968,57,57,187,323,281,330,177,21,141,120,7,287,380,-1
14972,53,53,3,74,78,330,34,236,7704,5778,9,13,380,-1
15008,189,150,12,74,281,330,177,116,626,626,9,30,380,-1
15009,189,34,13,323,281,330,177,14,434,434,9,30,380,-1
15047,18,17,187,323,78,61,3,60,304,304,9,30,380,-1
15123,53,53,187,74,18,330,177,775,5592,5200,9,287,380,-1
15149,189,150,33,323,281,330,177,167,473,388,9,287,380,-1
15197,27,19,2,3,23,330,10,253,12601,11719,13,287,380,-1
15211,53,53,187,323,281,330,177,146,1770,1451,9,287,380,-1
15240,19,19,2,74,78,330,16,228,8631,8027,9,287,380,-1
15351,189,34,2,323,281,330,13,468,10498,8713,28,287,380,-1
15371,189,34,13,323,281,330,177,372,8604,8604,9,30,380,-1
15402,189,150,187,74,281,330,19,224,2444,2444,9,287,380,33500
15409,53,53,187,323,281,330,177,132,418,343,9,287,380,-1
15436,189,150,187,74,281,61,4,95,474,380,9,287,380,-1
15489,189,150,5,323,281,330,6,72,3407,2794,9,287,380,-1
15561,18,17,187,323,78,330,2,112,1597,1597,9,30,380,-1
15593,189,150,1,323,281,330,177,163,2064,1701,9,287,380,-1
15622,57,57,187,323,281,330,177,114,15480,15480,91,287,380,-1
15670,53,53,187,323,281,330,19,56,90,83,9,287,380,-1
15689,189,150,33,323,281,61,8,135,2184,1800,9,287,380,-1
15724,189,150,12,323,281,330,177,77,488,400,9,287,380,-1
15732,189,150,33,323,281,330,177,212,2849,2616,9,287,380,-1
15733,57,57,187,323,281,330,177,87,4820,4820,21,287,380,-1
15745,189,150,187,323,281,330,177,76,37,37,9,287,380,-1
15823,27,19,8,323,78,9,7,251,4093,3725,9,287,380,-1
15850,57,57,187,323,281,330,177,4,494,395,9,287,380,-1
15947,57,57,187,323,281,330,177,7,1466,953,7,287,380,-1
16165,27,19,8,323,78,9,7,155,3864,3516,9,287,380,-1
16185,18,17,187,323,78,61,12,89,2823,2823,9,30,380,-1
16190,27,19,8,323,78,9,7,53,927,686,9,287,380,-1
16191,189,150,12,323,281,330,177,105,2020,1656,9,287,380,-1
16196,27,3,24,74,78,330,34,57,623,623,4,287,380,-1
16232,189,150,187,74,281,330,177,759,1100,110,9,287,380,-1
16330,53,53,187,323,281,330,5,56,138,127,9,287,380,-1
16431,57,57,187,323,281,330,177,72,9957,9957,60,287,380,-1
16439,57,57,187,323,281,330,177,10,2188,2188,39,287,380,-1
16466,9,3,1,323,23,330,19,245,1149,1149,5,1,380,-1
16467,189,150,187,74,281,61,7,693,12510,12510,9,287,380,146000
16525,189,2,2,323,78,330,11,283,13716,13716,9,287,380,-1
16534,189,150,12,323,281,330,177,107,2332,1912,9,287,380,-1
16645,189,34,24,323,18,61,12,222,2007,1666,6,21,380,-1
16682,18,1,187,323,281,61,7,169,778,778,3,1,380,-1
16685,18,17,1,323,23,330,11,1317,13353,13353,9,21,2,-1
16701,19,19,187,323,78,330,16,30,1037,965,9,13,380,-1
16766,189,34,13,323,281,330,177,57,727,727,9,30,380,-1
16771,5,1,1,323,281,330,11,137,7862,7862,9,21,380,-1
16819,53,53,187,323,281,330,177,121,945,775,9,287,380,-1
16843,189,150,2,323,281,330,2,333,2175,1792,9,287,380,-1
16875,27,2,2,323,78,330,34,37,774,774,9,287,380,-1
16886,189,150,12,74,281,330,177,88,440,440,9,30,380,-1
16889,12,8,187,74,23,330,177,177,1946,1946,7,21,380,-1
16932,189,150,33,323,281,330,177,188,1298,1064,9,287,380,-1
16963,189,150,33,323,281,330,19,87,1280,1050,9,287,380,-1
16997,53,53,187,323,78,330,34,151,3540,2655,9,13,380,-1
17078,189,150,10,323,281,330,5,100,1093,896,9,287,380,-1
17117,53,53,187,323,281,61,4,86,273,224,9,287,380,-1
17172,53,53,187,323,281,61,1,138,1240,1138,9,287,380,-1
17184,27,19,3,323,281,330,10,331,3806,3806,9,287,380,-1
17222,53,53,187,323,281,330,177,50,159,130,9,287,380,-1
17246,189,150,187,323,78,330,34,27,993,993,9,287,380,-1
17279,189,150,1,323,281,61,1,70,847,698,9,287,380,-1
17287,189,2,1,323,281,330,34,154,4251,4251,9,21,380,-1
17308,57,57,187,323,281,330,177,4,380,346,10,287,380,-1
17429,57,57,187,323,281,330,177,19,3722,3722,70,287,380,-1
17455,189,150,187,323,281,330,177,366,7359,7359,9,287,380,-1
17498,189,34,187,323,281,330,177,49,966,802,2,287,380,-1
17584,57,57,187,323,281,330,177,25,302,275,14,287,380,-1
17594,9,1,2,323,281,61,7,497,2208,2208,9,21,380,-1
17603,57,57,187,323,281,330,177,12,1056,380,14,287,380,-1
17639,189,34,24,323,18,61,12,115,2802,2326,9,21,380,-1
17663,189,34,24,323,281,330,34,763,4272,3546,8,287,380,-1
17743,19,19,9,323,78,330,34,73,1404,1404,9,13,3,-1
17758,189,150,187,323,281,330,11,144,426,426,4,287,380,-1
17872,2,2,2,323,78,330,34,467,1950,1950,9,287,380,-1
17903,12,2,1,323,78,330,177,1557,6525,6525,9,3,380,-1
17990,57,57,187,323,281,330,177,85,29478,29478,138,287,380,-1
17995,189,150,2,323,281,330,177,100,1502,1379,9,287,380,-1
18012,53,53,187,323,281,330,5,93,302,277,9,287,380,-1
18015,189,150,187,323,281,330,1,66,406,406,4,287,380,5000
18044,189,150,187,323,281,330,177,425,1625,1285,9,287,380,-1
18088,53,53,1,323,281,330,177,337,8332,8332,20,287,3,-1
18119,27,19,1,323,281,330,10,109,2715,2715,5,287,2,-1
18310,53,53,187,323,281,330,177,58,83,68,9,287,380,-1
18346,57,57,187,323,281,330,177,25,1008,857,15,287,380,-1
18361,27,19,8,323,281,330,177,8,1096,855,9,287,380,-1
18387,18,17,24,74,23,330,6,106,17050,17050,9,287,2,-1
18410,189,150,187,323,281,330,34,103,4496,4496,9,287,380,-1
18417,189,150,33,323,281,330,177,142,1770,1451,9,287,380,-1
18427,18,17,24,74,78,330,177,288,3840,3840,9,287,5,-1
18428,189,150,12,323,281,330,177,151,2737,2244,9,287,380,-1
18438,19,19,187,74,78,330,16,207,6069,5644,9,287,380,-1
18442,18,17,187,323,78,330,3,122,1596,1596,9,30,380,-1
18459,18,17,24,323,78,330,177,58,1040,1040,9,287,380,-1
18498,189,150,33,323,281,330,177,64,1211,1112,9,287,380,-1
18638,189,150,1,323,281,330,34,477,2726,2726,9,287,380,-1
18663,189,150,187,323,281,330,177,92,315,315,2,287,380,-1
18697,189,150,33,323,281,61,8,106,519,428,9,287,380,-1
18735,189,150,4,323,281,330,19,67,1133,1040,9,287,380,-1
18746,27,1,1,323,281,330,10,337,11680,11680,9,287,380,-1
18808,189,150,33,323,281,330,19,91,1574,1291,9,287,380,-1
18890,53,53,187,323,281,330,177,87,112,92,9,287,380,-1
18917,53,53,187,323,281,61,3,59,77,71,9,287,380,-1
18945,18,17,187,323,78,330,2,88,1196,1196,9,30,380,-1
18961,189,150,8,323,281,330,177,56,849,696,9,287,380,-1
19040,57,57,187,323,281,330,177,14,1898,1689,32,287,380,-1
19079,57,57,187,323,281,330,177,63,3141,2953,62,287,380,-1
19114,27,1,1,323,281,330,10,392,15729,15729,12,287,380,-1
19122,189,150,5,323,281,330,6,52,820,672,9,287,380,-1
19136,57,57,187,323,281,330,177,12,1456,1456,46,287,380,-1
19148,189,150,187,74,281,330,13,300,889,889,6,287,380,2000
19154,53,53,187,74,78,330,34,6,1008,937,9,4,380,-1
19189,189,150,2,323,281,330,177,73,1765,1447,9,287,380,-1
19297,53,53,187,323,281,330,177,195,1211,993,9,287,380,-1
19303,5,2,8,323,78,330,13,86,1102,1102,9,287,380,-1
19403,57,57,187,323,281,330,177,12,1320,1320,36,287,380,-1
19410,19,19,187,323,78,330,16,255,6069,5644,9,287,380,-1
19456,53,53,187,323,281,330,19,638,21564,10135,9,5,380,-1
19461,57,57,187,323,281,330,177,35,7330,7330,49,287,380,-1
19490,189,34,9,323,281,330,11,121,1293,1293,4,287,380,-1
19491,189,150,187,323,281,330,13,263,1311,970,3,287,380,6400
19594,53,53,187,323,281,61,12,62,578,474,9,287,380,-1
19659,189,150,12,323,281,330,177,61,354,354,9,30,380,-1
19660,18,17,187,323,78,330,3,97,1211,1211,9,30,380,-1
19671,189,150,24,323,78,330,34,98,3271,2944,6,1,380,-1
19680,189,2,1,323,78,330,13,119,1907,1907,9,21,380,-1
19730,27,19,187,74,23,61,1,795,2187,2187,6,4,380,-1
19757,27,19,1,74,281,330,177,127,1536,1536,5,21,380,-1
19799,189,150,33,323,281,330,177,70,1107,908,9,287,380,-1
19815,3,2,1,3,78,330,16,125,330,330,2,287,380,-1
19881,5,2,8,323,281,330,34,64,620,620,9,287,380,-1
19885,57,57,187,323,281,330,177,36,6452,6452,87,287,380,-1
19905,19,19,3,74,23,330,13,29,395,395,9,2,380,-1
20082,189,150,187,323,281,61,4,245,1113,880,9,287,380,-1
20093,12,8,187,323,78,330,16,1062,15972,15972,24,1,380,412409
20106,27,3,24,323,78,330,34,32,300,300,2,287,380,-1
20115,189,150,33,323,281,330,177,54,654,536,9,287,380,-1
20123,53,53,187,323,281,330,177,84,213,175,9,287,380,-1
20177,189,34,24,323,18,330,1,80,1251,1038,7,1,380,-1
20236,53,53,187,323,281,330,177,83,238,195,9,287,380,-1
20352,57,57,187,323,281,330,177,34,706,706,29,287,380,-1
20398,189,150,187,323,281,61,12,51,536,536,9,287,380,-1
20419,189,150,1,323,281,330,177,167,1122,920,9,287,380,-1
20477,12,8,2,74,281,330,19,177,1570,1570,9,3,380,-1
20538,57,57,187,323,281,330,177,4,624,568,15,287,380,-1
20614,189,150,187,74,281,330,177,650,3672,3048,9,287,380,-1
20758,189,150,12,323,281,330,177,113,1024,840,9,287,380,-1
20776,189,150,12,323,281,330,177,51,988,810,9,287,380,-1
20837,189,150,187,74,281,330,13,79,1108,1030,2,287,380,3200
20887,57,57,187,323,281,330,177,34,1407,1196,18,287,380,-1
20892,27,19,8,323,78,9,7,221,3191,2202,9,287,380,-1
21078,189,150,10,323,281,61,12,107,349,320,9,287,380,-1
21107,27,19,187,323,281,330,16,335,19706,19706,15,287,380,-1
21114,189,150,12,323,281,330,177,33,175,175,9,30,380,-1
21151,189,34,13,323,281,330,177,213,6391,6391,9,30,380,-1
21180,4,1,2,74,23,330,19,235,781,781,9,1,380,-1
21195,189,150,8,323,281,330,177,130,2029,1664,9,287,380,-1
21198,189,150,3,323,281,330,1,82,758,696,9,287,380,-1
21261,53,53,187,323,78,330,34,150,2218,2218,9,13,380,-1
21317,57,57,187,323,281,330,177,67,5920,4736,21,287,380,-1
21370,53,53,187,323,281,330,177,70,217,178,9,287,380,-1
21394,189,150,187,323,281,330,177,51,337,280,1,287,380,-1
21399,189,34,24,323,281,61,4,82,410,410,4,287,380,-1
21420,189,150,187,74,281,330,19,314,1260,1260,8,287,380,10000
21429,189,150,1,323,281,330,177,55,3639,2984,9,287,380,-1
21433,189,150,10,323,281,330,19,59,733,604,9,287,380,-1
21467,189,150,33,323,281,61,8,106,3644,3003,9,287,380,-1
21496,19,19,187,323,78,330,16,34,109,61,9,2,380,-1
21522,53,53,187,323,281,330,177,133,104,85,9,287,380,-1
21552,12,150,187,74,281,61,4,154,1257,1008,9,287,380,-1
21609,189,34,13,323,281,61,177,12,355,355,9,30,380,-1
21623,189,150,33,323,281,330,19,228,1502,1232,9,287,380,-1
21668,18,17,187,74,281,61,3,281,4030,4030,9,1,380,-1
21775,189,34,13,323,78,330,177,141,5156,5156,9,6,380,-1
21824,53,53,187,323,281,330,177,54,307,252,9,287,380,-1
21859,53,53,187,323,281,61,4,98,376,308,9,287,380,-1
21915,4,3,9,74,78,330,16,383,1367,1230,2,287,380,-1
22063,53,53,24,323,78,330,16,124,3639,3639,12,1,380,-1
22274,27,19,2,323,281,330,16,234,5103,5103,11,287,380,-1
22342,189,150,12,323,281,330,177,113,1024,840,9,287,380,-1
22361,189,34,24,323,281,330,34,214,1430,1187,9,287,380,-1
22425,57,57,187,323,281,330,177,29,4033,3428,15,287,380,-1
22465,189,150,187,74,281,61,2,264,432,402,9,287,380,-1
22471,53,53,187,323,78,330,19,167,6398,6398,9,4,380,-1
22495,189,150,5,323,281,330,6,308,7746,6352,9,287,380,-1
22507,19,19,24,74,78,330,34,499,10613,10613,7,1,380,-1
22638,189,150,187,323,281,330,3,92,473,473,9,287,380,-1
22727,27,19,8,323,78,9,7,339,3622,3622,9,287,380,-1
22776,189,150,33,323,281,330,177,53,1109,909,9,287,380,-1
22886,189,34,13,323,281,61,177,110,902,902,9,30,380,-1
22893,189,150,12,74,281,61,177,133,1609,1609,9,30,380,-1
22922,57,57,187,323,281,330,177,27,11374,9668,30,287,380,-1
22951,189,150,1,323,281,330,177,112,458,377,9,287,380,-1
22957,189,150,5,323,281,330,1,63,1063,872,9,287,380,-1
23066,19,19,187,323,78,330,1,44,326,326,9,1,380,-1
23110,189,150,10,323,281,330,5,52,360,295,9,287,380,-1
23122,57,57,187,323,281,330,177,67,6021,6021,62,287,380,-1
23182,189,150,33,323,281,330,2,144,1798,1482,9,287,380,-1
23317,189,150,187,323,23,330,19,32,578,578,9,287,380,-1
23467,57,57,187,323,281,330,177,7,682,682,19,287,380,-1
23518,189,34,13,323,281,61,177,25,626,626,9,30,380,-1
23538,57,57,187,323,281,330,177,30,3535,3535,70,287,380,-1
23559,1,1,9,74,78,330,177,7400,60270,60270,45,287,380,-1
23565,18,17,187,323,281,330,177,87,1652,1652,9,30,380,-1
23573,189,150,187,323,281,330,177,1238,1960,1960,7,287,380,-1
23656,189,150,3,323,281,330,177,68,924,758,9,287,380,-1
23687,12,1,3,74,18,61,1,647,12815,8330,12,1,380,-1
23698,189,2,2,323,78,330,11,515,27251,27251,9,287,380,-1
23708,189,34,9,323,23,61,12,75,569,569,10,287,380,-1
23712,189,34,2,323,18,330,13,187,2075,1888,7,2,380,-1
23741,57,57,187,323,281,330,177,16,5242,5242,69,287,380,-1
23766,53,53,187,323,281,330,5,139,495,454,9,287,380,-1
23777,189,34,13,323,78,330,177,62,700,700,9,6,380,-1
23784,57,57,187,323,281,330,177,19,3933,3933,42,287,380,-1
23972,57,57,187,323,281,330,177,6,168,168,12,287,380,-1
24009,53,53,187,74,78,330,34,102,2786,2061,9,13,380,-1
24042,19,19,24,74,78,330,177,159,3084,2776,5,13,3,-1
24043,189,150,12,74,281,330,177,267,1442,1442,9,30,380,-1
24125,2,2,2,323,78,330,34,149,1089,1013,9,287,380,-1
24135,189,150,8,323,281,330,177,124,1649,1352,9,287,380,-1
24141,189,150,10,323,281,330,19,87,290,239,9,287,380,-1
24151,189,150,12,323,78,330,177,89,1032,1032,9,6,380,-1
24210,53,53,187,323,281,330,19,159,313,257,9,287,380,-1
24366,189,34,24,323,281,330,34,138,2988,2988,6,287,380,-1
24407,12,8,2,74,281,61,2,639,2420,2420,9,1,380,-1
24457,189,150,3,323,281,330,177,66,776,712,9,287,380,-1
24505,189,150,4,323,281,330,19,66,825,680,9,287,380,-1
24543,57,57,187,323,281,330,177,54,11656,11656,98,287,380,-1
24573,189,150,5,323,281,330,6,52,733,601,9,287,380,-1
24615,57,57,187,323,281,330,177,8,244,244,21,287,380,-1
24629,189,150,187,323,281,330,34,4,38,38,9,287,380,-1
24633,189,150,12,323,78,330,177,58,800,800,9,6,380,-1
24661,53,53,187,323,281,330,5,186,312,286,9,287,380,-1
24851,189,150,187,74,281,330,177,2456,2464,2045,9,287,380,-1
24866,53,53,187,323,281,330,177,146,1215,996,9,287,380,-1
24889,57,57,187,323,281,330,177,7,241,188,6,287,380,-1
24937,53,53,187,74,23,330,34,434,11922,11088,9,5,380,-1
25053,57,57,187,323,281,330,177,54,7529,7529,48,287,380,-1
25120,9,3,187,323,281,330,16,148,2100,2100,5,287,380,-1
25126,189,150,187,74,281,61,4,3383,64317,60844,9,287,380,-1
25151,189,150,33,323,281,330,177,76,880,808,9,287,380,-1
25158,189,150,1,323,281,330,177,84,1210,1111,9,287,380,-1
25213,53,53,187,323,281,330,177,165,402,330,9,287,380,-1
25268,189,150,187,74,281,330,177,141,912,912,3,287,380,-1
25270,189,150,187,74,281,330,1,403,1209,774,1,287,380,22000
25310,189,150,12,74,281,330,177,256,1766,1766,9,30,380,-1
25336,18,17,187,323,78,330,13,389,4719,4719,9,30,380,-1
25343,189,150,187,323,281,330,13,476,5657,4186,8,287,380,-1
25346,57,57,187,323,281,330,177,13,527,448,11,287,380,-1
25438,189,150,33,323,281,330,2,135,2283,2096,9,287,380,-1
25461,57,57,187,323,281,330,177,17,1317,1317,28,287,380,-1
25509,189,34,13,323,281,330,177,256,1231,1231,9,30,380,-1
25516,189,150,4,323,281,330,19,65,573,472,9,287,380,-1
25543,189,150,1,323,23,61,3,287,3893,3543,9,4,380,-1
25618,27,19,1,74,281,330,10,298,13489,13489,24,287,380,-1
25641,12,2,1,74,23,61,7,776,1847,1718,9,1,380,-1
25786,189,150,8,323,281,330,177,537,5717,4688,9,287,380,-1
25885,19,19,187,323,78,330,16,36,129,120,9,2,380,-1
25916,189,1,1,3,23,330,11,657,21590,17920,16,1,2,-1
25926,27,3,24,323,78,330,34,601,1193,1193,11,287,2,-1
25931,53,53,33,323,23,330,177,70,1241,1018,6,287,3,3000
25975,3,1,1,74,78,61,7,605,752,752,3,287,380,-1
25979,53,53,187,323,78,330,177,1148,48083,13944,9,1,380,-1
26007,189,150,33,323,281,330,177,547,4967,4560,9,287,380,-1
26047,189,150,187,323,281,330,177,79,2451,2451,9,287,380,-1
26096,189,150,187,323,78,330,34,90,3261,3261,9,287,380,-1
26105,57,57,187,323,281,330,177,57,3746,3746,57,287,380,-1
26137,57,57,187,323,281,330,177,91,3667,3667,67,287,380,-1
26156,27,19,1,74,281,330,10,313,5613,5613,9,287,380,-1
26187,189,150,33,323,281,330,19,82,1461,1198,9,287,380,-1
26199,189,34,13,323,78,330,177,17,458,458,9,6,380,-1
26274,189,150,12,323,281,330,177,116,1590,1304,9,287,380,-1
26284,189,34,2,323,78,330,34,143,705,705,3,287,380,-1
26290,57,57,187,323,281,330,177,35,8581,7294,53,287,380,-1
26315,53,53,187,323,281,330,177,203,1963,1610,9,287,380,-1
26339,5,1,1,74,78,9,2,511,3500,3500,9,1,380,-1
26391,189,150,10,323,281,330,19,105,383,352,9,287,380,-1
26457,53,53,187,323,281,330,177,128,952,781,9,287,380,-1
26470,12,8,5,74,281,330,19,236,1350,1350,9,1,380,-1
26513,189,150,33,323,281,330,19,89,2159,1770,9,287,380,-1
26537,53,53,187,323,78,330,34,374,5072,5072,9,4,380,-1
26575,53,53,187,323,281,330,19,57,302,248,9,287,380,-1
26604,57,57,187,323,281,330,177,23,4747,4747,85,287,380,-1
26738,57,57,187,323,281,330,177,28,7015,7015,64,287,380,-1
26765,189,34,9,323,18,330,177,475,2934,2435,4,21,1,-1
26888,53,53,187,323,281,330,19,72,772,633,9,287,380,-1
26895,189,150,187,323,18,330,11,29,203,203,9,287,380,-1
26925,57,57,187,323,281,330,177,7,771,686,26,287,380,-1
26994,27,2,2,323,78,330,34,26,538,538,9,287,380,-1
26997,53,53,1,323,18,61,1,169,1327,1208,5,287,3,-1
27060,18,17,24,74,78,330,177,2906,37320,37320,9,287,5,-1
27151,189,150,33,323,281,330,19,324,1063,872,9,287,380,-1
27171,189,150,12,323,281,61,177,38,327,327,9,30,380,-1
27245,57,57,187,323,281,330,177,36,2020,1414,13,287,380,-1
27357,189,34,24,74,18,330,177,796,5864,4867,14,21,2,-1
27361,189,150,2,323,281,330,2,420,539,444,9,287,380,-1
27423,53,53,187,323,281,330,19,50,193,177,9,287,380,-1
27574,189,150,187,323,281,330,177,503,482,482,3,287,380,-1
27727,189,34,24,74,281,330,1,128,5960,4947,15,287,380,-1
27743,57,57,187,323,281,330,177,12,8062,8062,75,287,380,-1
27745,57,57,187,323,281,330,177,50,20092,20092,135,287,380,-1
27858,189,150,4,323,281,330,19,180,1408,1160,9,287,380,-1
